Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e236e336dc36db36cd36d1360d370e37a536cd3615371437d936da3657355635,a0369f36083708371037143722372037193718371e371f37e536e4360d370d37,0e00ecffb0ff2c001200f0ff18000800a00c7c05a285628448f278f8027bc27b,db36dc361d371d37e536e236e9360f37913691362337243711371037e436e436
1,1,0,e636e236d836d936cf36d0360c370c37cd36a73612371137da36d93656355635,9e36a136083708370e3711371e372037153718371f371e37e536e6360c370d37,ecff0e002c002c000200e0ff18000800a8190413a288a286e8e488ebb278227a,db36dc361b371d37df36e136103710378e3690362137223710371137e436e336
2,2,0,e536e436d936da36d136cd360e370d37ce36a43618371237dc36d93657355835,9d369e360837093710370f3721371f37173718371f371f37e636e4360e370e37,fcffecff3c0090fff0fff0ff18001800c025fc1ef48cd28acad848de6275f276,dc36db361c371c37e536e1360f370f378f369036213722370f371137e536e536
3,3,0,e436e536db36db36cf36cf360e370e37cc36a53616371237d836d93659355935,9f36a03608370a371137113720371f37173717371f371f37e636e6360d370d37,1e000e000c000c000200f0ffb8ff18007832f42b5492d48fcacb0ad23270d272,da36da361c371b37e436e3360e370f3792368f362237213710370f37e336e436
4,4,0,e236e236db36d936cf36cf360c370e37cb36cd3612371437db36d73655355535,9e369f36093709371037113721372137193716371f372037e536e5360c370e37,fcffecff90ff1c00c0fff0ff280028009e3dea3756991496eac03ac6b269c26c,dc36db361c371b37e536e4361037e83690368e362337213710371337e336e536
5,5,0,e136e336db36d936cf36d1360e370c37cd36a63613371337db36d93659355635,9f369d36093708371237113721372137163718371e371f37e536e6360c370b37,daff0e002c00cefff0ffe0ffa8ff0800b649224376a1d69dbcb58abab261d265,db36dc361c371b37e336e1360f370f3791369036233723370f371037e536e536
6,6,0,e336e436db36dc36d036cf360e370e37cb36cc361437ea36db36dd3659355935,9c369f36093708371037103720372137163716371f371d37e636e5360d370e37,fcfffcff1c003c00f0ffe0ff080028002c533a4e48ab48a6fcabdcb0c259d25d,da36db361c371d37e336e4360e370f3790368f36233723370f371037e436e536
7,7,0,e336e336d936db36d136cf360e370d37cc36cc36ed36e936da36da3659355835,9f369e3609370737113711371e372137183718371f371d37e636e6360b370b37,fcff0e001c001c00f0fff0ff1800b8ff925cf057dab4daafdca14ca6e24ee253,db36dc361c371937e136e336e8360f3790368d362137233711371137e336e536
8,8,0,e436e336db36db36cf36d0360c371037a636cb36ed36ed36d736d7365b355735,9f36a03608370937113712371f372237173716371f371e37e636e6360c370d37,ecfffcff2c001c001200f0ff2800f8ffa66484608cbf4cba2c9a2c9eb244224a,da36da361a371a37e436e2361137e9368f368e362237213711371037e436e336
9,9,0,e436e236d936db36cf36cf360e370e37cc36cd361537ed36da36db3656355835,9f369b36083707371237123721372037173717371d371e37e636e7360d370c37,30001e002c001c00c0ff72001800b8ff6c6b9a68aecb9cc59c934c966239023f,da36db361c371b37e336e3360f370e378f3690362137223710371037e536e436
