Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,0c000c00f6ffe6ff0800faff100000003c002c00eafffaff24002400c2fff2ff,08000800eeff0000ecffecfff8ff180008000800f0ff2e000c002c00d4fff4ff,f0ff02000e000e00ecff0e000000000084a49caeb09334cfac8d7af50098001f,04000400e2ff0400f4ff16000c001c0022001200fcffecff20002000f8ff1800
1,1,0,0c000c0008000800faffeaff2000f0fff8fff8fffaffccff14003400e2ff0200,18000800deff00001a001a0058000800f6ffe6ffe0ffe0ff0c000c00f4ff1400,f0ff12000000f0ff0e00fcff2000f0ff9e6ae8364a71e010786b3ce9c05560c2,f2ff0400e2ff140028000600ecfffcff020022001a002a00e4ff1200f8ff1800
2,2,0,0c00faff2800f6ff0800faff00000000f8ff0a00ccfffafff2ff0400d2ff0200,18000800eeffeeffecffdcfff8fff8fff6fff6ff0000c0ffdaffeaff0400d4ff,f0ff02000e000000ecffecff0000f0ff468e0ae9a093ee1004a5f03640c45057,24001400f2ff2400060016000c000c00020032001a000a000200e4fff8ff0800
3,3,0,eafffafff6ffe6ffeaffdaff00000000f8fff8ffccffccff1400f2ff02000200,a4fff6ff00000000dcfffcff08000800080008000e0000000c000c0014001400,0200f0ff0000000030000e00f0fff0fffa6d70f5a85dd4cedc428ead701c4097,0400140014001400060006003c002c00020002003a002a001200120008000800
4,4,0,eaff0c000800f6fffafffaff10002000f8fff8ff0800fafff2ffc2ff22003200,18000800eeffeeffdcffdcff080008001800e6ff000000000c00faff14002400,ceff22000000f0ff0e001e00f0ff1000489e522c56b9024ddedb126610058071,1400f2ff34000400060006003c001c00020022000a002a00f4ff020028002800
5,5,0,1c00faff18001800fafffafff0ff2000e8ff3c00acff28001400140002002200,e6ff18000000defffcffecffe8ff0800f6fff6ff0e001e000c00daff04001400,f0ffceff00000000fcffecfff0ff0000484c94b7c829109e08031c8fe0d91090,040004000400f2ffe4ff1600fcfffcfff4ff12002a001a000200300008000800
6,6,0,fafffaff0800d6ff080018001000f0fff8ff0a00ccff1800d2ff340002000200,1800f6ff20001000fcffdcff0800f8ff1800e6ff2e00f0ff2c001c0014000400,f0ff02001e000e003000fcff0000f0ffc0cf285ff6f65e6ec61e5e7120445064,04002400f2ff140016000600ecff2c000200e4ff2a003a0012002000f8ff0800
7,7,0,faff0c000800e6fffafffaff0000f0fff8ff0a00acffacff140004000200e2ff,08000800eeff1000dcffdcfff8ff1800e6ffe6ff0e0000000c00faff14003400,f0fff0ffe0ff0000fcfffcfff0fff0ff9a0f3293aee7c88e14c27697e0a3e0af,240004003400f2ff16003800ecfffcfff4ffe4ff2a001a00f4fff4ff0800e8ff
8,8,0,1c00fafff6fff6ffdaffdaffd0fff0ffd8ffe8ffacffccffe2fff2ff2200e2ff,f6ffb6ffeeff00001a00ecfff8ff08000800080000001e00faffeaff0400e4ff,02001200d0fff0fffcff4000f0ff300016135871b437766992578256806b1035,140004001400140006002800fcfffcfff4ff0200fcff3a000200f4ffe8fff8ff
9,9,0,eaff0c00f6ff0800fafffaff100010003c00e8ffccfffaff0400240002003200,08000800eeff0000dcffdcfff8ff0800e6fff6ff0e00e0ff2c00faff1400f4ff,0200f0ff0000e0ff40001e002000f0ff82ccc293f8ada2a6d496d4c3008ef0ea,04000400f2ff1400160028001c000c00e4ff12000a002a001200d6fff8ff0800
