Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f8ff1600000010002c002c00f6ffe6ff10001000eeff0c001600f4ffe8ff0800,0c00faffe6ff180018001800f2ff0200f2ff04001800eaff20001000eeffeeff,020096fffefffeff1000f2fffaff1a0038201a6ce44212602660aa499e6b9e25,1400f2ffd8fffaffe0ff2200e0fff0ff0600160040002200f2ff2000e0ff1000
1,1,0,0600160010000000eeffeeff0600f6ffdeff0000d0ffeefff4ff160008001800,cafffaff280018001800daff02000200d2ff0400caffeaff10000000aeffeeff,02001200feff0c00f2ff00001a00eafff6c1669ca8a676b39892f2d29e929efa,1400f2ff1c00faff1200ceffe0ff000006000600120012000000f2fff0ff0000
2,2,0,1600f8ff00000000eeff0c00f6fff6ff0000eefffeffeeff1600d4fff8ff2800,faff0c000800f6ff080018003200f2ffe2fff2ffacffdaffdeffeefffeff9eff,f4ff0200fefffeffe2ff10001a00faff9c55c051526874324871980c4e652ee5,f2fff2ff1c001c000200f0ffc0ffe0ff0600060050003000f2ff5e00f0fff0ff
3,3,0,0600f8ff100010003c00feff0600160020001000eeffd0ff16000600f8fff8ff,fafffaff0800f6ffdaff1800f2ffe2ff0400f2ff1800eaff00001000ceffdeff,d4ffe4fffeffeeff0000e2ffeaffeaffa89932c80892d6ecd8940a155eab2e39,04000400eaffd8fff0ff12002000e0ffe8ff0600220022001000300000000000
4,4,0,160026001000eefffeffceff060016001000eeff1c003a00f4ffc4ffe8ff0800,0c00faff1800f6ff18001800020002002400e2fffaff18000000eeff0e00aeff,d4fff4ff0c00feff00000000eaffeaff286d7e18d269c6f2505b78cb0e3c0eae,f2ff1400faff0c00e0ff0200f0ff1000e8ffe8ff30002200f2ff0000f0fff0ff
5,5,0,16000600200000003c000c000600060010000000eeffeeff06000600e8ffd8ff,baff0c001800280018000800e2fff2ff14002400faff080020000000ceffbeff,02000200feff0c0000000000fafffaffdc94fc0758a3d42c46bc0a506ee1de63,040014001c00eaff02000200f0fff0ff060016004000120020002000e0ff0000
6,6,0,1600f8ffeeff10002c00deff1600e6ffdeffeeffeeffdeff2600060018001800,baff2c00f6ff1800faff1800f2fff2fff2ff1400eaff18000000eeffeeffdeff,0200d4fffefffeff00001000faff2a00345f74d82447d6b73c26309c2efefe92,f2ff0400fafffafff0ff12000000f0ff06000600d4ff2200d2ff10000000d0ff
7,7,0,26001600000000002c00ceff16000600eeff1000feff0c00f4fff4ff0800e8ff,baff1c0018000800180008000200020004002400daff18002000eeffaeffceff,f4ff2200feff0c0000000000eafffaff72b46a44b6d4825d34fb486fde216e6c,e2fff2ff1c001c000200f0fff0ffc0ff0600d8ffe4ff22000000e2ff1000e0ff
8,8,0,f8ff160000000000feffceff2600160010002000eeffeeff0600f4fff8fff8ff,1c000c00f6ff08001800bafff2ff02000400f2fffaffdaffeeff1000eeffdeff,f4ffe4ff0c00feff1000f2fffafffaffda31eea4f40b989570e3dc8eeec09e9d,1400f2fffaff0c00f0ff0200f0ff00001600f8ff22000200f2ff4e0010000000
9,9,0,0600060000000000eefffeffe6fff6ff0000ceff1c002a00e4ff0600f8ff1800,faff0c001800f6ff1800faff0200f2fff2ffd2ffdaffeaff10001000eeff0e00,0200f4ffeefffeff10000000faffdaffe2eeec67d414c26dc03b5468de568e4f,04001400eaffd8ff0200e0ff0000e0ffe8ff0600d4ffe4ff200020000000f0ff
10,10,0,f8ffd8ffeeffeeff2c00feff1600060010000000eeff1c002600e4ff0800f8ff,0c00faff08001800daff0800f2ffe2fff2ff04002800faffeeffeefffeffceff,f4ff0200eeffeefff2ff1000eaffeaff0ef27e9286cc2898d0aa66a91e992eca,1400f2ffeaff0c00020002000000d0ff06000600f4ff300010004000e0fff0ff
11,11,0,f8ffe8ff100010001c002c00f6fff6ff20001000deff0c00060006000800f8ff,0c001c0018000800caff28005200f2ff0400040018005600eeff0000eeffceff,d4ffe4ff1c000c0010002e000a00eaffdc2ebc68a44d82586c677e3dae6d5e17,1400f2fffafffaff02000200e0ff2000f8ffe8fff4ff02000000f2ff10000000
12,12,0,f8fff8ff100000003c00eefff6fff6ff1000eeff0c00defff4ff060008001800,0c00faff0800d6ffdaff180002000200f2ffc0ff3800faff100000001e00deff,120096ff0c000c001000f2fffaffeaffb0b690a3f89ea6be908f50e1de945e09,f2ff04000c00faffe0ff02002000c0ff26000600c6ffa6ff00004000e0ff0000
13,13,0,26000600eeff00002c001c00f6fff6ffceff2000eeff1c00e4fff4ff08000800,faff1c0008000800eaffdaffe2fff2ff04000400eaff1800ceffeeffeefffeff,d4ffe4ff3c00fefff2ff00000a000a00045e3846a26ba4249c6f66fdbe5e1ed7,f2fff2ff0c00eafff0ff02001000f0ff160026001200d4ff000010001000d0ff
14,14,0,f8fff8ff000000000c00eeff1600e6ffeeff10000c003a00d4ffe4fff8ff0800,faffeaff1800f6ffcaff08004200f2ff14001400eaff380010001000feffeeff,0200f4ff2c001c00200020000a00eaff1c9536d6b89296fbe69a0c24deb52e45,f2fff2ff0c00eaff02000200f0ff1000160006003000f4ff20001000e0ff0000
15,15,0,06000600eeff2000feffeeff1600160010002000eeffeeff0600f4ff0800e8ff,0c00faff18000800daff28000200f2ff14001400faff2800eeffdefffeffdeff,02002200fefffefff2ff00000a00faff486d4a0ab26406e4765112be4e2f6ea4,f2ff04000c00faff02001200f0ff000016001600220012001000000020001000
16,16,0,06000600eeff0000eefffeff36002600200000002a002a00160016000800e8ff,faff2c00f6fff6ff180018004200e2fff2ff1400faff48003000eeffdeffdeff,f4ff02000c00eefff2ff00001a000a007a98601616acf43958c9065afeef3e69,e2ff0400fafffaff1200f0ff000000001600e8ffe4ff1200000010000000e0ff
17,17,0,0600f8ffeeffeeffdeff2c0016001600000000002a000c00f4fff4fff8ffe8ff,1c00baff0800180028001800f2fff2ff1400140038001800eeffeeffeefffeff,96ff0200feff0c00f2ff0000fafffaff6a5790ca543b26ad2a176e958eeffe91,f2ffe2fffaff1c00f0ff1200f0ff2000f8ff0600f4ff40003000b4ff0000f0ff
18,18,0,f8ffe8ff0000deffeeffeeff060016001000deff0c00d0ffe4fff4ff1800d8ff,a8fffaff180008003800daff0200e2ff140004002800baff00000000feffdeff,e4ff0200eefffeff000000001a000a00f8bf024fa6e29264680a1671ce2f0e69,f2ff04001c000c000200020030001000f8ff06003000020000002000e0ffe0ff
19,19,0,06000600eeff10002c00feff16000600deff0000feffdeff16002600f8ffe8ff,faff1c00e6fff6ff08001800f2fff2ff0400f2ffdaff1800100010000e00feff,02000200feffeefff2ff2000eaff2a00d622949d26fdc892d0d404925eb53ea5,0400f2fffafffaff0200f0ff10001000060006001200120020001000f0ff1000
20,20,0,f8fff8ff20001000feffdeff06001600eeff1000eeff0c000600c4ffe8ffb8ff,0c00eaff1800f6ffcaff1800f2fff2fff2ff2400faffeaff10000000feff1e00,f4fff4ff0c00eeff100010001a00eaff36fdaa6b4423126c1e481c612e5f6e44,f2ffd2ff0c000c0002000200e0fff0fff8ff0600f4ff02000000300010000000
21,21,0,0600f8ff10001000cefffeff06000600eeff0000deffdeff2600f4ffe8ff0800,0c002c00f6ff1800daffeafff2fff2ff1400f2ff18001800deff0000eeffeeff,120002001c001c00e2ff0000eaff1a000ce21e93e6bf189e68a1f6b3de949ed7,04000400fafffaff02000200f0ff0000e8ffe8ff300022002000300000000000
22,22,0,1600060000000000fefffefff6ffe6ff0000eeffeefffefff4fff4ff0800f8ff,0c00faff18000800caff1800f2ff1200f2ffe2fffafffaffeeffeefffeff0e00,f4ff0200feffeeff200000001a002a00123bc0639257944ec66cb42f9e6d6e08,e2fff2ffeafffaff0200020000001000f8ff06002200f4fff2ff2000d0ff1000
23,23,0,0600160000001000feffdefff6ff0600eeff1000fefffeff0600060018000800,1c001c0008000800faffdaffe2ffe2ff14000400eaff1800eeffeefffefffeff,1200f4ffeefffeff000010000a001a0048ac98ade89836cb888e30f06e99de17,0400e2ffd8ff1c000200f0ff1000d0fff8fff8ffe4ffd4ff0000f2ff1000e0ff
24,24,0,1600f8ffdeffeeffceffdefff6ff2600eeff0000c0ffdeff06001600e8ffd8ff,faff2c000800e6ffdaffeaff42000200e2ff0400eaff0800200000000e00aeff,f4ff12000c000c00f2ff00000a00eaff40648439b26d5416de6b00ee5e566ec9,f2ff04000c000c001200f0fff0ff2000060006000200220010000000e0ff2000
25,25,0,e8ff060010002000eeff0c000600f6ffeeffdeffdefffeff0600e4ffd8ff1800,fafffafff6fff6ffcaffeaff0200f2ff14001400eafffaffeeff1000feffeeff,1200f4ff0c00eeff00001000faff0a002e93eae31895c40ad4a2e6314ec10e50,f2fff2ff0c000c00f0ff0200f0ff1000d8ff06000200d4ff100010001000e0ff
26,26,0,e8fff8ff20000000fefffefff6ff0600eeff0000c0ffeefff4fff4ffe8ff0800,fafffaff18000800daffeaff4200020024000400eaffcaffeeff0000ceffdeff,f4ff12001c00eeff000010001a001a000a6b08fbe25d06d620464ab24e214e9d,0400f2ffeafffafff0ff0200f0fff0ff4600d8fff4ff0200f2ff100030001000
27,27,0,f8ff0600eeff0000deffceff1600d6ffceffeeffeeffdeff1600e4fff8fff8ff,0c000c002800180008001800f2ffe2ff04000400fafffaff10000000eefffeff,e4ff02001c00feff000020001a00faffa49e1624a6b6044612d75662eefe9e6c,f2ff0400eafffaff0200f0ffd0ff10000600f8ffc6fff4ff1000f2ff0000e0ff
