Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,fafffaffdcfffcff0400d6ff2800f8ff0800f6ffceff64001c000c00ceffbeff,3000ceff0400f2ffc2ff0600beffcefffaff1c00e4fff4ff10000000bcffccff,1c001c00e0ff0e001e000e00e6ff160094eada91acc61c9a0ea832ad0c9734cf,f6ff18000e002e001e000e00e8ffc8ff0000f0ffdcfffcff400030001600e6ff
1,1,0,eafffaff0e00ecff34000400f8fff8ffe6fff6ff6400c0ffb8ffc8ffcefffeff,1000ceffe2ff0400e4ffd2ff1e00defffaffeaff0200c6ff1000eeffbcff1c00,0c00daff0e0000000e00fcfff6ff1600b233c4672452da548a689238006e5e11,08000800ecff0e000e000e00c8ff18001e00f0ffdcffecff3000600016000600
2,2,0,0c00eafffcfffcff2400f6ff080008000800d6ff64006400eaff1c00ceffdeff,ceff1000f2fff2ff16001600deff1e000c00daffd6ff0200eeffeeffecfffcff,fafffaff00000000ecfffcfff6ff1600f8b112a7b69b88c3d08fd6e63c966c0f,f6fff6ffecff0e00fcff1e000800f8ff00001e00ecffecff3000f2ff0600f6ff
3,3,0,eaff0c000e00dcffe6ff2400e8ff08001800f6ff8200ceff1c000c00feff0e00,2000ceff0400040006000600feff2e001c00faff22000200eeff0000ecffbcff,0c000c0000000e001e00ecfff6ffe6ff68613e41506d8c1ecc6d12f8c45b46d1,f6fff6ff0e001e000e00fcff18000800e0fff0ffecffdcff3000000016000600
4,4,0,faff0c00ecfffcff3400f6ff18000800e6fff6ffa000deff0c00daffeefffeff,deff20001400f2ffb0ff16002e00ceff0c00eaff0200e4ffeeff0000fcffecff,0c00faff0e00f0fffcff0e00160026005e93c2db409326024e9eb0282eba104a,1800d6ff0e000e000e00ecff180018003e000e002a00dcff40003000e6ff0600
5,5,0,1c000c00fcffecffd6ff4400180008000800f6ffb00082000c001c00feffeeff,ceffceff04000400d2ff38001e00ceff0c00fafff4fff4ffdeffeeff0c00dcff,0c00fafff0ff0000fcff0e0006000600a66d02049a62fedd324d86bac02944a1,08000800ecff0e000e00dcff280018000e000e000a000a00100000000600e6ff
6,6,0,0c00faffdcffdcffe6ff340008000800f6fff6ff64008200eaff0c000e00eeff,1000200004000400d2fff4ff0e000e000c000c00f4ffe4ffeeff1000ccffecff,0c00eaff00000000fcff1e001600d6fffc9a4c1c10b0683f62ce905c0cf61e6b,e6ffe6ff0e000e000e001e00380028001e00f0ffecfffcff1000200016001600
7,7,0,1c00faffecfffcff040004001800080018000800740064002e00eaff4e00eeff,100010000400f2ffd2ff28001e00deffeaffeaff02000200eeffdefffcfffcff,1c000c000e000e00fcff0e00f6ff06004c534cc50a36e2a8f411b89438e90692,08000800ecff0e000e000e00480018000e00f0ff3a00ccff1000300006000600
8,8,0,fafffaff2e00ecff3400240018002800f6ff0800740064000c00faff0e00feff,1000100004003400c2ff0600cefffeff0c001c00e4ffe4ff0000eeff1c001c00,eafffaff0e00d0ff0e003000d6ff0600f6c4fc5290e81e679e0f727074354e67,e6ff18002e000e000e001e00180018000e000e001a00bcff10000000f6fff6ff
9,9,0,faffeaffecfffcff0400e6ff18000800e6ffe6ff9200fcffeaffeafffefffeff,eeffceff04001400e4ffd2ffeeffeeff0c00faff0200e4ffeeffeeffccffecff,faffeaff00001e001e001e00060006006a1d709ba4f6069278d0069464b086a8,28001800fcff0e000e00fcfff8ff180000000e00ccffecfff2ff500016000600
10,10,0,faff0c00ecfffcffe6ff340008000800f6ffe6ffecffceffeaff1c001e000e00,deff2000f2ff140006001600eeffdeffeaff0c00f4ffd6ff32000000fcff0c00,0c000c000e000e00fcffdaff1600f6ff8203866d1e294c6b904bb65d7a62ea3f,f6ff0800fcff0e000e000e00e8ff18000e000e00fcff0a00f2ffe2ffe6fff6ff
11,11,0,1c00c8fffcff1e00f6ffe6ff28003800e6ff08000a00cefffaff0c00feffaeff,deffeeff1400040006000600eeffdeffdaff0c00d6ffd6ff2000eefffcffdcff,eaff1c00000000000e000e000600160082dc5e93acbaeca0349f92b8349346dd,180008000e00fcff0e00fcfff8fff8ff0e00000078000a00200030001600f6ff
12,12,0,eaffeaff0e000e00d6ffd6ff08000800f6fff6ffecfffcff0c000c004e00eeff,eeffeefff2fff2ffd2ffd2ffdeff0e00faffeaffe4fff4ff10001000dcffccff,faff1c00f0fff0ff1e000e00f6ff2600be40b861965b664a5a6dbe2a306d9202,080018000e000e000e000e00d8fff8ff00000e00fcffecff1000f2ff16000600
13,13,0,c8ffeaffccffecff34002400180008000800f6ff74007400daff0c00fefffeff,10002000f2ff040006001600deffdeff0c00faff0200e4ffeeff0000ccffdcff,1c00faff1e000000fcfffcffe6ff0600d6a744b17096c4d0be8faaf59c9bfa1d,f6ff08000e00fcff0e001e003800c8ffe0ff00004800dcfff2ff30003600e6ff
14,14,0,fafffaffecffecff2400e6ff08002800f6fff6ffdeffb000eafffaff0e00eeff,deff2000e2ff240016000600eeffdeffeaff2c00f4fff4ffccff1000dcffecff,0c000c000000f0fffcff1e0006000600a467a634126e72107a6920e9cc5212c4,f6ff18001e000e000e000e00080008000000f0fffcffecff5000200016001600
15,15,0,faff0c000e000e00e6fff6ff28001800f6ff0800a0ff74001c000c00eeff0e00,1000deff0400f2ff06000600beff0e00faff2c00f4ffe4ff1000eeff0c00bcff,0c00faff000000000e00fcff0600d6ff1a9260e9c096e2109ca66a3616c65454,f6ff0800dcfffcff30001e00e8ff18000e0000002a00fcff30003000d6fff6ff
16,16,0,eaffdafffcffdcffe6ffd6ff0800e8ffe6ffd6ff920082000c001c00fefffeff,deffdeff0400e2fff4ff0600deffcefffafffaff120002000000deffdcfffcff,faff1c000000f0fffcffdaff06000600026b14f5145b46d0784140af941b6e9a,0800f6ff0e000e003000ecff1800e8ff0e000e001a001a0010001000f6ff0600
17,17,0,1c00dafffcffdcffd6ff0400f8ff1800e6fff6ffecffa0001c000c00eefffeff,deffceff040024002800d2ff0e000e000c000c00f4ff2200eeffdeff1c00dcff,0c000c000e000e00ecfffcfff6ff0600baa1d22afcbafe4a76dc7c64fc04c06d,f6ff08001e000e0030000e000800e8fff0ff00000a00fcfff2ff0000f6ff1600
18,18,0,dafffaffecffecff2400040008001800e6ff0800c0ffceff1c001c00cefffeff,1000eeff04001400b0ff2800eeffdefffaff0c001200e4ff10002000fcfffcff,0c001c00f0ff00000e000e00d6ff0600ba48a6b97e28dca0ae026091fcdad493,28001800fcffecff1e00ecff18002800e0ff2e00fcff2a00200020001600e6ff
19,19,0,0c00faffecfffcfff6fff6fff8ff0800e6fff6ff82000a000c00eaffdeffeeff,deffdefff2ff24002800d2ff2e00eefffaff1c0022000200eeffeeff1c00ecff,0c001c0000000e000e000e002600e6ff22d2ea5b54f75c6b7e1e7e6f0c422c61,f6fff6fffcff1e00fcff1e00080018000000f0ffccfffcff1000f2fff6fff6ff
20,20,0,0c002c00dcff0e00e6ff040018001800f6ffe6ffecffa000dafffaffceffeeff,4200deff14000400d2ff16001e00defffafffaffe4ff120010001000fcff0c00,fafffaffe0ff0000fcff1e00e6fff6ff8c0ef095f2e70692f4c2a29916a766b2,08000800fcff2e000e00fcff08000800f0fff0ff0a003a001000500006000600
21,21,0,0c002c00dcff0e00c6ff340038001800f6ffe6ff820074000c00fafffeff0e00,deff20000400140006001600defffeffeafffafff4ff2200eeffeeffdcffccff,eaffeaff0e000000fcffcaff1600e6ff1c12066e7a36ce660656a0542e687433,0800d6ff0e004000fcff0e001800180000000e002a00ecff1000f2ff06001600
22,22,0,b8ffc8fffcff0e00f6ff040008002800d6ff0800ceffdeffdaff0c00fefffeff,2000deff04000400f4ff0600eeffdeff0c000c00120002001000eefffcfffcff,faff1c000000f0ff0e00caff06000600d0ce4297c0af52a9829806c5d691b6eb,18000800fcff0e001e001e000800e8ff0e000e000a002a003000e2fff6ffe6ff
23,23,0,eafffaffecfffcfff6fff6ff08002800d6ff0800ceff9200eaffeaff0e00ceff,10001000040024004a00b0ff1e00ceff0c000c000200020010001000ecff1c00,eafffaff0000f0ffecfffcfff6ff06008a4b1a5afa62e83e10707c1c8e6accf3,180018002e000e000e00fcff2800080000000000ccffccff10001000f6fff6ff
24,24,0,faffeafffcffecff2400f6ff080028001800f6ff6400a0000c00eaffdeffbeff,10001000f2ff1400160016000e000e00eafffaff220002001000eeffecff0c00,1c002e000e001e00fcff0e00e6ff060010a098bc10935edea091aa0474a2ee2b,1800f6ff0e00fcfffcff1e00e8ff28000e000e003a001a000000f2ff06000600
25,25,0,faffeaff0e00fcfff6ffe6fff8ff28000800f6ffceffecffdaffeafffeffeeff,deffdeff1400f2ffd2ff1600eeffceff1c000c00d6fff4ffeeffccffccffecff,0c00eafff0ffe0fffcffdafff6ff0600c26b2227106d4201426352da1e483cb8,280028000e002e000e00fcff1800f8ff0e00f0ff0a000a0010005000f6fff6ff
26,26,0,dafffaff0e000e00e6ff04000800f8fff6ffe6fffcffceff1c000c000e00eeff,1000100004000400060016002e00deff0c000c001200020000000000ecff1c00,faff2e000000f0ff0e00ecff160016002092f0f80c9c0a1fc2b00a4374d34a5d,18002800fcff1e000e001e00e8ffc8ff0e000e00dcff2a004000200016001600
27,27,0,c8ff0c00ecfffcff0400f6ff1800180018001800fcffb0ff0c000c00eeffdeff,2000cefff2ff0400060028000e001e00eaff0c00e4ffd6ff1000eeff1c00ecff,0c00eaff0000f0ff0e00ecff06000600226634e6e45128c3503486a5ec0cbc95,180018000e00ecfffcff0e00380008000e000000ecff0a00f2ff100016000600
28,28,0,c8ff1c00ecffdcff0400f6ff080018001800e6ffceffceffdaff0c00feff0e00,1000defff2ff04001600d2ffdeff1e00eaff0c00020012000000eefffcffecff,eaff1c000e00f0fffcff1e001600160060aae6377ac70a5566eb4e6af413306e,f6ff18000e000e00fcfffcfff8fff8ff00000e001a00fcfff2fff2ff2600e6ff
29,29,0,eaffeaff0e00fcffe6ff2400080008001800e6ffcefffcfffaffeaff4e00ceff,eeffceff040004000600d2ffdefffeff1c00eaff1200e4ffeeff0000fcffdcff,0c000c00f0ff0000fcffecff060016006e40faae701aec9976f39e8f74cdbc97,080008000e000e001e001e001800d8ff0000e0ffecffbcff4000300006000600
30,30,0,0c00fafffcfffcfff6ff340018001800f6fff6fffcffdeffeaffeaffdefffeff,deffdeff0400f2ff160006001e00ceffdaff0c00e4fff4ff00000000ecffecff,0c00eaff000000001e00caff0600e6ffe2df3c634a06b06dd22ce86c6c4d3659,28001800fcff1e001e00ecfff8fff8ff0e000000ecff2a0030002000f6fff6ff
31,31,0,0c000c00fcff1e00e6ff04002800e8ffe6ff1800ceffecfffaffeaffeefffeff,3000eeff0400f2ffc2ff06000e00feffeaffeaff2200020000000000fcff0c00,fafffafff0ff0e000e00fcff0600e6ff94ffb092dad9109410b784a0329f66bd,080018002e00fcff30001e000800f8ff0e000e000a001a00f2ffc2ffe6ffe6ff
32,32,0,0c000c000e00fcff2400040018001800e6fff6ffb000fcffeaffeaffeeffeeff,2000defff2fff2ff1600e4ffceff1e000c000c002200e4ffeeffccfffcfffcff,0c00daff0e0000000e00ecff1600f6ff0621066dec429660365fc449ee6b8e25,180008002e000e001e001e00e8ffe8fff0ff1e001a001a00f2ff4000d6fff6ff
33,33,0,0c000c00ecff0e002400f6ff1800e8ff1800f6ffecffceffeaff0c00eeffceff,4200cefff2ffe2ff1600c2ffdeffdeffeaffdafff4ff220000000000fcffccff,faff0c000000f0fffcfffcff16001600e4c1b09c36a656b3a49392d24692ccfa,080018000e000e000e000e002800d8fff0ff0e00dcff2a006000f2ff06000600
34,34,0,c8ffeaff0e000e00e6ffe6ff180018000800f6fffcfffcfffaff1c00fefffeff,ceff30000400e2ff060016000e002e00fafffaffe4fff4ffeeffeeffbcffdcff,0c00fafff0ff0e001e00ecffd6ff16000e562e519c6836325070a80d9e65fce4,08000800fcff0e000e001e00e8ff380000000e00bcff0a002000500006000600
