Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,28001800040004003600e8ffe8ffd8ff0c00faff4800feffe4ff1200eaffdaff,faff1c0006000600e0ffe0ff0a000a000e00fcff320050000400140012001200,4c005effeaff5800e001d0015200f2ffe65f1ccddc95a64d8c4dd895a2ef4c4a,2a000a00300000000e00ecff1e000e00e0ff0e00e2ffe2ff240034000600f6ff
1,1,0,f6ffe6ff34000400f8ff06001800f8ffdaff0c000c001c002200e4ff0a00daff,2c000c00360016001e0000000a00eafffcfffcff22001200f2ff04000200f2ff,faffdaff2800faffd0014002720082ff24494c9724df1c49b4d23eebd85d04d1,0a000a003000eefffcff1e000e00eeff00000000e2ff7aff0400e6ff0600f6ff
2,2,0,f6ffe6ff14000400e8ff3600e8ff0800eafffaff3a002a00120012000a00faff,faff1c0006000600f0fff0ff0a00fafffcff2e000200f4ff2400e2ffd2ff1200,4cff3c0066008effd0016202e2ff02001cce88f10e4d10d9c8957c5ddc4aaa97,0a002a001000eeff1e000e00eeff3e002e001e00f2ffe2ff3400f6ff1600d6ff
3,3,0,e6fff6ff04001400f8ff5600f8ff0800caffdaff3a001c00120012001a002a00,eaff0c00f4fff4ff3e00e0ff0a00eafffcffecff32001200040014000200f2ff,daff5c00faffeaff5202d00182ff42004c97965f1c49ea958eeb364e04d102ef,1a002a0020002000fcffecff0e002e0000000000e2ffd2ff1400240016000600
4,4,0,0800f6ff0400f2fff8ff06000800e8ffeaff0c002a003a00f4ff1200eaffdaff,eafffaff160026000000d0ffeaff1a000e000e00f4ff1200f2ff040032001200,5c00faff6eff48004002c001f2ff620078f1344998d922de5c5d98d37a97885d,0a001a00000020000e00ecfffeff0e00f0ff00000000f2fff6ff0400e6ffe6ff
5,5,0,f6ff080014000400360006000800e8ffeaffeaff2a000c0002001200faff1a00,eafffaff160006003e00e0fffaff1a00fcfffcff1200f4fff2ffd2ff1200f2ff,7c005effcaff7600e001d0016200e2ff765ff2cebc95f04cc84ea895e2ed1c4b,0a000a00100020000e00fcff4e000e000000e0ffd2fff2fff6ff24002600e6ff
6,6,0,0800f6ff2400140046000600f8ff08002c00eaff2a005800020022001a00eaff,eaff0c0006000600d0ff1e00eaffdaffccff0e0012001200e2ff140022001200,eaffeaff380008008e011002420082ff144a1c9798dde249dad36aea285db4d1,0a002a00100000000e002e002e00eeffe0fff0fff2fff2ff14001400d6ff0600
7,7,0,0800f6ff040014003600e8ff0800e8fffaff2c0048000c00d4ff02000a001a00,fafffaff06001600e0ffe0fffaffdaffecfffcffe4ffe4ff040014000200e2ff,5eff5c0076008effd001400202000200b2cf34f0f04c00d996956c5dbc4b7a97,0a000a002000defffcff0e00eeff3e00e0ff00001000000024000400e6fff6ff
8,8,0,f6fff6ff04002400e8ffd8fff8fff8ff0c00faff0c001c0022000200caff6a00,baffeafff4ffe4ffe0ff2e00fafffaffecff1e0012001200e2ffe2fff2ff0200,daff4c00caffeaff3002f00172ff52004c97f25e104acc953aea9c4fa2d2a2ed,f8ff0a00100020000e00fcfffeff0e00f0ff0e00d2ffe2ff0400e6ff1600f6ff
9,9,0,f6ff0800040004003600f8ff0800f8fffaff2c002a002a00020002000a00daff,1c001c0026001600f0ff0e00fafffaff0e00fcff220002001400f2ff12001200,5c000c006eff480062028e01f2ff620062eff84a5cd9dcdc3c5dd6d43a97285d,2a001a00000052000e000e002e00feff0e000000e2fff2ffe6ff1400f6ff2600
10,10,0,f6ffe6ff14000400e8ff3600d8ffe8fffaff0c00feff2a00120012002a00eaff,eafffafff4ff1600f0ff0000eaffdafffcffecff12003200e2ff040012001200,5c005efffaff4800f001c00142001200505eaed0bc951c4c5c50969554ec3a4c,1a00f8ff100010000e002e004e000e0000000e00c4ffe2ffd6ff24000600f6ff
11,11,0,f6fff6ff04001400460006000800f8ff0c00daff2a001c00020012001a001a00,faff0c000600f4ff1e003e003a00faffdcff0e002200f4fff2ffe2ff4200f2ff,daff6eff3800daff9e012002720082ffc84b0c9770db084bb8d5c8e7025c7ad4,1a001a002000eeff0e001e002e00eeff00000e00e2ff1000e6ff0400d6fff6ff
12,12,0,18000800f2fff2ff36003600080018000c00eaff2a002a00c6ff0200eaffdaff,eaff0c00f4ff0600f0ff1e00eaffeaff0e000e004200f4ff0400e2ff02002200,5eff6c0048006effd0015202c2fff2ff1ed1e2ee0c4c60da8695685caa4c4a97,0a001a00200000000e001e000e000e00e0ff0000b4ff0000f6ff2400e6fff6ff
13,13,0,f6ff080024000400f8ffd8fff8fff8ffeafffaff1c000c00f4ffe4ff0a001a00,faffeafff4ffe4ffe0ff2e000a00fafffcff0e003200f4ff04000400e2ffe2ff,faff4c00eaffeaff2002000282ff4200fc96105e084bcc95eae8ce501ad404ec,1a001a00100010002e00dcff0e002e000e00e0fff2ffd2fff6ffe6ff0600f6ff
14,14,0,e6ff08003400f2ff36003600f8ffe8ffeafffaff48001c000200d4ffdaff0a00,0c000c00f4ff16000000e0fffafffaff0e00fcffd4ff1200f2ff240002001200,4c00faff5eff280020029e01f2ff62007cedd84b8edbd8dae65bcad60a97e25b,1a001a0010002000fcff0e004e002e000000e0ff0000f2ff1400f6ffe6ff0600
