Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,00000000e2ff14000400420024001400f2ffe2ff40003200d4ffd4ff0600f6ff,0a00fcff0000eeff2a00ccff1a000a0002001200f0ff0000fcffdcff26001600,360058002e0000003e009aff6e007eff064f50d9aa4a26afe64238ab281810bc,f2ff0400f4ffe4ffe0ffe0ffeeffdeff0e000000daff6800feff0c00f6ff1600
1,1,0,f0ff00000400d2ffc8ff0400040004000400f2ff3200f6fff2fff2ff5600e6ff,dcfffcff20000000ecffdcfffaff0a0012000200f0ffe0fffcfffcff06000600,5800d0ff5e0072ff0e009afffeffeeff8a44c8a6b60340c3a2e2deeab2b9b21c,e2fff2ffd4ffd4fff0ffaeffdeffcefff0fff0ffcaffdaffeeff2a00f6ff0600
2,2,0,f0ff0e00d2fff2ff32003200e4ff24000400f2ff4000f6ff20000000f6ff0600,1a00dcff10000000fcffccfffafffaff220002000e000000ecfffcfff6ff1600,140060fff0ff0e009aff0e008eff2e006ed8c8f046afdc2138ab1046cabc6854,f2ffe2ffd4fff4fff0ffd0ffdeff0e001e000e003800daff76000c00e6ff0600
3,3,0,f0ff1e0004000400d8fff6ff040014003400e2ff320040002e002e000600d6ff,2a000a000000eeffecffccfffaff5a002200f0fff0ff0e00ccffecff26003600,4eff0400c0ff3e009aff2e009eff7e00b6a6e44e88c28a4aa2e99c41e21cf817,e2ffe2ffb2ffe4ffe0ff0200feff0e0000000e00eaffdaffeeff0c00f6ff1600
4,4,0,000000000400f2ff0400e6ff1400f4ff0400240032006e0000003e000600d6ff,dcff1a00000000001a00dcff0a000a0002001200f0ff0e002e001e0006001600,60ff780000004e00ecff2e002e00feff78f18a3f68234404ec46b2e2885470ba,d2ffe2ffd4fff4ffe0fff0ffeeffceff1e000e00080038002a002a00f6ff0600
5,5,0,00000000140004001400f6ff0400f4ff0400040022003200200000001600e6ff,ecfffcff2000eeff3800ecff0a00fafff0ff0200e0fff0fffcfffcff16000600,140036003e00f0ff3e008aff5e007eff5a4f82d75c4aa2ae624128ab48173abd,f2ffe2ffd4ffe4fff0fff0ffeeffaeff00000e00580008000c000c000600f6ff
6,6,0,f0ff0000f2ff04003200f6ff040004002400e2ff50002200100000004600f6ff,fcffecff100000004800dcffeafffaff0200f0ff0e00f0ff1e000e00f6ffe6ff,680060ff6e0092ff0e00aaffeeff9eff183fc8a612036ec33ce1aeea72b9ae1d,e2ffe2fff4ffb2fff0fff0fffeffeeff00002e00180008002a003a00f6fff6ff
7,7,0,f0ff1e0014000400f6ffd8ff14001400e2ff2400500022002e000000f6ff1600,0a000a00200010001a00ecffeafffaff1200f0ff1e000000fcfffcff16000600,680070ff0e00f0ffaafffcff8eff4e0060d752f2c2ae422458abdc472abd5854,0400e2ffe4ffe4ffe0ffc0ffceff0e00f0fff0ff380038002a00feff06000600
8,8,0,f0ff0000e2fff2ffd8ff320024000400f2fff2ff0400400000002000c6fff6ff,bcff0a00eeff10004800ecfffafffafff0ff02001e000000fcfffcff06001600,70ff0400b0ff5e00aaff60009eff4e00d8a66a4faec34c4a1eeb1241ee1db816,f2ffc2ffc2ffe4ffc0fff0ff0e000e0000000000eaffdafffeff1c00e6fff6ff
9,9,0,0000f0ff0400e2fff6ffe6ff0400e4fff2fff2ff22002200f2ff1000e6fff6ff,fcfffcff0000eeffccff2a00faff1a00e0fff0ff4a000000ecff2e002600f6ff,60ff8a00e0ff6e000e000e004e000e00eaf2a23ec6243201fc47e2df585462b9,e2ffe2ffe4ffe4fff0fff0ffceffeeff1e00e0ffeaff18003a000c00f6fff6ff
10,10,0,0000f0ff0400e2ff3200e6ffe4ff1400f2ffe2ff0400320010002000f6ffe6ff,acfffcffeeff1000ecfffcffdafffafff0fff0ff00001e00ecfffcff0600e6ff,140024003e00f0ff6000ccff6e009effe04f7ad62e4aa2aea84068abf815f6bd,e2ff0400e4ffe4ff0200f0ff0e00befff0ffe0ff080048000c000c0016000600
11,11,0,1e00f0ff1400f2fff6ff0400f4ff1400340024003200320000001000f6ff0600,ecff1a00deffdeff1a002a005a000a00120002000000d2ffecffecfff6ffe6ff,580060ff6e00c0ff1e00bcffeeffceffe23deaa652015ec582e036ed12b9be1f,e2ffd2fff4ffd4ffe0ffe0ffceffeeff00000e00180048000c003a00f6fff6ff
12,12,0,f0fff0fff2ffe2ffe6ff04002400340004000400e6fff6ff1000d4fff6fff6ff,0a00ecffeeffeefffcffccff0a00faff020002000e000e00ecffdcff0600f6ff,46003effc0fff0ff9affecff9eff3e00b0d5b4f364aeb82458abfc47c6be7854,f2ffd2ffb2ffc2fff0fff0ffeefffeff00000000580028000c00eeffe6fff6ff
13,13,0,0e001e00e2fff2ffd8ff04000400240004000400f6ff320010001000f6fff6ff,fcff0a000000eeff2a00ecff0a005a00020002000000f0ffdcff2e00f6ff2600,d0ff460072ff1e009aff5000feff8e00e2a7f24f5ec5e049f6ec863f4e200815,e2ffe2ffd4ffd4ffd0fff0ffdeffceff0e000e00daff0800feff3a000600f6ff
14,14,0,0000f0fff2fff2ffe6fff6ff240014002400f2ffc8ff04001000c4ff0600e6ff,dcfffcff100000003800dcffeaff0a000200220000002c000e000e00f6ff0600,0400580000003e00fcff1e006e008effe6f3f43d20267a00cc47b2df685450b8,f2fff2ffc2ffd4ffc0fff0ffeeffceff1e00f0ff280008000c00feff1600e6ff
15,15,0,1e00f0ff04001400e6fff6ff14002400f2ff14005e003200e2ff100006000600,0a00fcffdeffeefffcffbeff0a00eafff0ff2200e0ff0e001e000e0036001600,240024006e0000006000aaff5e009eff78508ed50e4af8ad784078ab5814c6be,04002400e4fff4fff0ffc0ffeeffeeffe0ff0e0018001800deff0c00f6fff6ff
16,16,0,1e00f0fff2fff2ff14000400040014000400f2ff3200320010001000e6ff0600,ecff0a00100010003800dcffeaffdaff0200f0ffd2ffe0ff1e00fcff26000600,680070ff4e0082fffcffaaffeeffeeff3a3d2ca72201a4c4b2dff6ec40b8de1f,e2ffe2ffd4ffd4ff1200e0ffdeffeeff0e0000000800daff2a00fefff6fff6ff
17,17,0,000000001400f2ffd8fff6fff4ff14000400f2ff320004000000f2ff0600f6ff,2a00fcff00001000fcffccfffaff0a0012001200f0ff0000ecfffcff16001600,240060ff0e000e00aaff1e006eff4e008cd48ef506ae9c2678abce4896bf4854,0400e2ffe4ffd4ffd0fff0ffceff0e001e001e0038000800deff2a00e6fff6ff
18,18,0,1e00f0ff24001400f6ffe6ff0400f4ff040004000400320020000000f6ff0600,dcffecffeeffeefffcffecffdaff4a0002002200e0ff1e00fcff0e00c6ff1600,70ff240072ff3e00aaff60008eff3e004ea78a517ec6e04916ee063fb0208813,d2fff2ffb2ffd4ffe0ff0200befffeff00000000daff0800deff2a00f6ffe6ff
19,19,0,1e000e000400f2ff0400d8ff1400f4ff240024005000320000001000d6fff6ff,0a00ecff10000000ecff2a00faffeaffceff12002c001e00fcffdcff16001600,60ff5800f0ff5e00ecff0e001e00eeffc2f5d63cac26c6fe6c4894dd485470b7,f2fff2fff4ffe4ff12000200fefffeff2e000000280058001c001c0006002600
20,20,0,e0ffe0ff1400f2ff04000400f4ff2400f2ff14000400400020002e00f6ff1600,ecffecffeeff0000fcffecffeaff0a000200e0ff000000003e001e0016001600,240014003e00f0ff7000ccff5e006effaa50f6d39249f8ad7a3e78abe81286bf,d2ffd2ff0600d4ff0200f0ffeeffaeff0e000e000800dafffeff3a0006000600
21,21,0,f0fff0fff2ff0400e6ff3200f4ff0400f2ff3400400050002e000000f6ff0600,0a00fcff2000deffecfffcff0a00faff2200f0ff2c001e00fcfffcffe6ff1600,780060ff5e00c0ff3e009aff0e00ceffde3b9ea742ffccc606dec4ef40b77021,e2ffe2fff4ffc2ff1200d0ff1e00eeff00000e002800eaffeeffeeffe6ff0600
22,22,0,f0ffd2ff1400f2ff0400040004001400f2ff1400e6ffe6ffe2ffe2fff6ffc6ff,fcffecff10001000ecff3800daffeaff1200e0ff0e002c000e00ecff06000600,240060fff0fff0ffbcff1e008eff2e0090d304f69aad5e26a8ab7049d6bf2854,e2ffc2ffd4ffc2ffe0ff0200ceff0e000000f0ff180008000c003a00e6fff6ff
23,23,0,0000f0ff04000400e6ff1400140024000400f2ff3200e6ffe2ff2000f6ffd6ff,fcffecffeeff20002a000a000a000a00f0fff0ff2c000e00fcff0e0026000600,60ff4600c0ff1e00bcff6000eeff5e00f2a7cc512ac7324966eeea3dae229012,e2fff2ffd4ff0600e0ff1200eeff0e00f0ffe0ff380018003a003a000600f6ff
24,24,0,e0ff000004000400f6fff6ff0400e4ffe2ff0400e6ff04001000100016001600,0a00fcff0000eeffdcff2a000a00faffe0fff0fff0ff0e002e00fcff0600e6ff,70ff6800f0ff3e001e001e004e00eefff4f69a3b8e26cafd904904dd1854d0b6,c2ffd2ffc2ffe4fff0ffc0fffeffbeffe0ff0000eaff28003a002a00e6ff0600
25,25,0,2c00f0fff2ffd2ff4200420014002400f2fff2ff320022000000000016001600,fcff0a00eeff0000ecff38005a00faff02000200e0fff0ffecfffcff1600d6ff,580036002e00c0ff0e00ccff6e007effee514cd2a249d8ad163fa8ab581376bf,1400f2ff0600d4ff0200f0ff0e00deff0e001e00eaffcaff0c003a001600d6ff
26,26,0,1e0000000400f2ff0400d8ff0400f4ff040024000400e6ffe2ff2000f6ff1600,fcff0a00eeffdeff3800ecff3a002a00e0ff1200000000002e000e001600d6ff,8a00c0ff4e0072ff0e00ccff0e00feffbe3af2a7cafd1ac7f4dc34efe0b6c021,f2ffe2ff0600b2ffc0ffe0ffdefffeff0000f0ffeaffcaff1c003a0006002600
27,27,0,0000f0fff2ff1400f6fff6ff04001400e2ff24005e0040000000200006005600,0a00fcffeeffeeffdcffecffeaff0a00f0ff12000e00f0ffdcff0e00f6ff3600,460080ffe0ff0000aafffcff9eff4e00c6d112f8e2ac5e2898abf049a8c11854,0400e2ffc2fff4fff0fff0ffeeffeeff00001e00baff08000c002a00e6fff6ff
28,28,0,1e000e00040014003200040004000400e2ff04002200040020002e0006002600,ecff0a00deff1000ecffccfffaff4a000200120000002c00ecfffcffd6ff2600,60ff580082ff4e00ccff1e00eeff5e0026a8ee517cc82449b4ef5a3d6e23e210,e2fff2fff4ffe4ffc0ff2200deffeeff0e001e00daff0800feff0c0006000600
29,29,0,1e001e001400e2ffe6ffd8ff1400140004002400040032001000000026000600,ecfffcff00000000fcffecff0a00faff2200020000000e00ecff2e0006000600,d0ff9a000e005e001e00dcff4e001e0002f8f03a8c28e6fb004a2cdb085480b6,f2fff2ffd4ffd4ffe0ffd0ff0e00beff00001e00daff18000c000c00d6ffe6ff
30,30,0,f0fff0ff0400f2ff0400f6ffe4ff040024000400320004002e000000f6fff6ff,0a00fcff10000000dcff0a00eaff0a00020002001e001e00dcfffcff2600d6ff,240036006e0000003e009aff5e006eff525262d1e6482cadaa3da8abc21068c1,e2ff0400f4fff4ff02000200ceffbeff1e00f0ff3800dafffefffeffe6fff6ff
31,31,0,f0fff0ff0400f2fff6fff6ff0400e4ff0400140022002200e2ff0000e6fff6ff,0a00ecff10001000dcff38000a00fafff0ff02000e000000fcfffcff0600f6ff,780004006e0092fffcffaaffeeffdeff263a68a854fcb2c9acdb7ef1b0b50e24,f2ffd2fff4fff4fff0ffe0ffeeffdeff0e00f0ff1800eaffdefffefff6ff0600
32,32,0,f0fff0ff04001400f6fff6fff4ff0400040034005e005000e2ff2e00d6ff0600,fcffecff200020003800fcffeafffaff020002002c000e00ecffecffe6ff2600,240060ff00000e00bcff0e006eff3e00b8d078f874ac4829d8ab6a4ac8c1d853,e2ff0400d4ffe4fff0ff0200feff0e001e001e00480038000c002a00f6ff1600
33,33,0,0000000014001400f6ff04000400f4ff2400f2ff22004000200000001600f6ff,0a00fcff1000eeffecff1a000a00fafff0fff0ff2c000000ecfffcffe6ffe6ff,70ff2400d0ff5e00aaff2e00deff5e0058a9645264c9c648a4f0023c6824400f,d2ff0400d4ff0600f0ff0200ceffdeff1e000e00180018001c000c00c6fff6ff
34,34,0,f0ff1e000400f2ff3200f6ffe4ff1400f2ff3400f6ff22002e00e2ffd6ff5600,ecff0a0000000000fcffecffdaffeaff020022005a001e001e001e00e6fff6ff,4eff5800f0ff3e002e00fcff3e00ceff08fa063ab02ab6fb8a4a1cdbb853a0b5,c2fff2ffe4fff4ffe0fff0ffdeffceff00000e00080028001c004800e6ffd6ff
35,35,0,0000f0fff2fff2ffd8ffe6fff4ff040014001400220022002e002e002600f6ff,fcfffcff00000000dcffecff0a00daff2200f0fff0ff2c001e000e002600f6ff,360014005e00e0ff5000ccff5e007eff425342d03a4856ace23b08ac100f26c3,040004000600d4fff0fff0fffeffeeff00002e00180018000c00feffe6ffc6ff
36,36,0,00001e0004002400e6ff3200f4ff0400d2ff2400e6ff220010001000d6ff1600,ecfffcff0000eeff2a00fcff0a000a00cefff0ff1e00e0ff0e00fcff06001600,9a004eff4e0072ff1e009affdeffdeffe23858a9ccfa94c98cdab6f230b57225,e2ffd2ffe4ffc2fff0ff0200eeffdeff000000004800caffdefffeff0600e6ff
37,37,0,f0fff0ffe2fff2ff0400e6ff3400040004000400220032001000200006002600,0a00ecff0000deff0a00dcff0a00eaff2200f0ffc2fff0ffecff0e0006002600,580070fff0ff0000aaffecffceff4e0022d02cfb26acc02ae8ab0a4ba6c2d853,d2ffd2ffe4ffe4ff0200f0ffceffdeff0000e0fffaffdaff1c003a00e6ffe6ff
38,38,0,f0fff0fff2ffe2ff04000400f4ff2400240004005000e6ff00000000e6ffe6ff,ecff0a0010000000fcffecfffaff1a00e0ff1200d2ff0000dcfffcfff6fff6ff,2cff240072ff4e00bcff3e00ceff6e006aa9425364c98848a6f2223cf224400f,d2ffd2ffc2ffc2ff1200c0ffeefffefff0ff000008002800eeff0c00e6ff0600
39,39,0,1e001e00e2ffd2ff3200f6fff4ff0400040004002200e6ff20002000f6ffe6ff,ecfffcffeeffeeffecff3800faff0a002200e0fff0ff2c00fcfffcff1600f6ff,04006800e0ff3e00dcfffcff4e00feff3cfba0381e2ba6f91a4bd2d9c85330b5,e2fff2ffd4fff4ffe0fff0ff0e00fefff0ff0e00eaffcaff3a00defff6ffe6ff
40,40,0,0e000e000400f2ffd8ff24000400040024002400040004002000f2ff56000600,fcff0a001000deffecfffcfffaff0a00f0ff12001e000000dcfffcff06002600,460058003e00f0ff60009aff5e008eff7653accf5a4826acd03bf8abf00e16c3,e2ff0400e4ffd4fff0ffd0ff0e00deff0e000e00caff18002a003a000600f6ff
41,41,0,0000000004000400f6fff6ff240004000400f2fff6ff22000000e2ff2600f6ff,0a00ecff000000004800fcfffaff0a00220022001e00b4fffcfffcfff6ffc6ff,6800d0ff5e0082ff0e009affeefffeff5c389ca9cef8b8ca96d868f3b0b4a225,04000400f4ffb2fff0ffe0ffeeffeefff0ff0e00caffdaff3a004800f6ffd6ff
