Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,020002000200e0ff0c00feffecfffcff2a00d8fff8fff8ffe4fff4fffaff1a00,1c00faffeeff000036002600f4fff4ff14001400f0ffc0fff6ff080020004000,0c00faffdcfffcff0c00faff08000800360fc07cb67522f41ca2e28662d24268,0e000e002e00fcff0a000a001400d4ffecff2a004400daff1c00feffe6fff6ff
1,1,0,1200f0ff220002000c00feffecff0c00f8ff0a002600260012000200faffeaff,2c000c00deff10000600d8ff040004000400d2fff0ff0e000800080010002000,0c000c000a00ecffdafffaffd8ff18005ea8208baebd7054fe7fd63e22fd8290,3e000e001e00fcff0a003a00240024000a00ecffacffdaffe0ff2a000600e6ff
2,2,0,2200020002000200feffeefffcffecfff8ff0a001600f8ffd6ff0200faff1a00,0c00eaff10000000e8fff8ff44000400f2ff04000000d0ffe6fff6ff20002000,eafffafffcff1a001c000c00f8ffd8ff907c4042c2f52883c086d4117267fe7f,0e002e002e000e000a001a00f4ff54000a001a00dafff8ff0c00eeff0600f6ff
3,3,0,02001200020002001c000c001c000c002a00e8ff2600e8ffe4ff20000a00faff,fafffaff000000000600f8fff4ffd4ff340004001e000e00f6ffe6ff10002000,0c000c00fcfffcffeaffeaff0800f8ff8e8af40dd05366768a407ca3a29092d1,0e005e00fcff1e00f8ff0a001400d4ff38001a00f8ff1600fefffeffe6fff6ff
4,4,0,02003200f0ff0200cefffefffcff0c003a000a004600d8ff12001200eafffaff,0c002c00200010003600d8ff0400e4ff040024003e00f0ffc4ffe6ff00000000,c8ff1c00ecffecff0c00faff0800e8ff70422ea948831ebd8211fe7ffe7ff2fd,1e001e001e00fcff0a002a00040034000a00fcff06000600eeffe0ffe6fff6ff
5,5,0,e0ff1200f0fff0fffeff0c00fcfffcff2a00f8fff8ff3600120030002a00daff,fafffaff2000eeff0600f8fff4ffe4ff3400f2fff0ff2e000800f6ff10002000,eaffc8ffecffdcff1c001c002800f8ff740db07cb67602f6d0a32a86c2d0a266,1e000e001e001e000a000a001400f4ff0a001a00caffcaffe0ff0c0006000600
6,6,0,f0ff12001200f0fffeffdeff0c000c00e8ff0a000600f8fff4ffd6fffaff1a00,0c00eaff10001000e8fff8ff0400e4ff0400040000003e00f6ffe6ffe0ff0000,1c000c00fcffecfffaffeafff8fff8ffe0aafe895cbc2053fe7f2241e2feb290,1e00fcff0e001e000a000a0024000400ecffecfff8ff2400feff0c000600e6ff
7,7,0,f0fff0ff22001200feff4c00fcff0c00f8fff8ffc8ff460002000200faff1a00,fafffaff0000300036003600140004000400e2ffe0ff0e00f6ffe6ff2000f0ff,eaff1c000a001a00eaffeaffe8ffe8ffd07c004384f788830886ee0fd265fe7f,0e001e002e00ecff2a001a00040014001a00dcffe8ffcafffeff1c000600e6ff
8,8,0,0200e0fff0ff02004c000c000c001c00f8ff2a00f8ff16001200e4ff2a00caff,eafffaff10003000f8ffd8ff0400040004001400f0ff0e000800c4ffe0ff0000,1c00eaffecffdcfffaff0c0008000800de89940ce052e67622419aa4e29022d0,0e000e001e001e003a001a0034001400dcffdcff2400daff3a00feffe6fff6ff
9,9,0,1200e0ff020012000c00fefffcffecff2a000a00e8ff98ff20001200faff0a00,faffeaff100000000600f8fff4ffe4ff2400f2ffd0ff2e00f6fff6ff00002000,0c00fafffcfffcfffaffeafff8ff28005043b0abb8835cbb560ffe7ffe7fb2ff,fcff1e00fcfffcff0a003a00d4ff24001a00fcffe8ffcaffe0fffefff6fff6ff
10,10,0,f0ff220022000200eeff4c000c000c00e8ff0a00d8ffe8ff1200e4ff2a00faff,bafffaff0000eeffe8ff4600f4fff4ff140014003e00e0ffe6ff08001000e0ff,c8ffeaffecff0a00faff0c000800f8ff740b5e7c4877d4f854a57285a2ce5265,0e000e000e001e002a00f8ff040034002a001a00f8ffcaffe0ff1c00d6ff0600
11,11,0,f0ff1200020012000c003c00ecfffcfff8ffc8ffe8fff8ff020002001a000a00,faff2c0000002000e8ff0600f4fff4ff140024000000f0ff0800080030003000,1c003e002a00ecffeaff0c00e8ff280060ac6e899cba2e52fe7f724292003291,0e00ecfffcff0e000a000a0004001400ecff0a00caffdafffeffeeff0600e6ff
12,12,0,02001200e0ff0200feff0c000c001c00f8fff8fff8ffd8ff1200e4ff0a002a00,0c001c0000001000e8ff36000400f4ff14002400e0fff0fff6ffe6ff00002000,1c00fafffcff1a000c00faffe8ffd8ff807c024494f8d8838285060e6264fe7f,3e00fcff0e00fcff0a001a0014000400fcff1a00daffcaffeeffb2fff6fff6ff
13,13,0,f0ff02000200f0ff1c001c001c002c000a00f8ffd8fff8ff12000200fafffaff,fafffaff1000eeff4600e8fff4fff4ff0400f2ffd0ffe0ff080008002000f0ff,0c00eaff0a00fcfffafffafff8fff8ffee88520a1e51a8774c43daa5429172ce,fcff0e00fcff0e002a000a00f4ff04000a00ecff1600e8fffeff1c00f6ff0600
14,14,0,0200120012002200eefffeff1c00fcffe8fff8ffe8fff8ff02001200fafffaff,2c000c00000010003600e8ff4400e4ff14002400f0ffc0ffe6ffe6ff00002000,eaff0c000a000a00faffeafff8ffd8ffa244f0ac5884bcb9060efe7ffe7f8201,1e00fcff2e00fcff0a000a0024003400fcff1a001600f8ffeeffeeff0600f6ff
15,15,0,120022001200f0fffefffeff0c00ecffe8fff8ff2600d8ffe4ffe4ff0a001a00,eaff0c0020000000f8fff8ff4400f4ff04001400f0ffe0fff6ff2a0020002000,eaffeafffcff1a000c001c0008000800a209ee7bd87764f9e6a6768492cde263,2e002e002e001e000a00f8ff34002400fcff0a001600cafffefffeff16001600
16,16,0,0200f0ff22000200eeff3c00fcff2c00e8ff2a00e8fff8ff200002000a000a00,fafffaff10001000e8fff8fff4ffd4ff1400f2ffe0ff0000f6ff080010001000,eafffaff0a00fcff0c000c00f8ff0800b2adce881ab95e50fe7f264482029291,1e000e00fcff0e002a000a00140034000a00dcffbaff8eff1c00d0fff6ffe6ff
17,17,0,0200f0ffe0ff1200feffeeff0c000c00f8ffe8ffc8ffd8ffe4ffe4ff2a001a00,fafffaffeeff00004600f8ff1400f4ff0400e2ffc0fff0fff6fff6fff0ff1000,faff0c00fcfffcff1c00faff1800e8ffbe7b224526fa5884ec84d80c3263fe7f,0e001e001e000e00f8ff0a00440034000a001a00acff0600feff0c0016000600
18,18,0,02000200f0ff02000c000c000c000c000a00f8fff8ffe8ff3000e4ff1a00faff,0c000c001000eeffe8ffe8ffd4ffe4ffe2fff2ff0e00e0ff1800f6ff2000f0ff,1c001c00fcff0a00eaff0c001800f8ff4e8892084c4f6878ce44c2a7e291d2cc,0e00fcff1e002e002a001a0014002400ecfffcffdafff8ff2a00eeff06000600
19,19,0,02000200f0fff0ffeefffeffecffecff2a002a00c8ffd8ffe4fff4fffaff0a00,0c001c00eeff0000060006003400f4ff14000400d0ff3e001800080010001000,0c002c001a00fcffeaffeafff8fff8ff224662ae88847ab80e0cfe7ffe7fc203,1e001e00fcff0e001a000a0014002400fcff0a000600daff1c002a00e6ffd6ff
20,20,0,220002000200e0fffefffeffecfffcff0a00e8ff2600f8ff2000e4fffafffaff,0c001c0010000000e8ff2600e4ff34000400f2ffe0ff0e000800d4ff10001000,eaffeaffdcff1a000c000c00d8ffe8ff5007ae7bc87886fc48a88a8362cb2262,fcff1e002e001e002a000a00040034000a001a000600e8fffeffe0ff3600f6ff
21,21,0,02000200020002003c000c00fcff0c00f8ffd8ffd8ff1600e4ffe4ff2a00faff,0c00faffeeff1000e8ffe8fff4fff4ff04000400e0ff1e000800080000002000,0c00faffecffccfffafffaffe8ff280022afce875ab75c4efe7f7246e2040292,fcfffcfffcfffcfff8ff0a0004003400fcfffcff16000600feff2a00f6ff1600
22,22,0,22000200020002001c00deffccffdcfff8ff0a002600d8ffe4fff4ffdaff1a00,faff0c000000eeff16000600f4ff0400140014000000d0ff0800f6ff40003000,0c00eafffcff1a000c00eafff8fff8ff6e7bb246c6fc08858a835a0aa261fe7f,3e00ecff2e003e001a002a00140014000a00fcff9cffcaff2a002a00f6fff6ff
