Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e2fff2ff16000600eeff1c00faffdaff2e00ecfff4ff320024002400deffeeff,0a000a00040004003a00ecfffcfffcffdeff1000baffcafff6ff18000800f8ff,e4f004f10600f8ffe4ff3800220022009aa652ed2a5068f3dabe582a5e30aec7,faff1c00e8ff0a00fcff0e0004001400f8fff8fffaffaaff4000f2ff28001800
1,1,0,f2ff10000600d2ff1c001c001a00fafffcff0e003200020014002400defffeff,f8ff1a00e2ff1400fcffccfffcffecffeeffeeffdaffcaffe6fff6ff08001800,34f114f1f8ff1600f4fff4ff120022003e43f4db98d76a3e180ebaacde051e56,1c00faff0a002a000e00ecff140004002600e8ffcaffeaff3000500008001800
2,2,0,200000000600e4ff0c000c00daff0a00dcffbcff02002200e6ff1400feffdeff,1a001a00f2ff14000a00fcfffcfffcff10001000faffeaffd6ff0800f8ff3800,04f114f1e8fff8ff0600f4ff020092ffd2edcc4cf8f2b6a7302b205bdec63ead,eaff0c00f8ffd8fffcfffcff2400f4fff8ff0600eaffdaff3000300028000800
3,3,0,00001000f4ff0600feffe0fffafffafffcffecffd4ff320004002400deffdeff,0a00e8ff14000400dcff4a00fcff0c00eeffeefffaffeaffe6fff6ff08001800,14f114f116000600f4ffc2ff1200120074dbaaa60a3e2a5088ac90bf1e56de2f,fafffaff0a00f8ff0e00ecff240034001600e8ffeaff18003000f2fff8ffe8ff
4,4,0,f2ff0000060006002a000c00fafffaff2e00dcfff4ff32000400e6ffdeffeeff,1a002a00e2ff1400fcffecff0c000c000000ceffdaff1800e6ffe6fff8ff0800,14f134f1f8ff06001600e4fff2ff02003c4d1043b6a758d7fe5a600d5ead3e06,0c002c001a000a002e000e000400f4ff260006001800eaff30002000f8ff0800
5,5,0,2000e2ff260006000c00fefffaff0a00ecff2e00f4ff2200420024000e00deff,2a000a000400f2fffcffecfffcff0c00eeffdeffeaffcafff6fff6ff1800d8ff,94f004f11600f8ffe4fff4ff120012009aa6a0ee3a4f58f1b2bff82bde2e7ec6,faffdaff0a001a00ecfffcff340004001600f8fffaffcaff00001000f8fff8ff
6,6,0,00000000f4ff06001c000c000a000a00ecff1e003200220014002400eeffdeff,f8ff0a0004000400ecfffcff4c000c001000deffbaffeaff18002800f8ff1800,14f114f1060016000600060002002200b042b6da98d8ba3f660c24ac4e078e56,0c00faff0a00e8ff1e000e00e4ff0400f8ff0600daff1800f2ff20000800f8ff
7,7,0,1000f2fff4ffe4ff1c000c00fafffaffecfffcff2200800014001400feff2e00,f8ff0a000400f2ffecfffcfffcffecffdeff1000eaff2800f6fff6ff1800f8ff,04f114f10600e8ff160006000200f2ff9eef7c4da8f196a79e2cde5aaec59ead,0c000c000a000a00fcfffcff0400f4ff1600f8ffeaffcaff100060001800f8ff
8,8,0,f2fff2fff4fff4ffeeffd0ffeaff0a000e001e00e4ff02002400e6ff0e00feff,0a00f8fff2ff2400fcfffcfffcfffcff0000eeffeaffdaffe6fff6fff8fff8ff,04f114f106001600f4ffe4ff2200120056da9aa6ca3ffa4ee2abeec0be568e2e,fafffaff1a000a00dcff0e00e4ff240016000600daff08001000200008000800
9,9,0,200020001600f4ff0c001c00eaff0a001e00ecffe4fff4ff040014000e00eeff,1a00e8fff2ff0400ecfffcfffcff0c001000eefffaff18001800180008002800,14f104f10600f8fff4fff4ff0200f2ffba4d804296a728d9de5ae20beeadce07,1c001c00d8fff8fffcffecfff4ffe4ff06001600eaff1800f2ff4000e8fff8ff
10,10,0,10000000f4fff4fffefffefffaff0a00fcffecff22003200d6ff14000e00deff,0a00e8fff2fff2ffecfffcffecfffcff0000eeffcaffdafff6ffe6ffe8ff2800,04f104f10600f8fff4fff4ff32000200d8a6beefca4e28f1dcc0122dfe2d7ec5,faff1c00e8ff0a00fcfffcff1400f4fff8ff1600eaff18000000100018001800
11,11,0,100020002600f4ffeeff0c000a00eaffecff0e003200020014001400fefffeff,0a00f8ff04001400fcfffcfffcff0c00eeff1000daffbaffe6ff0800f8ff0800,14f114f1f8ff16000600e4ff020012002242c8d938d94a406e0b3cabde07ce56,faffeaff0a00e8fffcfffcff14000400f8ff0600daffdaff0000f2ff18000800
12,12,0,f2ff2000f4ff0600eeff5800eaffeaff2e00ecff80004200e6ff04000e00deff,0a00f8ff14001400ecffecfffcfffcffeeff0000faffdaff0800d6ffd8ff0800,e4f004f116000600f4ff0600d2ff12008cf0ea4d28f026a7a82dac5a5ec43eae,fafffaff0a000a00ecffecfff4ffe4ff06000600caffbaff0000000018000800
13,13,0,f2ff1000160006000c001c00fafffafffcfffcff520072001400e6ffeeffeeff,1a000a00140014000a00ecff0c00fcffdeffdeffcaffeaffe6ffe6fff8ff1800,14f124f116000600c2fff4ff12003200bad808a70a415a4e3cabb4c1ee565e2d,0c00faff1a00f8fffcfffcfff4ff0400f8fff8ff3800caff00000000f8ffe8ff
14,14,0,100000000600e4ffeeff0c00faff1a00fcff0e00220022000400e6ffdeffeeff,e8fff8ff04000400fcff0a000c00fcff20000000caff1800d6ff1800e8fff8ff,16f106f1e8fff8ff0600f4ffe2ff02007a4e224276a768da8a5a000a7eae5e09,1c001c00d8ffe8ff0e000e00f4ff1400f8ff1600eafffaff00003000f8ff0800
15,15,0,f2ff100006000600eeff0c000a00fafffcfffcff32002200040032000e00deff,a8ff0a00e2fff2ff3a002a00dcfffcffdeff20001800cafff6fff6ff1800f8ff,a6f016f11600e8fff4ff060002000200f8a61cf1fa4d38efd6c1fc2d7e2c4ec4,eaffeaff0a001a00fcff0e000400e4ff1600f8ffbaffeaff2000e2ff28001800
16,16,0,f2ff1000f4ff0600eeffe0ff0a00eafffcff1e00320052001400f6ff5e00eeff,2a00f8ff24000400dcffecff0c00fcffceff0000daffeaffd6fff6ff0800f8ff,16f126f1f8ff16000600e4ff12003200a2418ad8a8da5a41f0091aab8e090e57,fafffaffe8ff0a000e00fcffe4ff1400e8ff1600eafffaff1000500018002800
17,17,0,10001000e4fff4ff0c001c00faff0a001e00ecff22003200f6ff24000e00deff,e8fff8ff0400f2ff0a00dcffecffecff00001000faffcaffe6ffd6ff3800c8ff,06f136f10600e8ff060016000200020058f2aa4e98ee56a7d42eac5abec3deae,faff2c000a00e8ffecff1e00f4ffd4fff8fff8ff1800faff20000000f8fff8ff
18,18,0,0000000006000600eeffeeffeafffaff1e002e0022002200040024001e000e00,f8ffe8ff0400f2ffecfffcfffcfffcff00001000faff1800e6ffd6fff8ff1800,26f186f006000600d4ffe4ff42002200ccd7d8a66a41ba4db6aaf0c25e571e2c,0c00eaff0a000a001e00ecfff4ff0400f8fff8ff080028001000f2ff08000800
19,19,0,0000f2ff060016001c001c00faff0a001e001e002200f4ff5200e6ff0e00eeff,0a001a0004000400fcff0a003c00fcff10000000acffcaff1800f6ffe8ff3800,16f116f1e8fff8fff4fff4ffe2ff2200e84ea24126a7e8da6a5a82083eaf7e0a,2c001c000a00d8ff0e000e00d4fff4ff06002600caffeafff2fff2ff28000800
20,20,0,f2ff000006000600fefffeff0a00eaff0e001e00f4ffe4ffe6ff24000e000e00,d8ffe8ffe2ffe2ff0a00fcff1c00ecffeeffeeffcaffacfff6ff080008000800,f6f016f116000600c2ff06000200f2ff28a7c8f24a4de8ed12c37a2f7e2b0ec3,0c000c000a000a00fcffecff04000400d8ff1600eaffdaffe2ff0000f8ff0800
21,21,0,f2ffe2fff4ffe4ffe0ff1c00faff0a00fcfffcff08ff02001400f6ffdeffeeff,f8ff1a000400f2ffecfffcfffcfffcff10001000daffdafff6ffe6ff28001800,06f126f106001600f4ffc2ff02001200a2412cd7f8db5a421e0864aa5e0b7e57,0c000c000a000a00fcff0e00f4ffe4ff16000600daffdaff10002000e8ff1800
22,22,0,0000f2ff0600e4ffeeffeefffaff0a00ecff1e001200f4ff04000400fefffeff,e8ff0a00f2ff14004a00ecff0c00fcff0000eefffafffaffe6fff6fff8ff3800,a6f026f1e8ff0600060026002200f2ff38f3484f68edf6a60030385aaec23eaf,faff2c000a00f8ff0e000e00d4ffe4ff16002600180018004000100008002800
23,23,0,e2ff2000e4fff4fffeffe0fffaff0a00ecff1e004200420004002400fefffeff,1a00f8ff0400f2fffcffecffecff0c0020001000caffeaffd6ffd6fff8fff8ff,16f116f126000600d4ffe4ff120012009ed618a75a420a4d52aaeac37e579e2a,fafffaffd8ff0a001e00fcff1400e4ff060006000800daff200010000800f8ff
24,24,0,0000f2fff4ffe4fffeffe0ffeafffaff0e001e0032000200140014001e00eeff,1a002a00f2ff0400fcffdcfffcffdcff00001000daffdafff6fff6ffe8ffb8ff,16f146f1c8ff060006000600b2ffb2ff484fa24106a7f8dbd45946079eaf3e0b,1c001c00f8ffe8fffcff0e00d4fff4ff06001600daffdafff2ff3000f8ffd8ff
25,25,0,20002000e4ff1600fefffefffaffeaff2e00ecffe4fff4ff24001400eeff1e00,e8ff1a00e2ff04003a00dcfffcff0c000000deffeaffbafff6ff0800f8fff8ff,96f0d6f016001600e4ff06001200f2ff58a776f3ea4cf8ec2cc41a311e2a7ec2,0c000c001a000a000e001e0004000400d8ffe8ffdaffdaff0000f2fff8fff8ff
26,26,0,100000000600e4ffeeff0c00faffeaffecfffcffd4fff4ff040032000e00feff,0a00f8fff2ff04000a00ecffdcfffcff10000000dafffaffe6fff6ffe8fff8ff,36f116f1e8fff8fff4ffd4ff02002200a241fed5b8dd8a438e06dea9ee0c9e57,faff0c00f8ff1a002e00fcffd4ff040006000600baffdafff2ff000008000800
27,27,0,e2ff20000600e4ff4800fefffaffeaff1e002e00f4ffe4ff040014001e000e00,f8fff8fff2ff1400dcffdcff0c00fcff1000eeff1800daff08000800e8fff8ff,f6f016f1f8ffe8ff060006001200020074f4845178ebe6a65c31b259aec1deaf,0c001c00e8ff0a00ecffecfff4fff4fff8ff2600daffeaff40001000e8ff0800
28,28,0,20001000160016001c00eefffaffeaffecfffcffe4fff4ff320032001e00eeff,f8ff0a00f2ff0400ecff3a000c00fcff1000eeffcaffcafff6ff28001800f8ff,16f1e6f006001600d4ff060022000200b0d568a7aa435a4cbea926c5be579e29,fafffaffe8ff0a00ecfffcfff4fff4ff06000600eaffdaff00001000f8ff1800
29,29,0,0000e2ff160006000c000c00faff0a001e00ecffb4ffe4ff04000400fefffeff,0a00f8fff2ff14000a00fcffecffecff00000000dafffaffe6ffe6fff8fff8ff,06f126f1f8ffc8ff26000600020002008451a241e6a638ddd459e8051eb0fe0c,faff0c000a002a001e001e00d4fff4ff0600f8fffaffcaffe2ff1000f8ff1800
30,30,0,20000000f4ff1600eefffefffafffafffcfffcffe4ffe4ff04000400fefffeff,0a000a000400d2ffecffdcffdcfffcff1000eeffcaffacffe6ff0800e8ffe8ff,06f116f10600f8fff4fff4ff22001200c8a7c4f49a4cf8ea16c5d031ee286ec1,eafffafff8ff0a000e000e00f4fff4fff8ff16001800daff100020000800f8ff
31,31,0,1000100006000600feff0c00faff0a001e000e0002000200d6ff24001e001e00,f8fff8ff240024000a00ecfffcfffcffdeffeeffcaff38001800e6ff18001800,16f106f1d8ff06001600f4fff2ff1200a241c2d458de0a44a60528a90e0ebe57,1c00faffe8fff8ffecff0e00d4ffe4ff2600f8ffeaff08000000100008000800
32,32,0,e2ff100016000600fefffeffeaffdaffecffecfff4ff0200e6ff04000e00feff,0a000a00f2ff0400fcff0a000c00fcff10002000eaff2800f6ff0800f8ff1800,16f126f10600e8ff06001600f2fff2ffa2f58451f8e9e6a6243260597ec07eb0,eaffeaff0a000a000e00fcfff4ffb4fff8ff1600eaffdaffd2fff2ff08000800
33,33,0,f2ff0000f4ff16000c00e0ff0a000a001e00fcfff4ffb4ff04001400fefffeff,f8ff0a000400f2fffcff0a00fcfffcff1000eeffcaffcafff6ffe6ff1800c8ff,96f0a6f006000600e4ffe4ff0200120072d4c8a79a444a4c16a90ec6de576e28,1c00eaff0a000a000e001e00e4ffd4fff8fff8ffeaffdaff2000f2ff08000800
34,34,0,00000000e4fff4ffeeff1c00eaff1a001e002e000200320004000400feffeeff,1a002a000400f2fffcfffcfffcfffcff3000deff1800baff08002800f8ff1800,26f136f1c8ff060016000600f2fff2ff8451a241c6a658df4e597a04ceb08e0e,1c00fafff8ff0a000e003e00d4ff0400f8ff16001800180020004000f8ff0800
35,35,0,2000200016000600feffeefffaff2a002e00fcff2200020032001400feffceff,e8ff1a000400f2ffecffdcfffcffecff00000000fafffafff6fff6ff0800f8ff,06f116f11600e8ffd4fff4ff1200d2fff6a7c2f57a4b58ebfec50c33ee275ec0,0c000c00e8ffe8fffcff0e00f4ff04000600f8ff1800280040000000f8ff0800
