Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f2ff1000f2ff1400f2ff10001e00eeffd2ffd2ff18003600380028002a000a00,e6ff28001600f4ff1800460006000600160006002a00d0fffcff2e00feffdeff,e008be080c00eeff0c00faffdeffdeff3e29f2586cbdf2b01a4f3a4216a72cd4,e4ffe4ffeeff0000b6ffb6ffceffdeffd4fff2ff04001400f6fff6ff0200e2ff
1,1,0,0000f2fff2fff2fff2ff20001e000e001400e2ff3600befffafffaff0a000a00,080018001600f4ff18001800e6ff060016000600e0ffe0ff0e00ecffdeff0e00,ae08d0082c00feffc8ff0c001e00feffbcafc2c0c059d42532a6c0ef9e519cf4,e4ffc2ffdeff0000c8ffd8ffdeffcefff2fff2fff6ff140004001400e2ff0200
2,2,0,000010001400f2ff1000f2ffeeff1e00f2ff14001800540028000800caff0a00,e6fff6fff4ff160028002800f6ff0600f4ff2800feff0c00ecff0e000e00feff,f008f008feffdeff0c000c00eefffeffd2586a0dd2b1d4114041ead83cd5da3d,d4ffe4ffdeffdeffd8ffd8ffeeffceff0000000044000400f6fff6ffe2ff0200
3,3,0,f2ff6000f2ff0400f2fff2ffeefffeffe2fff2ff18000800280018000a00aaff,08002800060006000800dafff6ffe6ff3800f4ffeeffe0ffecff0e00beff1e00,be08d0082c000c00faff0c000e00beff52c1de2924253cbde0ef9a4f6cf426a7,c2ffc2ffdeffbcffd8ffeaffdeffeeff0000d4ff0400e6ffe6ffb8fff2ff2200
4,4,0,0000e2ff040014001000f2ff0e00deff0400f2ff0800dcff280018000a00daff,080018000600f4ff3600caff0600f6fff4ff16001c00eeff0e00ecff0e00deff,d008ae080c003c00eaffeafffefffeff180c1aaf14128059aad872a69a3e5e51,e4ffd4ffdeffeeffeaffc8ffdeffeeff00002000140004003200d6ff02001200
5,5,0,1000e2ff04000400f2ff00000e00eeffe2ffe2ff1800faff08004800eaffdaff,08002800f4fff4ff46001800f6fff6ffe4ff2800e0ff2a001e000e00eeff0e00,be08f008deffeeff1c00eafffeffeeff8c2ac4588cbcd2b18a4fa64006a77cd5,e4fff4ffeeffdeffeaffeaffbeffceff0000e2fff6ff1400c8fff6ff1200e2ff
6,6,0,100020001400f2fff2ff10000e00eefff2ff04001800faff080028000a002a00,f6ffe6ff26000600faffdaff0600e6ff160028002a000c000e000e00feff1e00,9e08be080c001c00faffeaff3e000e00eaaefcc18059a42472a610f14e516cf3,f4ffd4ffeeff0000faffeaffceffeeff00000000240014000400140012002200
7,7,0,f2ffe2ff0400f2ff0000f2ff0e00eefff2fff2ff36001800080028000a00daff,f6fff6ff16000600eaff36000600060016001600eeffe0ff1e001e002e00feff,d008d008feffeefffaffeafffefffeffc458aa0b02b25c1386408ad74cd6ea3e,e4ffe4ffeeffdeffc8ffb6ffeeffdeffe2fff2fff6ff4400c8ffd6fff2ff0200
8,8,0,10001000e2fff2fff2ff0000eefffeff1400e2fffaff360018002800eafffaff,f6fff6ff0600060028002800f6ffe6ff16000600e0ffeeff0e000e001e00feff,ae08e0080c00feffeaff0c00eeffdeffacc2622b6023d8bb6af1fa4fd4f2e6a6,c2ffc2ffeeffdeffb6fffaffeeffdefff2ffd4ff140004000400e6ff02001200
9,9,0,0000e2ff040014002000f2fffeff1e00f2ff14001800faff1800faff0a001a00,e6ff0800f4ff16003600eafff6ff360016002800eeff1c000e00fcff0e00deff,f008be08feff2c00faffdaff0e000e001a0b8aaefc13d0599ed6a2a65a3fce50,f4ffd4ffeeffdefffaffd8ffcefffeff00000000f6ff0400f6fff6ffe2ff0200
