Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,12371237de36dd36d136d136f4361737a736a836df36df36e336e43617371637,eeffeeff28ff56ff0c00feffeaff1a00f4ff06001200f4ffecff0e00eeff0e00,6ee0ba8bf4ba3898949e02b22c8efcd4daffcaff2000eeff0400e2ff08001800,f8ff0a00fcfffcfffcfffcffe8ff1800f4fff4ff1400140008000800eaff0a00
1,1,0,12371337de36dd36d236d036f436f536a936a936e036dd36e336e33617371637,0000200008ff08fffeff0c00daff0a00f4ff0600020002001e001e00feffeeff,bc3f766aac5d1c53fc6f64317c742c091800faff0000eeff1400140008000800,2a002a00ecff0e00ecfffcff1800280006000600f2fff2fff6ff0800faffeaff
2,2,0,12371337df36dd36d136d2361a37f636a936a936e036df36e336e13615371637,10001000bc0228ff2c000c00fafffaff16000600f4ff0200fcfffcffeeffeeff,3ca62ca8ba91b2c8268b0af0bc924c19180008000000eefff2fff2ffe8ff1800,1a00f8fffcffecff2a003a0068001800d4fff4ff0400f2ff1800e6ff0a001a00
3,3,0,13371437de36de36d236d23619371837a836a836e036df36e436e23615371637,00000000bc0228fffeff2c001a000a00f4fff4ffe4ffe4ff1e000e00eeffdeff,546b0c3d9874b6163c6f8cedcc5b5cc628000800000000000400f2ffe8fff8ff,0a00f8ff0e00dcffecff2a000800f8ffe4fff4ff0400140008001800faffeaff
4,4,0,12371337df36de36d236d236f4361837a836a836df36df36e336e33618371737,0000eeff08fffafe1c000c001a00fafff4fff4ff120002000e00fcffeeffdeff,6a8bdce29a8e080cb49fd4333cbdcc5408001800eeff000004001400f8ff0800,f8ff2a00ecff0e00ecffecff180018000600e4ff04002400180008000a000a00
5,5,0,13371237dd36df36d136d2361837f336ab36a836de36df36e336e13615371637,1000100018ff46ffeeff0c00daff2a00f4fff4ff0200e4ff0e00fcffeeffeeff,a072c0faba6330d21248e2afbc23ec961800faff1000eeff14000400e8fff8ff,1a001a00dcfffcffecff0a001800080006000600f2ff040018001800faff0a00
6,6,0,11371237de36de36d236d13618371737a836a936df36df36e536e33615371537,1000deff28ff46ff1c00eeff1a00faff0600f4fff4ffe4fffcffecffeeffeeff,d498c82734b24e4bfed5ce65acfe4c732800faff1000000014000400e8ffe8ff,0a00e8fffcfffcffecff3a00e8ff280016000600140014000800f6ff0a00eaff
7,7,0,11371037de36de36d236d236f4361737a836a936df36e036e336e43614371637,1000100038ff28fffeff1c000a001a001600f4ff1200e4fffcff0e00feff0e00,225232ba4230a89d0808c68d0cdf0c8cfaff0800eeffeefff2fff2ff08001800,0a001a00fcffdcfffcff0a000800180006000600d0ff1400f6ffe6fffaff0a00
8,8,0,10371237de36df36d236d1361837f536a836a836df36e036e336e43617371437,10000000bc0246ff0c000c00faff0a00f4ffe4ff120002000e000e00eeff0e00,bac97c5e5cf15870d61a4c749c402c6a0800daffdeffeefff2ff0400f8ffe8ff,e8ff0a00ecfffcff3a000a00f8ff080016001600f2fff2fff6ff0800faff0a00
9,9,0,12371237df36de36d036d336f3361837a836a736dd36e036e436e33615371637,0000000008ff28fffeff1c000a000a000600060002001200ecfffcfffefffeff,5215a6914cecda8a30c534937ca52ca9eaff2800100000000400f2ffe8ff0800,0a001a001e00dcff2a00dcff2800f8ff160016000400f2ffe6ff08001a00eaff
10,10,0,10371337df36dd36d036d3361837f536ab36a836dd36df36e336e33615371537,0000100038ff56ffdeff0c00fafffaff1600160002001200dcfffcfffefffeff,460db0741235d86ee055605b1c6c5c3cdaffcaffeeffeeff04000400f8ff0800,1a00e8fffcfffcff0a00dcffe8ff0800f4fff4fff2ff0400e6ff0800daffeaff
