Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e536e336d436d536ae36ab364b374b3715371737ea34ea34b736b836e536e436,2000d2ff2000deff3e00ccffecfffcff0800f6ff0000f2ff06001600fcfffcff,0800f6ffeafffaffeafffafff0ff00001670c2f4ce5f6ccd0645eaa9f61cb694,24001400300030002600260006001600220002000e00e0ffe6ffd8ffecfffcff
1,1,0,e536e336d436d536ac36aa364937493717371837f034f034b936b736e636e436,2000e2ffdeff1000ecffccff2c00dcff080018001000100006003800fcff0c00,f6ff080018000800faff0c0000001000089c202d7cb71e4feeda666a76059673,1400140020001000160006001600060002000200d0ffc0fff6fff6fffcffecff
2,2,0,e336e236d336d436ab36af364a374b3716371937ee34eb34b936bb36e236e636,e2ff00000000eefffcfffcff2c00ccff08000800000020000600f4ff0c000c00,08001800faffeaff1c00eaff000010006c4d8ab5ae2a1c9b28029e8a86d8d68d,14003400100040002600260016000600f4ffe4ffc0ff0e0004000400fcfffcff
3,3,0,e636e336d536d236ac36ab3648374a371a371837ed34ea34ba36b936e436e536,d2ff100020002000ecffdcff1c001c00e6fff6fff2ffd4ff4800f4ff0c00ecff,f6fff6fffaff1800eaff1c00f0ff00006acf3e61fcf65e71e0201c76d6456666,3400140040002000060026001600060012000200f0ffe0fff6ffc8ff0c00ecff
4,4,0,e336e336d536d336ab36ad364937483716371737ea34ec34b836b836e336e436,000020001000eeffccff1e002c001c004e0008002e001000f4ff1600ecfffcff,f6fff6ff0800eaff0c00fafff0ff0000620f10909ce6dc8b08bf8493c6a156ae,040024006000000016001600360006001200f4ff1e00e0ff04000400fcfffcff
5,5,0,e336e436d436d336ac36ad364a374a3718371737e834e834b936b836e436e336,10001000000010000e001e00ecffdcffe6ffe6fff2ff0000f4ff3800ccfffcff,0800f6fffafffafffaff1c00f0ffd0ffbe139473be393e6c9e5b1e59f66df635,140004001000000026002600d6ff060002002200e0fff0ff0400d8ff0c000c00
6,6,0,e636e536d536d536ab36ac3649374a3715371737e834ec34b936b936e336e536,20001000eeffdeff3e00dcff3c00ecff080008000000e2ffe4ffe4ffecffccff,0800080018000800faffeaff1000e0ff5ccb50912cab9ca40a920ac2868bd6ea,140014000000400016002600360016000200f4ff3e00e0ffe6ffe6fffcff2c00
7,7,0,e736e536d536d336ac36ab364a37493718371437e834e934b636b636e536e636,10000000000010001e00bcffccff1c00e6fff6ff20000000160006000c00ecff,18001800faff08000c000c00e0ff1000c851105f6e686e427e768c1d3670f6f2,24001400300040001600260006002600220002000e00d0ff22000400ecff0c00
8,8,0,e636e636d536d536af36ad364b374a3716371737eb34ec34b536b836e536e536,d2ff1000eeffeeffccffdcffecfffcff080018003e00200026003800ecffecff,f6ff18000800fafffaff0c00e0ff10003a9a98b81c8dbcdc008bce05569dd62e,140064004000000026000600f6ff16000200f4ff0e001e00c8ff04000c000c00
9,9,0,e336e536d536d436ab36ae364a374a3716371937e934e934b736b536e536e636,2000f2ffeeff0000dcff1e00ecffecfff6ff08002e000000f4fff4fffcff0c00,f6ff080008000800eaffeaff1000e0ff5471f2284e732e01cc689ad7f64b66b4,140014000000deff0600060016000600f4ff02000e00e0ffd8ff14000c000c00
10,10,0,e436e436d536d636ac36ab364b3748371a371437e934e934b536b836e636e436,30001000deffeeffdcff1e000c002c00e6fff6ff100000001600f4ff0c00dcff,f6ff08000800fafffafffaff0000f0fff28b10f96c961e2138ac864736d19662,1400340050001000f4ff06001600f6fff4ff32000000000022001400fcfffcff
11,11,0,e436e436d636d636ab36ac3649374a3715371537e634e534ba36b836e436e536,10001000000020003e00dcff2c00ecff08000800d4fff2ff16001600bcffdcff,18000800eaff18003c000c00e0ff0000486b9ce41e56dcbf14378c9fa60d968f,0400040010000000260016000600f6fff4ff0200e0ff1e00f6fff6ff0c002c00
12,12,0,e236e136d436d536aa36ab364b37493714371837e934ea34b736b936e436e436,10001000100000003e00dcff3c00dcfff6ff180020000000060006001c002c00,1800080008000800eaffeaff0000e0ff24a5e63a9cc4de597aeaac70f6145674,240014001000eeff060016001600e6ff02000200e0ff2e001400f6ffecff1c00
13,13,0,e536e436d536d536ab36ae3649374a3714371837e934ea34b936b836e436e736,1000100000002000ecffdcffecffecfff6fff6fff2fff2ff160016000c00ecff,18000800fafffaff1c00faff20000000524290a9ce1b0c947af2e48856cad691,3400240020001000f4ff38002600160022001200f0ff1e00d8fff6fffcff0c00
14,14,0,e336e336d736d536ae36ae364a37483718371637e934e734b436b836e536e436,10000000000010002e00ecff3c00fcff08000800d4fff2fff4fff4ff1c001c00,f6ffe6ff18000800eafffafff0ff000060deba68fe06ce732a30c872b651065e,0400240040000000260016002600060012002200f0ffe0fff6ff22000c00fcff
15,15,0,e336e436d436d536ae36ad364a37493717371837ec34e934b836b636e436e536,d2ff1000200000000e00ccff1c001c00e6fff6fff2fff2ff0600f4fffcff0c00,08000800faff1800eafffafff0fff0ff6cffd28c8cd71c8e2ab2329b869906ba,1400240000000000260006001600f6ff0200e4ff0e001e00e6ffe6fffcff0c00
