Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,0d370f37de36dc36d236d23619371737a836a936e036e036e536e43612371637,20000000c4ffc4fff4ff0200e6ff0600080018000400f6ff1800f6fff4ff0400,ca2974722e4dc662fc66b246ba738c2138001a00f4fff4ff0000f0ff0e000e00,30001000e4ff1600daffeaff340016001c00eaffdefffeffeeffeeff1600f6ff
1,1,0,0f370f37de36df36d436d2361a371837a836a836e036df36e336e33614371537,000000002000e2ff020012000600f6ff08001800f6fff6ff0800f6fff4ff0400,56b8249a4e9cecb3ae8d06d8928cb400ecffc0ff02001200000000000e002e00,deff00000600e4ffeafffafff6ffe6fffaff0c000c00eeffeeff000016001600
2,2,0,10371137dd36de36d336d43618371a37a836a836e036df36e536e53616371437,00000000d2ffd2ff02000200e6ff0600180008000400e6fff6ff280024000400,e25f04514671522e34741c061c69fcdcfcffecff2200f4fff0ff1e000e00feff,000010001600e4ff2a00eaff4400e6fffaff1c00defffeff100000000600f6ff
3,3,0,10370f37df36df36d236d2361a371937aa36a836e136e336e336e43615371237,10001000e2ffe2ff12000200f6fff6ff18001800040004000800f6fff4ff0400,ca9098cb108b4af31e94bc1cb2aa3c42ecfffcff0200f4ff0e000000fefffeff,0000eeff0600f4ffeaffdaff3400e6fffafffaffdeff0c000000300026001600
4,4,0,11370e37e036df36d436d13619371a37a936aa36e036e136e336e63613371437,f0fff0ffa4ffd2ff1200f4ff060006000800f6ffd6fff6ff0800180014000400,c0742413746ef8e9045a66c3703a14a40a00ecfff4ff220000000000defffeff,0000eeff06000600eaffeaffe6fff6ff0c000c00deff0c0000001000e6fff6ff
5,5,0,0e371237dd36de36d336d33618371937a836a936e036e036e436e43613371437,20000000d2ffd2ff020012001600e6ff2800f6ffe6fff6ff0800f6ff04002400,7e8fc40feca11237debf725722e6106d0a00ecfff4ff02000e000000feff0e00,000000001600f4ffdaffdaff0600f6ffeafffaff0c000c00200010000600f6ff
6,6,0,0e371037de36de36d236d236f4361837a836a836e036e136e336e43614371437,10001000b4ff00031200e4ffe6ff06000800180004000400f6fff6ff24001400,d261b0cf804548ad7020ac956ef7628becfffcffe4ff0200f0ff0000eefffeff,0000eeff06000600eaffdaff0600e6ff0c00eaffdeff1c0010001000e6ff0600
7,7,0,0e371037dd36df36d336d43619371737aa36a936e136e036e336e53615371237,e0ff1000d2ffe2ff120002001600f6ff28000800e6ffe6ff0800f6ff0400f4ff,26b5be4d16d96267e601d473da2a08720a001a00f4fff4ff00001e00fefffeff,10000000f4ffd4ffeaffeaff0600d6ff0c00eafffefffeff0000eeffd6ff0600
8,8,0,0e370e37dd36dc36d236d43617371837a936a936e036e336e436e33616371437,10001000e2ffd2ff1200f4fff6fff6ff0800f6ffe6ff04001800f6ffe4ff1400,222de49bac043c8daadbb28c3eb7789aecffecfff4fff4ff00000000fefffeff,eeff00002600e4ff2a00daff16000600eaff1c00fefffeff0000100016000600
9,9,0,0f370f37de36de36d236d33619371837a836a836e036df36e336e33613371437,30002000c4ffd2ff120012000600f6fff6fff6ff04000400f6ffe6ff04001400,5cf49671c81de07372439c689460f04f1a001a00020012001e0000001e00feff,0000ceff0600e4ffeaffcafff6ff06000c000c00defffeff00000000e6fff6ff
10,10,0,11371037dd36dd36d236d23618371837a836a936e136e036e336e43615371337,0000f0ffd2ff20001200120006002600f6fff6ff0400e6ff0800080004000400,d4e8428b58c268946aa38eab5e9082ccfcfffcff120012000000f0fffeff0e00,1000ceff2600d4ff2a00faff4400e6ff0c000c00eeffeeff100010001600f6ff
11,11,0,10370f37de36df36d236d23619371a37a836a936df36e336e236e53614371437,10002000e2ffe2ff120012000600e6fff6ff08000400e6fff6ff080024001400,0a38d06d3c584859686d3639ee74181228001a00020012000e001e00eefffeff,deff1000e4ff0600eaffdaff0600e6ff1c000c001c001c000000eeffe6ff2600
12,12,0,0e370f37dd36df36d436d33619371937a936a736e036e036e536e33613371437,10000000d2ff2000020012000600f6ff180018000400e6ff0800f6ff0400f4ff,7aaccaa21295fcc0728b40e70e90b8101a00fcfff4fff4ff0e000e00ceffeeff,0000cefff4ffe4fffaffeaff0600e6ff0c00eaff0c00deff100000001600f6ff
13,13,0,0f370f37de36de36d236d23619371837a836a836e036e136e336e43614371337,2000e0ffd2ff2000f4ff0200e6fff6ff0800f6ff140014000800f6fff4ff0400,08688a44f0736e1fdc712cf6146134ceecffceff0200d4ff00000000deff0e00,10001000060026003a00faff06000600faff0c00fefffeff000020000600f6ff
14,14,0,10370d37dd36de36d336d236f536f336a736a736df36e036e436e33614371537,00002000d2ffb4fff4ffe4ffe6ffe6ff08001800f6ff14000800f6fff4ff0400,be8c5adadc8c4c03349b862b1eb6a64e0a001a00120012000e000000feff1e00,10000000d4ff16002a00eafff6ff0600faff0c000c00eeff0000100006000600
