Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,15371537dd36dc36d136cd36f236f336a836a836df36e036e136e13617371737,0000deff64fd6c010c002a000a00eaffeeff0000d2ffe2fffcffecfffeffeeff,9c4cd46240666247c27316227472bcf8440034000c001c001600e6ff1e00deff,f6ffe6ff00000000000010000e00feffdeff00000400c6fffcffecfffaff1a00
1,1,0,15371437de36dd36cf36ce36f236f136a636a636de36e036e336e03617371737,1000deff54fd6c012a00feff0a000a0000000000e2ffe2fffcffecffeeffceff,cc9cceb39c8dd2d6508c2400429a4c29240044000c000c00f6ff0600feffeeff,f6ffe6fff0ff0e0010000000fefffeffeeff0000f6fff6ff0e000e002a000a00
2,2,0,14371437dd36dc36ce36cf361837f636a636a936e136de36e136e13616371837,100010006c016c010c00fefffaff0a0010002000d2ff40001e000e00eeff0e00,0a71722e7c743c077a695edda6507cb814001400fcfffcffe6fff6ffeeffdeff,c6ff04000e00f0ffe0ff00000e001e0000000000e6ff04000e000e00faffeaff
3,3,0,14371437dd36de36ce36cf36f436f436a636a836e036e036e136e03615371537,0000eeff74fd6c011c00feff1a00faff10001000d2ff3000fcfffcfffeff0e00,2a8be6f2a893921b1caab641a0cbf65f140024000c000c00e6ffe6ff0e000e00,0400240000000000f0fff0ffceffeeff00000000e6ffe6ffecff0e001a00faff
4,4,0,16371637dc36de36cf36d136f336f436a836a636e036e136e136e13617371737,deffdeff6c016c010c000c00eaff0a00deff0000f2ffc2ff0e00fcff0e000e00,5e6e2eea8e5a44c4083be4a48c13b290040034000c001c00f6ff06001e00feff,c6ff14000000f0ff1000f0fffeffeeffeeff1000f6ff0400ecffdcfffaffeaff
5,5,0,16371537de36dc36ce36cf36f636f536a836a736df36e036e036e23615371637,deffeeff6c0144fd0c00eeff0a00eaff00000000d2fff2ff0e00ecfffeffeeff,5ea1743602bf7e565ae5c66c2e0f3a7504000400fcff1c000600f6fffefffeff,0400f6fff0ff0000e0fff0ffdeff0e00eeffeeff04001400fcfffcfffaffeaff
6,6,0,14371537de36de36ce36cf36f336f436aa36a436de36df36e136e23615371637,deff100054fd6c01eefffefffaffeaff10001000e2fff2ff0e00ecfffeffeeff,b2457cad96213496e0f7808b32cfd28f2400f6ff0c00fcfff6ff06000e000e00,f6ffe6ff0e0000001000e0ffeeff0e00000010000400e6ffecfffcfffafffaff
7,7,0,15371437de36de36d136ce36f436f336a836a736df36df36e036e23617371537,deff000044fd6c010c000c001a000a0000001000e2ff30001e001e00feff0e00,9ad81e67b600dc73e2293072c64d2462d6ff1400fcff2c00f6ff06000e00feff,e6fff6ff1e000e00f0fff0ff0e000e0010001000040014000e00fcfffaff1a00
8,8,0,16371537dd36de36cf36ce36f436f336a636a836e136de36e136df3617371837,000010006c0164fdfeff0c000a000a0010000000e2fff2ff0e00fcffdefffeff,0605228dfedc6a8cd0b74e9a029c3ab524003400fcff0c00e6ff06001e00feff,0400d6fff0ff1e001000f0ffeefffeff100010001400f6ff1e001e001a00faff
9,9,0,15371537de36de36d136cf36f536f236a836a436df36df36e136df3615371537,ceffdeff6c016c01feff0c00faffdaffeeff1000f2ffd2ff1e00dcffdefffeff,321d4e749a4232692a6062505671922d240034001c00fcff060006000e000e00,e6ffd6ff00000e0000001000eeffeeff0000eeff0400f6fffcff1e001a001a00
10,10,0,13371437dd36dc36d036cf36f636f436a836a836e136df36e336e13617371637,000010006c0174fdfeffdeffdafffaffeeff10004000e2ff0e000e00deff0e00,ccc26a9432a496aa84902ccc508b4af4540014000c002c000600f6fffeff1e00,f6ff24000000f0fff0ffe0ffeeffceffeeffeeff04001400fcff0e00faff1a00
11,11,0,13371537df36dc36ce36ce36f236f536a636a836e036df36e036e03616371737,deff10006c016c01feffeeff0a00eaff00000000d2ffd2ff0e000e00fefffeff,e2578e593a6d3c3a1675e412166ee4e824002400ecffecfff6ff06000e000e00,d6fff6ff0e001e0010001000feff0e00eeffeefff6fff6ff0e000e00faff0a00
12,12,0,15371437dd36db36d136cc36f436f336a736a736de36df36e136e23617371637,000000006c0154fd1c000c00eaff0a0000001000e2fff2ffecff0e00feffeeff,6a95b0c05a8b34e6e48fd40f84a2c437e6ff2400fcffecff0600f6fffeff0e00,240004002c00000010000000fefffeff0000eeff1400d6ff0e001e001a00faff
13,13,0,16371437de36de36d036cd36f436f436a736a736de36df36e036e13615371637,0000deff6c016c01feffeefffaff0a0010001000e2ffe2ff1e00ecffeefffeff,4e74b41f3a723af78e61d6ceb84458acf6ff0400ecff0c0016001600feff0e00,c6ff14000e000e0000002000eefffeff00000000f6ff14000e00ecff0a00faff
