Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,15371537dd36df36cf36cd36f336f636a836a836e036df36e236e23615371537,1000deff7c007c0016000600eaff0a000200f0ffb4ff200004000400daffeaff,444e84b5b62b229bb802ec8c9cd9e88cf8ff1600ecfffcffe6fff6ffdaff1a00,04002400220012005a0018002000000002002200e8ff0600eeff0000f6ff1600
1,1,0,16371437df36df36cd36cb36f336f236a836a836e036e036e136e33616371537,0000ceff7c007c00060006000a000a00f0fff0ff10000000f2ff04000a000a00,bacede61f6f52072b41ff0730a457c67e8ffbcff0c000c00f6fff6fffafffaff,e6ff0400f4ff0200080008001000f0ffe0fff0ff0600f8ffeeffdeff0600f6ff
2,2,0,17371637de36dd36cb36cc36f436f436a836a936de36df36e036df3615371637,eeff1000a2fc58fc160016001a000a00f0fff0ff0000000004000400eaffeaff,3410b28f4ae7488ba8c08a957ca2a0ac0600e8fffcfffcff0600e6fffafffaff,e6ff140012000200280018000000f0ff02002200f8fff8ff2000200006000600
3,3,0,15371737de36dd36cd36cd36f436f336a736a736de36dd36e036df3617371837,1000deff7c007c00f8fff8fffaff0a00f0fff0ff2000f2ff0400f2fffaffeaff,d21204756039706da25904583e6e3c37f8ff34000c00dcff0600f6fffaffeaff,24002400f4ff220018000800300010002200f0fff8ff0600eeffeeff0600e6ff
4,4,0,15371337df36df36cd36cd361837f336a836a736df36de36e136df3616371737,eeffdeff7c0058fc060006001a00faff120002001000200014000400eaff0a00,6accc69004abb0a34494b2c2388b5ce9dafff8ff2c000c00060006001a00faff,140024001200120008005a0010002000f0fff0ff1600f8ff0000eeff16003600
5,5,0,16371537de36de36cc36ce36f536f236a836a836df36e036e236e43617371437,100010007c007c0024001600eaff1a00020012001000b4ff04002400fafffaff,6e502260bc683e4360743e1d4e71e2f30600bcfffcfffcfff6ff1600fafffaff,04000400120002004a006a00000020000200f0fff8ff1600eeffeeff16000600
6,6,0,17371637de36df36cc36ce36f536f336a836a836de36df36e136e33615371637,100010007c007c001600e8fffaff0a00020012002000000004000400eaffeaff,949a7eb7768ccedb4c8d3c050a9cba2d06001600fcfffcffd6ffd6ff0a000a00,14002400220002001800e8ff00002000d0ff0200e8ff06001000eeff16001600
7,7,0,15371537dd36dd36cd36cc36f236f236a836a536de36e036e036e33615371637,100000007c007c00e8ffdaff1a000a00e0ff12000000200004000400eaff0a00,5e723e2a1474e401546794d8ae4d82b4daffacfffcfffcff0600d6ff0a00faff,24001400020012005a001800200020001200f0ff06000600ceff0000f6ff0600
8,8,0,17371737dd36df36cc36cc36f336f436a636a936df36df36e236e13615371437,1000eeff7c007c00f8ff2400eaff0a00f0ff1200f2ff1000140014001a000a00,6a8bdaf7b2956e20e2ad2c46dacf4c62e8ffdaff0c000c00d6fff6ffcaff0a00,f6ff1400f4ffd4ff1800f8fff0ff20000200e0fff8fff8ffeeff0000f6ff1600
9,9,0,18371637de36e036cd36cb36f2361737a836a936de36de36e136df3616371537,eeffdeff7c007c00060006001a00daff020002000000100004000400faff0a00,fe6cf0e57a5728c0ae3686a1e60e4a8fdafff8ffbcfffcff0600f6ffeaff0a00,24002400020012001800180010001000f0ffd0fff8ff16003000000006000600
10,10,0,16371437dd36dd36ce36ce36f336f236a736a736de36de36df36e13615371437,000010007c007c0006000600eaff1a00f0ff02003e0020000400f2ff0a000a00,48a4963a84c3245a8aead86ec4132275e8ffe8ff1c000c00f6fff6ff1a000a00,24000400f4fff4ff1800f8fff0ff0000f0fff0ff16000600eeff000016001600
11,11,0,17371637dd36dc36ce36cd36f436f236a936a836e036df36de36e13616371337,ceff20007c007c001600caffeaff1a00e0fff0ffc4ff0000040004000a00eaff,1c4292aa741cc693f6f2368b38cbea9006000600ecfffcfff6fff6ff0a00eaff,1400e6fff4ff02005a00180030000000020002001600f8ffeeff00001600f6ff
12,12,0,17371637de36de36cb36ce36f336f436a836a736de36e036e036e03615371737,100000007c007c00f8ffdaff1a000a00f0fff0ff2e0010000400f2ffeaffeaff,42dda86908067474e42e2e713e512e5fe8fff8ff2c00fcfff6fff6ff0a000a00,14000400220002001800180020001000020002003600e8ff0000eefff6ff2600
13,13,0,15371837de36de36cd36cf36f536f136a836a836df36de36e136e03618371737,eeff10007c007c00e8ff16000a001a00e0ff020010002000f2ff0400faff0a00,7e002a8cf8d72a8dbab3ce9cac99e4b81600e8fffcff0c00e6ff0600fafffaff,e6ff320022002200180028002000f0fff0ff0200f8ff06000000100016000600
14,14,0,17371537e036de36cf36ce36f236f236a836a736de36df36e036e33614371537,0000000038fc84fc060024000a000a000200020000001000e2ff0400fafffaff,28228e73624686660a63e24c7c723829f8ffdaff0c00fcfff6fff6ffeafffaff,04000400120032005a00f8ff20002000e0ff0200f8ff0600000010001600f6ff
15,15,0,15371737de36de36cd36cd36f536f536a836a536df36de36e036e03615371637,0000eeff7c007c001600f8ffeaff1a00f0ff12001000f2fff2fff2fffaffeaff,9ebe529634a1ecad4c8fb0d0588b24f90600f8ff0c001c000600f6ff1a00faff,e6ff2400f4fff4ffe8ff0800200030000200f0fff8ff1600deffeeff06002600
16,16,0,17371837de36df36ce36cd36f436f236a736a636de36df36e036e13616371637,eeff00007c007c00caff1600eafffaff0200f0ff00001000f2ff04000a00faff,ea5a1a56c06ee0351475920d5c6c0ce40600e8fffcff0c00f6ff0600faff0a00,040004000200f4fff8ff5a00f0ff1000e0ff02000600e8ff2000eeff0600f6ff
17,17,0,16371737de36de36cd36ce36f236f336a836a536e036e136df36df3616371637,eeff10007c007c000600daff0a000a00f0ff0200000020000400f2fffaffeaff,7293eac4188b5aeb8091ec1450a5dc3be8ff24000c00ecfff6ff0600fafffaff,f6ff1400f4ff1200f8ff4a001000200002000200060016000000100006000600
18,18,0,15371637df36dd36cb36cc36f536f436a936a736de36df36e136df3616371637,300010007c007c00daffcaffdaff0a00f0ff0200a4ff00000400f2fffaff1a00,a674121bd47010f2c85e38ca0e4126a924000600fcffecffe6ffd6ffdaffeaff,f6ff1400020002002800180010001000f0ffd0ff160016001000eeffe6fff6ff
19,19,0,15371637dd36df36ce36ce36f336f436a836a836e036e036e036e03615371537,000000007c007c001600e8ff2a000a00f0fff0ff1000200004000400faff1a00,a28d64073e9d7e2f7ab926529ede4a6a60002400ecffecff1600f6fffaffeaff,140014003200020018000800100010001200f0ff160036001000000016000600
20,20,0,19371637df36e036ce36cc36f236f436a836a736df36df36df36e03615371637,000010007c007c00e8ff06000a000a00020002000000100004001400faffeaff,3866bcd60a4c2cb3de27fe9816ff188c16001600fcffecffe6fff6ffeaff0a00,f6ffe6fff4ff0200f8fff8fff0ff0000f0ff1200f8fff8ff0000eeff26001600
21,21,0,14371737e036de36cf36cd36f336f336a836a636de36e036e136e03616371537,000010007c007c000600f8ff1a00dafff0fff0ff100020000400f2ff0a000a00,10afa8477cd1746300fae07274237c73240016001c00fcfff6fff6ffeaff0a00,0400f6ff2200d4ff28000800200000000200f0ff06000600deff100016002600
22,22,0,15371837dd36dd36cd36cd36f436f436a736a836dd36df36e036e03615371737,300010007c0084fc2400f8ff0a000a00e0ffceffb4ffb4fff2ff2400faff1a00,6c347ca0120daa8e5ae3a68bb6bdec96e8ff16001c000c00d6fff6ffeaff0a00,040004003200020018001800000010000200f0ff1600f8ff00001000e6ff1600
