Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,18371837dc36dd36ca36cc36f236f236a836a736df36e036e036de3618371637,fcfffcff260026000800eaffeefffeff0000eefffaff26000c000c00fefffeff,aab41871100af6b23a3c4209ba93503e0000100032000200eeff2a00f2ffe2ff,feff0c000a00ecffecff0e001600e6ff1400040016000600f4ff0600fcfffcff
1,1,0,17371637de36dc36cd36cc36f336f236a936a736de36de36e136e03617371637,fcffccff2600260028001800eefffeffeeff1000faff1800faff0c00fefffeff,8a3c5a096695ea3aae707894b6b5b07010003e002200f4ff0c000c00e2ff0200,eeff1c00ecffecffecffdcff16001600f4fff4ff06001600f4ffe4fffcff2c00
2,2,0,17371837dd36dc36cb36cd36f436f336a636a836e036e036df36de3616371837,fcff1a0026002600faff0800fefffeffeeff00001800eafffaffeafffeffdeff,1871089586b29871620a10b49e3c6608f2ff3e00120012002a00defff2ff1200,0c000c000a00fcff1e00ecff16001600040014000600060006000600fcff0c00
3,3,0,17371737dd36de36cb36cc36f136f336a636a736df36de36e036e03617371737,dcffecff2600260018000800feffeeff000030001800eaff1c00faffdeff1e00,980a7cb3003a1a0dee947a3bc0704c942e004c00f4ff12000c00d0fff2ff0200,eefffeff0a00fcfffcfffcff160016000400f4fff8ff0600f4ffe4ff0c000c00
4,4,0,16371737de36df36ce36cd36f436f236a636a636dd36df36e036e13618371737,0a00fcff2600260056000800eeff2e0010001000eaff08001c00daffeeff0e00,1895523ba871e695e0b33271f608a4b42e00e2ff22003200d0ff0c001200c2ff,feffeeffecff0a00ecffecfff6fff6ff1400f4ff06001600f4ffe4ff0c001c00
5,5,0,19371837da36dc36ce36cd36f436f336a736a736de36dd36e336e03617371737,1a00dcff26002600eafffaff2e002e001000eefffaff2600faffdafffeffeeff,3cb33871fa0d36b20a3b360bac947e3cf2ff20004000f4ffdeff3a00f2ffe2ff,d0ffeeff1a001a00ecfffcff060016000400e4ff16001600e4ff16000c00fcff
6,6,0,16371937dd36dd36cc36cc36f336f536a736a636de36e136e136e1361a371837,1a002a00260026001800eaff0e00feff000000000800eaffdaff1c000e00eeff,c23a5e0b6696f43762719e9574b43071e2ff4c001200f4ff1c001c0002000200,deffeeff0a000a000e000e0016001600f4fff4ff26000600f4ff28000c000c00
7,7,0,16371837dc36de36cc36cc36f336f436a736a736df36de36e036df3617371837,ecfffcff2600260008000800fefffeffdeff00000800eaffeaff0c000e00deff,4871889536b2e8718a0bf0b2be3b140a10005c00020022004800eeffe2ff2200,feff0c00fcfffcfffcfffcffe6ff1600f4ffe4ff0600f8ff1600f4ff0c000c00
8,8,0,16371737de36dc36cd36ce36f136f336a536a636de36de36e136df3619371a37,0a000a0026002600eaffeafffefffeffdeff00001800faff0c000c00cefffeff,7e0bbcb244388a0d9e954c3a5071bc941000e2ffd4ff12000c00eeff02001200,d0ffdeffdcff1a000e000e000600f6ffd4fff4ff26001600160006000c00dcff
9,9,0,17371837de36dd36cd36cb36f236f336a636a536de36de36e136e03616371737,0a00fcff2600260028000800eefffeff00001000faff36001c00daffdeff0e00,b895323ad8717696b0b2b271040b84b32e00000002002200eeff0c0012001200,eeffc0fffcfffcfffcff1e0006001600f4ffd4ff06001600f4ff0600ecfffcff
10,10,0,18371837dd36dd36cf36cd361837f336a636a536de36de36df36e03617371737,fcfffcff26002600380018000e00eeff1000ceffa0ff26000c00eafffeffdeff,aeb126720a0ebcb0dc396e0d5c95ac3a1000000040001200d0ff2a001200f2ff,deff0c000a0028000e000e001600260014000400f8ff0600e4fff4ff1c00fcff
11,11,0,16371737de36dd36cd36cb36f336f136a736a636df36dd36e036e03618371637,fcffecff2600260018003800eeff0e001000ceff36001800daff3c00feffeeff,c638920d9696ae3692711e96d2b26071e2ff3e001200e4ff1c002a00e2ff2200,feffeefffcffdcffecff0e002600160004000400060006000600e4ff0c001c00
12,12,0,17371837dc36dc36cc36cd36f336f236a636a636e136e136df36e03619371a37,2a00fcff26002600faff08002e00eeffceff10003600a0fffaff0c00feffeeff,267270963cb02872ce0dacb11c3a740b3e003e00020022003a00feff02001200,deff0c00fcffceffdcff0e00160006003400140006000600f4ffe4ffecff0c00
13,13,0,18371637dc36dd36cc36cd36f536f336a836a636e036de36e036dd3617371637,0a000a00260008fc38000800fefffeffeeff300008002600faff0c00deff0e00,b20d0eb19437e00f3e965e3880718c952e002e00d4ff3200fefffeff02002200,fefffeffecff0a00fcffdcfff6ff1600140014000600f8ffe4ffe4ff2c00fcff
14,14,0,18371837db36de36cc36cd36f336f336a636a936e036e036df36e13618371737,0a00dcff26002600080028000e001e0000001000080026001c00eaffeeff0e00,709676386872e6968cb10272660c42b21000200032003200d0ff0c003200f2ff,eeffeeff1a00ecfffcff0e00360016001400f4ff06000600f4fff4ff0c001c00
15,15,0,18371837dd36dd36ce36cd36f336f236a736a636df36de36e136e03618371737,0a00dcff2600ccfbeafffafffefffeff10000000faff26001c00faff0e001e00,44b06672f010e6ae1e38040f0e967e393e002e0032000200d0ff2a001200e2ff,feffeefffcff0a00fcff1e001600f6ff0400040006001600f4ff06000c00fcff
16,16,0,18371837dc36dd36cc36cc36f236f136a736a736df36df36df36e03618371737,0a00fcff26002600eaff18002e00eeff1000eeff08000800eaff0c000e00eeff,8237460fcc970e3622722e9794b1807100003e0002000200eeff1c00d2fff2ff,eeffeeffceff2800fcff0e00f6fff6fff4ff14001600e8ff0600f4ffecfffcff
17,17,0,18371737dd36dd36cc36cd36f336f436a936a636de36dc36e036de3617371837,2a001a002600260018001800feff0e000000eeff1800faffdaff1c000e00deff,8672309736ae3872340f38b0ce38460d3e001000120032002a00feffe2ff1200,feffeeffdcfffcff0e001e0016000600f4ff240016000600f4ff2800fcfffcff
18,18,0,15371637de36db36cb36ce36f236f436a636a736e036de36df36de3617371537,1a001a00260026001800faff0e001e00000030000800eaff1c000c00feff1e00,860fa4afde358010ee967e371e726e964c000000020032001c00d0ff02001200,d0fffefffcff0a00fcff0e001600f6fff4ffe4fff8ff0600f4fff4ff0c00ecff
19,19,0,18371637dd36dd36cc36cd361737f236a636a536de36e036e136e13617371737,2a000a00260026000800eaff0e002e001000000008000800faffeaffeeff2e00,7097f236a8723c98d8af8672380e24b1f2ffd4ff22001200deff1c002200e2ff,feffd0ffecffecff0e001e00f6ff2600f4ffe4ffe8ff0600e4ff0600ecfffcff
20,20,0,16371637dc36dc36cd36cc36f436f336a836a736e036de36e036de3618371737,fcff0a0026002600180038000e00deff1000deff08003600fafffaff0e00feff,24afc4728c12f6ad8e36d410ce966e37e2ff100012000200d0ff2a000200d2ff,0c000c001a000a000e002e00e6ffe6ff0400f4ff3600160006000600ecff0c00
21,21,0,18371637dd36dd36cd36cb36f236f336a836a836e036de36e036df3617371937,fcff1a0026002600180018000e00eeff0000000008000800eaff0c000e00eeff,ae350a11bc98de343272929704b01e72f2ff10001200f4ff1c001c00e2ff1200,feff0c000a000a00fcffdcff060016000400f4fff8ff0600f4fff4ff0c00fcff
22,22,0,16371837dd36dd36cc36cd36f336f236a736a536dd36df36dd36e13618371737,fcff0a002600260018001800fefffeffeeff10005400a0fffaff0c000e00deff,e472e29736ad8872941046af1e37f80e3e003e00f4ff02002a00deffd2ff2200,feffeeff1a000a000e00ecff06001600f4fff4ff36001600060006002c000c00
23,23,0,16371737dd36dd36cd36cc36f336f436a536a536df36de36df36df3616371637,1a000a002600260008001800eefffeffeeff10002600eaff0c001c00ceffeeff,d611b4ae1a342e1412985a354e726e973e001000f4ff22000c00feff22001200,feffeeff0a00ecfffcfffcfff6ff0600e4fff4ff160026000600f4fffcfffcff
24,24,0,17371637db36de36cb36ce36f236f336a536a636de36e036e136e33618371837,fcff0a00260026001800faff0e00feff20002000faff18004e00faffceff1e00,f2978834b8721c99d6aee472681084af2e00100012002200d0ff1c004200f2ff,feffeeffecffecffecffdcff06000600140004001600060006000600fcff2c00
25,25,0,18371637dc36dc36cd36ce36f336f136a636a736df36dd36df36e03615371637,1a000a002600260018001800fefffeff1000eeffeaff3600faffeaff0e00feff,daadd4724e1486ad0a3528124e975e3620003e003200c6ffeeff2a002200f2ff,eefffefffcfffcff1e00fcfff6ff1600f4ff24000600e8ff0600f4fffcff2c00
26,26,0,18371737dd36dd36cb36ce36f336f236a536a636e036df36e036de3618371937,2a001a0026002600280018000e00feff0000eefffafffaff0c001c000e00deff,b0339612bc980a33e4728298f4ae6e7210005c00220002000c000c00f2fff2ff,0c00defffcfffcff0e00fcff06001600f4ffe4fff8ff0600f4ffe4ff3c001c00
27,27,0,16371837dd36dd36cc36cb36f436f336a536a636df36df36de36e3361a371937,0a000a0026002600280018000e00feffeeff0000360090ffdaff4e00deffceff,f472f69842ac24734c1358adec34d8103e005c00120032003a00d0ffe2ff1200,feff0c000a00fcffecffecffe6ffe6fff4ff140006000600f4ff1600fcfffcff
28,28,0,17371a37db36dd36cc36cc36f436f336a436a536de36df36e036e03619371837,2a00fcff2600260028000800feff0e0010003000fafffaff1c00faffeefffeff,5613baad1632f2148298c4338e721e987a000000020040000c00eeff02002200,eeff0c000a003800fcfffcfff6ff060024000400160016000600e4ff0c000c00
29,29,0,18371837da36dd36cc36cc36f436f436a736a636de36e036df36df3619371837,0a000a002600260008002800fefffeff10001000180008000c00daffdefffeff,46998033d872e89938ad2473781154ae5c00d4ff12003200eeff0c004200f2ff,deffeefffcfffcff0e00dcffe6ff06001400f4ff060016000600f4ff2c00fcff
30,30,0,1b371737dd36dc36ce36cc36f636f336a736a536de36de36df36df3619371837,0a00fcff2600260028001800feff1e001000eeffeaff18001c00eaff0e00eeff,1aad0473e41568ab22333a145e988c342e00f2ff12001200deff1c0012001200,eeffeeffecfffcfffcfffcfff6ff0600f4ff040016001600f4fff4ff0c000c00
31,31,0,18371a37dc36dc36cb36ca36f436f236a636a836dd36dd36dd36df361a371737,1a00ecff2600260018001800fefffeff1000deff08000800eaff0c000e00deff,5032ce14c89abc305473989942ad8e7210002e003200f4ffeeff1c0002000200,feffdefffcff0a000e000e002600060014001400e8ffe8ff0600f4ffecfffcff
32,32,0,1a371937dd36dc36cd36cb36f336f236a636a736de36e036df36e13617371537,0a000a0008fc2600faff1800eefffeffeeff00002600faffeaff3c001e000e00,3473a69948ab64732e1512ac9c3356133e002e00120012002a00deff02003200,0c00feff0a00dcffecffccff0600160014000400f8ff36001600f4ff1c000c00
33,33,0,17371a37df36dc36cd36cd36f336f336a736a636e036de36df36de3617371837,fcfffcff26002600380018001e000e00100020000800faff1c00faffdeff0e00,5e15e4ab9c308a18a899ce31ee721e9920002e00020032001c00deff12002200,deffeeffdcfffcff0e00ecffd6ff16003400140016000600e4ffe4fffcfffcff
34,34,0,16371837dc36de36cb36ca36f336f436a736a736df36e036e036df3617371637,fcfffcff2600260018001800fefffeff1000000090ff26001c000c00deff1e00,549a10327c73a89af2ab6473f613a2ac2e00f2fff4ff0200c0ff0c002200f2ff,deffeefffcfffcffecff0e00260016001400f4fff8ff1600e4ffe4fffcff0c00
35,35,0,17371637de36df36cd36cc36f236f136a636a736df36e136df36e13616371537,1a001a002600260008001800defffeff1000eeffeaff18001c00fafffefffeff,64ab5473ea176caa8e312a164e99ec32d4ff100032000200eeff1c000200e2ff,feffd0ff0a00fcfffcffdcff16000600140004000600f8fff4fff4ff0c000c00
36,36,0,17371737de36df36cc36cc36f236f236a736a436de36de36e336e13619371637,0a000a0026002600faff4600feffeeff20001000fafffaffeaff0c002e00deff,02316816089b6c2f44739c9a42acee72d4ff2e0022000200eeff0c0002000200,eefffefffcfffcffecffecff16000600f4ff0400f8ff16000600e4fffcffdcff
37,37,0,16371737dc36dc36ce36ce36f236f336a536a636de36df36e036e03617371437,0a000a002600260008003800eeff0e00eeff00001800faffeaff1c000e00eeff,5473949a8ca9ac733a1622ab3a3234142e005c00020022002a00eeff12003200,0c00eeff1a000a00fcfffcff2600f6ff0400f4ff0600e8ffe4ffe4ffccfffcff
38,38,0,16371637dc36dd36ce36cd36f3361837a636a636df36df36e136e13618371837,fcff1a002600260028000800fefffeffeeff2000fafffafffaffdafffefffeff,c81634ab2c2fea17789a7a303e738e993e000000020050001c00eeffe2ff0200,eeffeefffcfffcffecfffcff0600f6ff04000400f8ff16000600f4ff0c00fcff
39,39,0,16371737dc36dc36cc36cc36f436f336a636a736de36e036df36e03618371737,1a001a002600260008000800eeff0e0010001000eaff0800faffdaffdefffeff,e29a44307c73449bf2aaa473a615e2ab2e00e2ff12002200eeff0c003200e2ff,deffdeff0a00fcffecff1e001600e6fff4ffd4ffe8ff060006000600fcfffcff
40,40,0,18371737dc36da36cc36cb36f336f236a636a536de36de36e136e03616371837,0a00ecff26002600faff0800defffeff1000eefffaff08000c00eaff0e00eeff,b6a9747366199ca91a30ce174c9a8c310000f2ff2200f4ffdeff2a001200f2ff,eeffdeff0a00fcffdcfffcffd6ff1600040014001600e8ff060006000c00fcff
41,41,0,18371737de36da36ce36ce36f436f336a636a836df36de36e036e03617371837,ecff1a00260026001800faff0e00eeff1000000026001800eafffaffeeffdeff,302f1c18149cc62da4734c9b32ab2e7300002e0022000200feff0c00e2fff2ff,deffdefffcffecff0e00ecfff6ff0600e4ff1400160006001600e4fffcff0c00
42,42,0,18371737dc36db36cd36cf36f236f336a736a536df36df36e036e03619371737,fcff0a002600260008002800ceffceffdeff100026002600eaff0c00eeffceff,8473429b6ea9bc73be171eaacc3046162e001000120012003a00deffe2ff3200,deffdeffecfffcfffcff0e00f6ff06001400f4fff8ffe8ff06002800ecffecff
43,43,0,17371837dd36dd36cc36cc36f236f536a836a736de36df36df36e03617371637,dcffecff2600260008001800feff0e00ceff00000800faff0c001c00eeff1e00,8c1896a9962db61a0c9b0a2f1e738c9a10000000020022001c00d0fff2ff2200,3a00feff0a00fcfffcffecff1600360014000400e8ff0600060006000c000c00
44,44,0,1a371837de36dc36ca36cb36f436f336a736a836de36e136dd36e03619371837,dcffdcff26002600180008000e000e0000001000080008002c00faffdefffeff,c29bd02eea73b49c9ea9c4736617a2aa1000d4ff12002200eefffeff22000200,feffeeffecff1a00dcff0e00f6ff26001400f4fff8ff0600f4ff06001c001c00
45,45,0,17371737df36de36cb36ca36f436f336a636a636e036df36de36dc3616371737,1a001a002600260018003800feff1e001000deffa0ff08001c001c00feff2e00,16a99473721bb2a74a2e9219fc9abc2f10002e0032000200d0ff2a002200f2ff,eeff1c00ecffdcffecfffcff1600e6ff14001400f8fff8ffe4fff4fffcff0c00
46,46,0,17371737df36de36cd36ce36f236f236a636a436e036e136de36de3616371737,dcfffcff260016fc180018002e000e00eeffdefffaff26000c000c001e00eeff,602e1c19b49cc62cb4730e9c02aa4e733e003e001200d4ffdeff0c00e2ff2200,eefffeffecffecfffcfffcff1600e6ff140014000600f8fff4ff06001c000c00
