Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,18371737db36db36cd36cc36f236f236a936a836de36dd36e036e03619371937,24000400160016001a00fcfff0ff10001200e0ff0800080008000800d2ff1200,68fb223a54367a00345794cca25a98aacaffdafff4ff02001200d4ff1000f0ff,faffeaff0c00fefffaffdaff0c001c00060006000000e2ff00000000fafffaff
1,1,0,19371837dc36dc36cd36cd36f236f436a636a636de36df36e036df361a371637,04001400160016001a001a0000001000f0ff02009aff1800e6ff3800f2ff1200,405702cc94589ea7423a64a61c073cc32400acff1200d4ff1200f4ff2000b0ff,1800eafffeff1c000c00fafffcff0c002600060010000000eeffeefffaff0a00
2,2,0,18371837dc36db36cd36cc36f236f336a736a736dd36de36e136e03619371837,2400140016001600ecff0a00f0ff1000f0ff4200aaff1800f6ff08000200e2ff,323a88a678ffccc9d4ccb4fc48aa9230baffacff3200f4fff4ffe4ffd0fff0ff,fafffaff0c00eeffeaff0c00fcff1c000600f6ff2000100000002000daffeaff
3,3,0,19371937dc36dd36cc36cc36f336f236a836a636df36de36df36e03618371737,2400240016001600ecffecfff0ff10000200f0ff2800baff3800e6ff1200c2ff,f2cbe8fb5ea73a3764a664575cc3925af8ffe8ffd4fff4ffd4ff220010003000,eaff2800eeffeeffeaff1c000c00fcff0600e6ff1000f2ff10001000fafffaff
4,4,0,17371b37db36da36cb36cc36f336f436a636a736de36df36e036dd361a371937,1400040016001600fcffdcfff0ff20003200e0ff28009aff1800c6ff0200e2ff,98a66057ecc96458fefb1839f230dc06cafff8ffe4ff12001200220010000000,fafffaffeeffdefffaffeaff0c00fcff0600f6ff100000001000eefffaff1a00
5,5,0,1a371a37dd36da36cc36cb36f236f136a636a736e036de36e036e03619371537,2400240016001600ecffdcff10001000120002000800aaffe6ff0800e2fff2ff,f0fcf438aa3748ff6457fecb625aaea9e8ff2400020002003000f4ff2000d0ff,faffeafffeff0c00eaffeaff0c000c00f6ff16000000f2ffeeffeeff1a000a00
6,6,0,19371a37da36dc36cc36cc36f236f236a636a636df36de36df36e03617371837,f6ff040016001600ecff0a0000000000f0ff0200faff2800e6ff2800f2ff1200,905762cbe457d8a6843894a60c060cc4f8ffe8ff2200e4ff2200d4ff00000000,faff0800feff0c00faffeaffecffdcfff6ff0600e2ffe2ff200000001a000a00
7,7,0,1a371937da36dc36cc36cc36f636f336a736a736dd36de36df36de3619371737,1400140016001600ecffecff0000f0ffe0ff2200faff3800f6ff280002000200,9438c8a6f2fd66cb6ecb58fe8ea970320600caff2200d4ffe4ff0200e0ff2000,faffbaff1c00feffeaff0c00fcff1c001600e6ff0000f2ff100000000a000a00
8,8,0,18371837dd36db36cb36cc36f336f436a636a736df36de36e036e13619371937,0400140016001600fcffecff00000000020002002800faff180008001200f2ff,12cb1afe98a66a38f6a6d45700c5525adaffdaffe4fff4ffe4ff220000000000,1800eafffeff1c00fafffaffecff0c00e6ff16000000d4ff00000000faff1a00
9,9,0,18371937dc36dd36cc36cc36f336f136a636a636df36de36dd36dd3618371837,0400040016001600ecffecff1000f0ff1200e0ff38007aff0800e6ff1200e2ff,08a7705786cbe45774fdc437a032e004acffe8ff020012001200400020000000,faffdaff1c000c00fafffafffcfffcff06000600f2ffe2ff00000000fafffaff
