Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,17371637dc36de36cd36cd36f336f236a736a736e036de36e036e13616371a37,deffdeff240024001600f8ffd0ffe0ff545adcc3003b98a40614d890aaeada8a,f4ffd4ffe6fff6ff0000f2fffeffeeff080008000c00feff04001400fcfffcff,2800eaff040004000e001e0004000400fcfffcff1a001a001200e0fff4ff0400
1,1,0,13371637dc36de36cd36cf36f436f436a436a636de36df36e036e03616371937,0000100024002400260006000000f0ff6abfe4562ee5d86ce40e4e755a36aa6e,1600f4ffe6fff6ff2000e2ffcefffeff080036000c000c00f6fff6fffcffecff,180008001400d8fffcff1e00e4ff0400ecff0c001a00fcff4200020014000400
2,2,0,16371637dd36dd36cf36ce36f336f436a536a536de36de36df36e23619371837,eeff200024002400f8ff1600e0ff0000122198953af83c8b9ecf288f9aad4aa1,0600360018001800f2ff2000feffeeff360026000c00eeffd6ff1400ecfffcff,2800faff22000400fcffecff040024000c00fcff1a000a0002003200f4fff4ff
3,3,0,18371737de36de36cd36ce36f336f336a736a536de36df36e336e03617371837,000010002400240016000600f0fff0ff70011674f22908727a4d8e621a675a46,f4ff16002800180000002000deff1e00dcff2600feff0c003400f6fffcff0c00,0800280004002200fcfffcffd4fff4ff1c00fcfffcff0a00f0ff020004000400
4,4,0,16371737dc36dc36ce36cd36f436f436a536a636dd36df36e136e33618371837,eeffdeff24002400e8ff2600e0fff0ff7cdc288c04b8e899289c6cb4ea8c4ad8,16000600e6ffd6ff000000002e00feffeaffeaff2a00fefff6ff0400ccffdcff,0800faff140004000e00fcff040014000c00ecfffcfffcff1200120004000400
5,5,0,16371637dc36dc36ce36cd36f436f236a636a736e036df36e036e13619371b37,100020002400240036002600f0ff0000d44206695a609c506e71f82d9a747a05,06001600d6ffe6ff200020000e001e00eafffaff0c00fefff6ff1400fcff2c00,faff080014002200fcff1e000400f4ff0c00ecff2800280012000200f4ff1400
6,6,0,15371637dc36dd36cd36ce36f336f436a736a636e136de36e136e03619371a37,2000deff2400240026001600f0ffe0ffdaa3baaa9a90f2cb288be2f30a943a1d,f4ffe4fff6fff6ff100010001e00feff1800eaff0c001c0024000400fcffdcff,faff280014000400ecff1e00d4ff2400fcff0c000a00fcff020002000400f4ff
7,7,0,18371537de36de36cd36ce36f336f336a636a636de36e036e036e03619371837,10001000240024002600f8fff0ff2000566df239d674e6123e6ea0e9da590ac3,0600e4ff0800080010001000eeffeeff080008001c000c001400f6ff2c00fcff,280008001400d8ff0e000e00e4fff4ffecffdcff38001a00f0ff02000400f4ff
8,8,0,16371937dd36dd36ce36cd36f4361737a736a736dc36df36e036df3619371637,eeff20002400240026001600f0ff1000188b6ee66a8f3610faa148375ac0da57,f4ff0600f6ff080000000000feffeefffaff1800feffeeff14001400dcfffcff,faff080004000400fcfffcff24000400ecff0c00ecffdefff0ff12001400f4ff
9,9,0,16371637db36dc36ce36cc36f336f436a536a736df36df36e136df3618371837,1000eeff24002400160016001000f0ff1672cef6aa61d0ce4a45eaac0a202a95,060006000800f6ff200010000e00fefffaff3600eefffefff6ff1400ecffecff,0800eaff04000400ecff0e00140004000c00fcffecff0a000200020024000400
