Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,19371737dc36dc36cb36cd36f236f136a636a736df36e036df36e03619371837,1a001a00080008001800daff3200c2ff1e4e02dfac5e5ab1584a52a1861906b6,44005400f6ff0800fcff0a00f6ff2600040024000800eaffe8ffe8ff0a002a00,1200f4fffafffaff02000200cefffeffe0ff00000600f8fff2fff2ffe4ffe4ff
1,1,0,18371937db36db36cc36cd36f236f236a536a836dd36e036df36e03619371a37,fcffbeff080008003600eaffe2fff2ff1e4a78a1d8186cb686de9ce646b19620,9aff6400f6ff18000a00ecffc6fff6ffe6ff340008001800e8fff8fffafffaff,12000200faff18000200f0ffeeffeefff0ff1000f8ff06001400f2ffe4ffe4ff
2,2,0,18371a37da36de36ce36cd36f036f036a736a936dd36de36df36e03618371837,ecffecff08000800eaff5600e2ff120072deb4e6bab11a2182a10a4f26b6965e,aaff4400180008003a00fcff1600d6ff0400e6ff080018001600e8ff0a000a00,f4ffc4ff18000800220002000e00feffd0ffe0fff8ff24002400f2ff0400f4ff
3,3,0,19371737dd36dd36ce36cb36f136f136a836a836e036dd36de36df3619371937,ceff1a0008000800faff46001200420088a1ce4eecb68c5eace7084ae6219618,5400baff0800e6ff1a00fcff06000600b8ff340008000800f8fff8ff0a000a00,e4ff0200faffcafff0ff0200fefffefff0ff0000e8ff06001400f2ff0400f4ff
4,4,0,1a371837da36dd36cc36cb36ef36f236a736a636dd36df36dd36df3617371837,28004800080008001800eaff12002200b6e79c49da215818ea4e56dd865e06b1,5400aaffe6ff08000a00fcff0600f6ffe6ffe6fffaff08000600f8ff0a00faff,020002001800faff1200f0ff1e000e00f0ff0000e8ff0600e2fff2ff04000400
5,5,0,16371637dc36db36cc36ce36f236f236a536a736dd36dc36df36e13617371637,0a000a00080008005600ccff2200c2ff104f02de7c5efab0884992a12618a6b6,44005400d6ffe6ffdcff3a00f6ff2600f6ffe6ffeaff26000600f8fffaffeaff,0200d4ff180018001200f0ffeeffdefff0fff0ffdaffe8ff0400f2ff04000400
6,6,0,19371737db36dc36cf36cc36f236f136a836a736de36e036e036df361b371937,38000a00080008002800ccffc2ffe2ffcc4878a168172cb746ddcee896b04622,34004400f6ff0800ecff0a000600060004003400faff1800e8ff16002a00faff,22001200dafffaff020002000e001e00f0fff0ffe8fff8fff2ff0400f4ff1400
7,7,0,17371b37dc36db36ca36cd36f136f236a836a836df36de36e036df3618371b37,28000a0008000800eaff2800c2ff3200b0dc36e85ab03a22c2a14a4fc6b7765e,54005400e6ff08002a00fcff1600f6ffe6ff0400faffeaff160006002a001a00,e4ff12001800daff0200f0ffeeff1e00f0ffe0ffe8ffe8ff0400f2fff4ffe4ff
8,8,0,19371937dc36dd36cc36cb36f136f236a636a636de36df36e036de3617371b37,ecff280008000800daff1800e2ff020088a1c04fccb76c5e8ce80648c622f616,540034001800f6ff0a009eff3600f6ff3400e6ff1800faff060006001a00faff,e4ff020008001800f0fff0ffdeffeeff10001000f8ff0600f2ff040004000400
9,9,0,18371437dc36dc36cc36cc36f236ef36a736a836dd36de36e036df3618371937,ceff4800080008004600faff1200d2ff46e97c480c24c816fc4f76dc665e56b0,7400baff0800f6fffcffdcfff6ff16001400d6ff0800faff0600e8ffeafffaff,020002003800eafff0ff1200befffefff0ff1000240006000400f2ff0400f4ff
10,10,0,16371637dc36da36cc36ce36f236f336a636a736de36df36de36e03619371b37,1a00ecff08000800460008002200d2ff205070dc7c5e0ab09648c2a17616d6b7,1400340008002800bcffdcff6cff1600f6fff6ffeaff1800060006000a00faff,020012001800faff1200e0ff0e000e00f0ff00001600f8ff04001400f4fff4ff
11,11,0,19371737da36dc36cd36ce36f336f136a636a736e036de36e136dd3618371b37,4800ceff0800080028000800f2ffe2ffcc4788a17816ccb736dc4ee9c6afe623,baff2400f6ff3800fcff0a00e6ff160004000400faff180006002400eaff0a00,e4ff0200180008001200f0ffeeffdefff0ffe0ff06003400140004002400e4ff
12,12,0,18371937da36dc36cd36ce36f436f236aa36a836de36dc36df36df3619371837,1a000a00b8fb0800acff180002004200c0db56eadaaf4c24d2a1bc5066b8565e,140054001800f6ff0a000a004600e6ff24000400faffbcff240016001a000a00,020012001800daff1200f0ffeeff0e000000d0ffcaff16001400240004000400
13,13,0,1a371937dc36db36ce36cc36f136f336a836a636df36de36e036de361b371a37,ceff0a0008000800ccff180002002200a8a180505cb83c5e7eead6472624a615,5400aaff0800d6ff3a00fcff0600d6ff1400140008000800240016001a00eaff,f4fff4ff28000800f0fff0ff0e00eeff1000f0ffe8ffe8ff0400e2ff04000400
14,14,0,18371837dd36dd36cc36cb36f236f136a636a836df36df36e136e03616371737,ceff280008000800460018002200f2ff06ebdc47ec2438157c50d4da565e06af,6400aaff1800f6fffcffecffe6ff26002400440008001800060006000a000a00,1200e4ff380008000200e0ffcefffefff0ff000016000600e2ff04001400f4ff
15,15,0,17371937db36dc36ce36ce36f236f036a836a736de36df36e136df361b371b37,0a000a00080008002800eaff4200e2ffd05080da6c5e1aaf4647d2a1761486b8,34003400f6fff6ff0a002a0006000600440024000800faffe8ff06001a00faff,12001200fafffaff020012000e001e000000000016003400040004000400e4ff
16,16,0,16371837dd36dd36cc36ce36f136f136a636a636de36de36e036e13618371937,3800dcff080008001800ccff0200f2fffc46a8a146140cb954daaeebc6aee624,34003400e6ff38003a001a00f6ff16002400520018000800e8ff1600faff0a00,120002000800faff12000200eeff0e0000000000f8fff8fff2ff0400e4ff0400
