Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e436e336d936d936cf36d0360f371037cd36a63617371437d836d9364f355335,9d369d360637083711370f371e371d37163716371e371f37e536e1360c370a37,2800c6ffe0ff12003200f0ff2e002e00ba59e6c8eea69059c23674a65400f436,e6ffe6ff00001000eeffdeff0400f4fff8ff06000e002c000600f4ff00000000
1,1,0,e336e436d936db36cf36ce3613371237ca36cb3616371637d936d83652354f35,9e369f360837e236113711371c371d37173714371d371d37e336e3360b370b37,e6ff1800f0ffe0ffe0ff12003e00feff0c3768a6280060364cc86800645974c8,f6ffd4ff10000000eeff0e000400e4ffb0ffe8fff0ff1e0006000600d0ff0000
2,2,0,e336e436da36d936cf36cf360f371337a636cb3617371437d936d9364f354f35,9d369d36063706370e3710371e371e37153716371d371e37e536e43608370a37,c6ff18002200cefff0ff22003e00eeff86c9f8ff4059cec844a68a596437a4a6,f6fff6ffeeffdeffdeff2e001400f4fff8ff0600f0ffe0ff06002600d0fff0ff
3,3,0,e136e336d936db36d036cf3611371037a736a73617371737d536d6364d354f35,9d369f36083706370f3710371d371d37163716371e371e37e436e43609370a37,08000800f0ff220012001200beff3e0078a64a5940377ea6c6ff4237f4c8e4ff,e6ff0800000000002e00deff0400e4ff0600f8ff0000000006000600f0ff2000
4,4,0,e136e236d936d736cd36d13612371137ca36cc3615371737d636da364f355235,9c369d36063707370f370f371d371b371737183720371d37e336e23609370c37,0800e6ffceff220032000200feff4e0028ff5c377ec9e6fe4a598cc984a66459,0800080000001000deffdeff14002400060006001e000e000600f4fff0ff0000
5,5,0,e336e336db36db36d136d1360f371137a636ca3617371837d736d7364f354f35,9e369f360837063710370e371c371e371637163720371f37e536e4360b370a37,2800d6ffe0ff2200d0ff02004e00eeff4a5916ca7ea60059523864a6f4fe2438,f6ffe6ffeeff1000feffceff340004002600c0ff0e003c000600f4ff2000e0ff
6,6,0,e636e336db36db36d036d13611371037ca36cb3616371837d836db364b354d35,9e369d3606370637123710371d371d37153714371f371d37e536e3360c370937,08001800ceffcefff0ff02000e00eeff2e3828a616fe10380cca36fef458b4c9,1800f6ff1000eeffcefffeff04000400f8ff06000e000e00f4ff06000000f0ff
7,7,0,e436e436d936d936cf36cf360f371237cd36a73615371537d936d8364c355035,9e369e3607370737113710371c371c371637153720371e37e236e3360a370937,e6ff08001200ceffc0ff02002e00feffb6ca98fec0583ecaf4a50a59c43814a6,e6fff6ffeeffcefffefffeff2400240006000600f0ff0e00f4ff0600f0fff0ff
8,8,0,e336e336dc36d936d136d03613371037a736a63614371437d636d7364d354f35,9e369f3606370637103710371d371a37133716371e372037e536e5360b370d37,d6ff0800f0ffe0ff12000200deff2e00b8a5b85890384ea6d6fd243954ca34fe,e6fff6ffdeff0000fefffefff4ff14000600f8ff00000e000600f4ff00000000
9,9,0,e436e236d936db36ce36cd3610371037cb36a73616371437d836d63652355035,9e369b360737083711370f371d371e37183716371d371f37e636e4360b370a37,0800f6ffceff22000200d0ffceff2e00b8fdde38eecab6fdca58accac4a5b458,f6fff6ffceff20000e00eeff04002400f8ff0600e0ff0e000600f4ff00001000
