Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e636e436d936db36ce36d23610370e37cd36a53614371637d736d73651354e35,9d369b36e236e436103711371c371c37153714371c371f37e336e3360a370837,dcff0e000a00e8ff0800e6fff2fff2ffd2b5e627fe4f08b6e6c7c44f5c0a0cc8,e2ff04000200c0ff1c00feff14000400faff0800040014001e00fcfffcff1c00
1,1,0,e736e536d836d936cf36cd360f370f37a736a7361837ee36da36d83651355235,9c369f36e03606370d370e371a371937173715371d371b37e336e3360b370737,0e00fcffe8fff8fff6fff6ffd2ff3200d8c75250ee091ec8d6275c0a4cb65c27,e2fff2ff020002000c001c0014001400280008001400f6ffecfffcff1c00fcff
2,2,0,e636e436d936d836cd36d2360e370f37ca36cd3616371537d636d63651354f35,9d369d36e336e336113710371c371c37143713371c371f37e336e336e636e536,ecff0e00e8ff3c001800f6ff2200320056271c0a28b68427d44fd0b53cc8ec4f,0400140002001200feff1c00f4fff4ffeaff080004000400ecffecff0c000c00
3,3,0,e536e436d936d836cf36ce3611370d37cb36a73616371237d736da3650355035,9f369f36e0360737103710371a371a37143713371d371d37e336e1360b370a37,ecffecff0a001a00080018003200d2ff925002b69cc70e509c0a56c7cc26cc0a,0400f2fff0ff1200fefffeff2400f4ffeaff080014003200fcfffcff0c00fcff
4,4,0,e736e936db36da36cf36d0360e370e37a636cb3613371537d936d73651355335,9e369d360637e336103711371c371c37143715371c371d37e436e3360a370a37,ccffccff0a00e8ffe6ff18002200e2ff0c0b06c7e4269e0a30b666272c506cb6,040004000200f0ffeeffeeff0400f4fffaff0800f6ff0400ecff0e000c000c00
5,5,0,e436e536db36db36cf36d1360f370e37cb36cc3616371337d736d53652355135,9e369e36e2360537103712371b371c37153715371d371e37e336e23607370937,0e003e009000e8fff6fff6ffc2ff220072b61626405088b646c734505c0b1cc7,040036001200f0ffdeff0c00f4fff4ff0800fafff6ff1400fcfffcff1c00fcff
6,6,0,e336e436d936d936d136ce360e370f37a636cb3614371437d736d63651355135,9e369d36e236063710370f371c371a37143713371c371c37e136e3360a370937,fcffecfff8ffe8ff08000800e2ff5200d6c692504e0b5cc7b6263c0bacb65c26,f2ff04000200d0ffeeff1c00e4fff4ffb2ff1800140014001e00fcff1c000c00
7,7,0,e636e436d736d736d136cf360f370e37cd36a73615371337d636d93652355135,9d369c36e436e33611370f371c371a37133714371d371f37e336e43609370c37,0e002e00e8ff7e0028000800f2ff2200e6256c0ba8b644260450f0b6dcc64c50,04000400020012001c00eeffe4ff0400eaff280032001400fcfffcff0c001c00
8,8,0,e336e636d936d936d036d0360e370d37a636cb3613371337d636d83654354f35,9f369e36e136e336103711371a371a37133713371d371c37e336e13608370937,1e00ecffe8ffd8ff2800080032002200a250d2b6acc66050be0b96c6fc253c0c,140004000200e0fffefffefff4ffe4ff0800eaff14001400fcff0e00ecffecff
9,9,0,e436e436da36da36cf36cf360f371037a736cc3613371437d636d9364f355435,9d369f36e236e43612370e371c371b37153717371e371e37e536e5360937e536,ecffecff0a00e8ffc4ff2800f2ff22002c0c66c69425ee0bb0b6c6255c50ecb6,f2ff040022000200eeffeeff0400e4ff180008001400f6ffecff0e00fcff1c00
10,10,0,e536e636da36d936cf36cb360f371037c936cb361537ef36d936d83655355035,9e369e36e336e23611370f371c371a37123713371d371f37e336e3360b370937,dcfffcff0a00e8ff08003a00d2ff0200d2b62425905028b756c64450ec0c5cc6,f2fff2ff120002001c00d0ff040024000800180024002400fcfffcff0c002c00
11,11,0,e736e436db36d936ce36ce3610370e37ca36c936ef361537d736d83654355235,9e369c36e036e23611370e371a371a37143712371d372037e236e33609370a37,dcffecffe8fff8ff2800f6ffe2ff3200b6c5b2505e0c5cc65625ce0c0cb76c25,0400d2ffe0ff1200feff0c000400140008001800c8ff24000e001e000c00fcff
12,12,0,e436e436db36db36d036cf360e370f37ca36cb361637f036d736d83652355035,9f369f36e336e236103712371a371b37133714371d371d37e336e33608370a37,fcffdcfff8ffe8ff3a000800e2ff2200c4241e0d28b7e4245450f0b60cc69c50,f2ffe2fff0fff0ff0c000c00140004000800faffe6ff1400fcff0e000c000c00
13,13,0,e636e636d936d936cf36d0360e370e37cc36a536ef36ee36d936d93653355435,9e369b36053706370f370f371a371b37113712371d371e37e236e236e5360837,0e00fcff1a000a00f6ff3a0042000200d25052b79cc590502e0d94c5dc247c0d,e2ff040012001200eeffdeff2400140018000800f6ff0400ecfffcff0c00ecff
