Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e636e636d936db36cf36d1360f370d37ca36ca3613371637da36d93657355535,9e36a036e336063711370e371d371a37123711371e371e37e336e43608370a37,10000000f8fff8fffaff3c005a00c6ff181c90bb66b0cc4d164178e9d2025ccd,3000eeff04000400f6fff6ff0a00faff060006000a00fcfff8ffd8ff1200e2ff
1,1,0,e636e736d936d936d136d13610371037cc36cc3613371337d736d93658355b36,9f369e36e23607370f3711371c371a37123713371d371c37e436e3360a370b37,eeffdeffe8ff4a001c001c002a00d6ffacbe081782fd0a33ca4460adf6b11a2e,0000eeff14001400f6fff6ffa0ffeafff6ff1600ecfffcff0a00e8ffd2ff0200
2,2,0,e636e436d936dc36d336d0360d370b37c936c93614371337da36d83653355635,9e369d360837e4360f370e371a371c37163715371d371e37e536e43609370c37,ceffeeff1a000a001c00eaff1a002a000ebcd052ec4d16d178e8d4e38ccdb24f,eeff0000f2ffe2fff6ffc6fffaff0a0006000600fcfffcfff8ffe8fff2fff2ff
3,3,0,e836e736d936d836d036d43610371037ca36ca3617371337da36db3657355735,9d369f360637e236103710371a371b37143713371e371c37e436e5360d370b37,eeff40002a00f8ff1c00faffd6ff2a009e17c81bba32a6b060adc6410a2f3002,deffeeff04000400f6fff6ffeafffaffe6ff06001a001a00e8ff0a00e2fff2ff
4,4,0,e436e736d936dc36d136d0360e370e37a736cd3617371337da36db3657355535,9f369d360737073710370f3719371c37143715371d371e37e236e23609370a37,3000eeff0a00f8ffbaff3c002a003a00d0529ebda6d012fed2e4ca442c4fb6b1,10000000f2ffe2fff6ff18000a00eaff16000600ecfffcfff8ff0a001200f2ff
5,5,0,e736e636db36d936d236d53610371037cc36ca36ef361337d936da3651355435,a0369e3607370637113712371d371937143713371c371e37e336e33609370937,30002000f8fff8fffaff0c001a00c6ffda1a4ebce6b03c4ed64198e790011cce,eeff00002400f2ff0800f6ffeaffeaff060006000a00ecff0a000a00d2ff0200
6,6,0,e636e536db36dd36d336d1360c370e37cb36cc3613371737da36d93656355335,9d369d3607370637103711371a371c37153713371c371e37e236e5360a370b37,30000000e8ff0a000c00faff4a00e6ff3ebdde17b2feb431ec4360ada6b12a2f,0000deff04000400f6ff1800eaffeaff0600f6ffdcfffcff0a00f8ffe2fff2ff
7,7,0,e836e536d936d936d236d13612371037cb36cb3613371637db36d93656355735,9f369e36e2360737103710371c371a37133714371e371f37e336e13608370a37,deff20004a003a003c00eaffa6ff1a00bebce0527c4e26d0a8e704e69ccefc4e,eeff20001400f2ff1800c6ff0a001a00060026001a00ecfff8ffe8ffd2fff2ff
8,8,0,e636e736d936db36cf36d0360f371337cb36cd3614371337d936d73659355635,9d36a1360837e2360d370d371c371c37143716371e371e37e136e33609370b37,000000000a000a000c00fafff6ff3a00ce183a1a743162b140ad9842f02fba00,0000defff2fff2ffd6ff1800eafffaffe6fff6ffdcfffcff0a00e8ffe2ff0200
9,9,0,ea36e636db36d936d036d13610371037cc36cb3615371737da36da3657355d36,9d369d360737e2360f3712371a371937123713371c371e37e436e5360b370737,eeff10002a00f8ff0c000c00d6ff2a00a052bebc06d042ff24e65a43cc4e76b1,eeff000004000400f6fff6ff0a00daffe6fff6ff1a00ecfff8fff8ff12001200
