Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e736e636db36d936d036d5360f370e37cc36cd3612371337d836d93654355435,9e369c3607370737113711371c371a37143716371d371e37e536e1360a370a37,eaff1c00d8fff8ff02002200dcffdcff349d1ed1149816f4c09fcc18d0b3503a,0600e4fffcfffcff0200020002002200eaffeaff1200f4ff0c001c0008000800
1,1,0,e536e436dc36da36d436d33611371137cd36cc3616371337db36da3654355635,9f369d36083707370f3710371e371d37143714371d371d37e536e3360c370937,0c000c00e8ffd8fff0fff0ff0c003c00bc670a12dc61c6ece04f84ca403490ae,e4ff26000e00dcff0200e4fff2ff020008001800d6ffe4fffaff0c0008000800
2,2,0,e936e436dc36da36d036d33610370f37cc36cc361637ee36dc36da3654355335,9f369f36073707370e3710371c371c37153714371d371c37e436e43608370a37,2c00fafff8ffd8ff1200e0ffdcff1c00049cfa0c28acf22f74c6e04c40e87060,060006000e000e00e4ff1200e2ff220008000800e4ffd6fffaff2c000800d8ff
3,3,0,e636e636dc36dc36d436d43610370e37ca36ca36ef36ed36d936d93656355535,9c369e36073708370f3710371c371d37153713371d371d37e236e4360a370837,fafffaffd8fff8fff0fff0ffccff1c0038577ed5363efab65c1dd0a100f99098,f4ff0600fcfffcff02002200f2ff02000800faff0200e4fffafffaffe8fff8ff
4,4,0,e636e336da36db36d436d3360f370f37ca36cd36f036f036da36da3658365135,9c369d36073706370e370e3719371a37153715371c371a37e236e43609370a37,0c00faff1a00e8fff0fff0ffdcffdcff0abdb444b2dc6a5b0a01a26640253065,0600e4ff0e001e00f4ff0200f2ff1200eaff0800e4ffd6fffaff0c0018002800
5,5,0,e736e336db36db36d436d2360e370e37cb36cb36ef36ec36d936db3653355635,9c369c360637063710370e371d371a37133716371d371d37e436e3360a370c37,eaff0c001a001a001200f0ff0c001c009e2806a7ca04369a66e0809900c040a5,0600e4fffcfffcffe4fff4fff2ff02000800180012001200eaff0c000800f8ff
6,6,0,e436e436db36d936d436d13610371037a736cb36ee361537dc36d83653355535,9d369d360837e4360f3710371d371b37153714371d371d37e436e6360a370937,eaff0c00b8ffd8ff0200f0ffecffdcff44f54a649e19fe662e3b225d40555047,06001600ecfffcff1200120002000200faff0800e4ff0200fafffaff1800f8ff
7,7,0,e436e636dc36de36d436d43610370f37cb36cc36ef361337db36dc3653355235,9c369d360737073711370f371c371c37143713371c371c37e036e4360b370a37,3e000c00f8ffe8ff1200f0ffecffecff84ec7298bec936a062ae42b4009db0d1,0600f4ffecffecff1200220002002200faff18001200e4ff1c000c0008001800
8,8,0,e636e536db36db36d536d3360e370c37a736cd3613371337dc36da3653355735,9f369d360737e33612370e371c371c37153714371d371d37e336e2360a370b37,faff1c000a00f8fff0ffe0ff1c00dcff10315a61d84da84fb2608e3370671011,0600f4fffcfffcff12001200e2ff1200faff18001200e4ff2c000c00e8ff1800
9,9,0,e736e436dd36db36d536d2360f371037cc36cc3614371337db36db3656355535,9e369c36063707371037103718371c37143716371d371c37e436e33608370b37,eaff1c00e8fff8ffe0fff0ff0c000c0078b666ac46a17ec7609816e9609c500e,06001600fcff1e0022000200220012000800180002000200faff0c00f8ff1800
10,10,0,e636e436db36dc36d436d33610371037cb36ca3614371437da36da3657355435,9e369e360637e43610370f371c371a37133716371d371d37e436e33609370c37,faffdaffd8ff0a00f0ff0200ecffccff185c123dbe667e1cf26448f8c05640d4,0600e4fffcfffcff020002002200220018000800f4fff4ff0c00eaffe8ff1800
11,11,0,e636e336db36dd36d036d3360f371037cc36cb36ef361437da36da3651355235,a0369d3607370637103712371c371c37173712371e371c37e236e43609370937,eafffaffd8fff8ffe0fff0ff1c001c00049ac0dd96993a02f0a5fc2510be8045,06000600ecfffcff0200f4ff1200e2ffeaff1800e4ff12002c000c001800e8ff
12,12,0,e436e736d936db36d436d23610371037cb36cc361437ef36da36dc3653355335,9c369d360637063710370f371c371c37153714371f371d37e136e3360b37e536,2c000c00e8fff8ff020022001c00ccff5c6708048c5c92df504652bf6027c0a6,f4ff16000e00fcff1200f4ffe2ff2200faffeaffd6ff12000c000c000800f8ff
13,13,0,e636e836dc36da36d336d1360e371037ce36cb3614371737db36da3654355435,9f369e36e23606370f3710371b371b37153714371c371e37e336e13609370937,faffc8fff8ffe8ff120012000c001c0084a0dc1a6ab5043cb4d2c25550f6a064,060006001e000e0002000200f2fff2ff08000800e4fff4fffaffeaffe8ffe8ff
14,14,0,e536e536db36dc36d136d1360f370e37ca36cc361437ef36db36dc3654355435,9d369e3606370837113711371c371937143715371e371c37e436e3360b370a37,2c00eaffe8fff8fff0fff0ff2c001c00d64e8cc98232f8adca0fd09c00eb7098,e4ff0600fcfffcff02001200f2ff2200fafffaffe4ff02002c00eaff0800e8ff
15,15,0,e336e636dc36db36d336d3360f370e37cb36cc36ef361237db36da3654355535,9f369e36e336063710370f371a371c37143715371c371d37e436e5360b370937,0c00faffa8ff0a000200f0ffccff1c00bcc8964e34ea2c612a0fb26730321061,d4ff06000e00ecffe4ff0200f2fff2ff18002800f4ff1200faff0c00e8ff0800
16,16,0,e536e536db36db36d236ce360f370e37cc36cb3614371437db36dc3653355335,9d369d360837e43610370f371b371d37153713371d371e37e536e3360a370b37,faff0c00e8ff0a0002001200dcff2c004c1bb4a0d8f63498a4d3809cd0b5f0ac,06001600ecfffcff1200f4ff0200d2ffeaff0800120022000c00faff1800f8ff
17,17,0,e536e636dc36db36d336d4360e370e37cb36cd3614371437da36da3656355535,9c369e36063707370d370f371c371c37173715371d371d37e336e43608370c37,0c002c000a000a000200e0ff2c00ecff28037c67d0269c64f045f255505c903c,f4fff4fffcff0e0012001200f2ff1200faff0800f4fff4ff1c00faff08000800
18,18,0,e636e436da36d936d236d0360f370f37cb36cb36ec36ee36da36d93654355435,9d369b3605370637113710371a371c37143714371c371c37e436e2360b370837,1c001c00d8fff8ffe0ffd0ff2c00ecff60dee4997cbea8a630a672bebe99cede,160026000e00fcff2200120002001200080028002200e4ff0c00faff08000800
19,19,0,e736e636dc36dd36d336d4360f370f37c936ca3613371437db36da3655355435,9d369e360737063710370f371a371d37143715371d371d37e236e4360a370937,c8ffeaff0a00d8fff0ffd0ffdcff0c00d23cf85b3a56f645e2640c27ce66ae02,160006000e001e0002000200f2fff2ff08000800f4fff4ff0c002c00e8ff0800
20,20,0,e536e436da36dc36d336d5360e370d37cc36cc3615371237db36da3655355635,9e369e3606370837103714371a371a37133714371d371d37e436e2360a370a37,0c001c00d8ffe8ff1200f0ff2c00dcff56add8b5769ce0d3709848f7cea0ce1b,1600f4ff0e00fcff0200f4ff020002002800fafff4fff4fffaff0c00f8ff0800
21,21,0,e436e436d936da36d136d3360e370e37ca36cb361437ed36db36db3656355635,9e369d36e336063711370f371c371b37153714371e371c37e536e2360a370a37,1c000c00e8fff8fff0ff1200dcff0c008a61c031ee679c0e1261c6e91e4e0ec8,16000600ecffecff120002001200e2fffaff0800e4fff4fffafffaff08000800
22,22,0,e436e436db36db36d436d53611370e37ca36cb3614371337d936db3655355835,9c369c3608370737103710371c371d37143714371c371d37e336e1360b370b37,0c003e000a000a00f0ff02002c00dcff429894ebc69c0c1012aebe320ec90e4f,e4ff06000e000e000200120012002200faff1800f4fff4ff1c000c00f8ff0800
