Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e436e536d436d236aa36ae364a374a3717371737e534e834b536b536e5360c37,1337123715371437ec361237d436d436e936ea36a836a736df36e136a3369d36,cc68cc33ac75600f426942e62457e4be000010000a000a00f2ffe2fff0ff2000,220012001000100006000600e0ff0000f6ff1400040014000c00defff2ffe2ff
1,1,0,e436e636d636d536aa36aa364937473717371937e934e734b736b736e536e636,0f37123716371737ed36ed36d336d336ea36ec36ab36a636df36e0369f369f36,189196eb1e90b013d0a62c39e4c3645b3000e2fffcfffcfff2ff0400f0ff1000,12000200eeff000006000600200020004200f6ffa8ff0400eeff0c003200d2ff
2,2,0,e336e436d636d436ab36ab3648374a3717371837e634e734b536b736e636e536,13370f3717371737ef36ef36af36d436e936e836a936a936df36e0369f369f36,1a6b8af32a6066cbe23f22aca41be492200000000a00ecff0400f2fff0fff0ff,1200120010001000060006000000000024001400e6ffd6ff0c000c0002001200
3,3,0,e436e336d636d736ad36a9364837493715371837eb34e934b936b936df36e536,0f370f3717371637ec36ec36ae36d336e936ea36a736aa36e336df369d369c36,e4a16e2c04b85851b2deb66624073475f2fff2ffecffecfff2ff140000000000,12001200100000000600f4ffe0ffe0fff6ff04003400f6ffeeff2c00e2ffe2ff
4,4,0,e336e236d636d836ad36ac364837473715371737e734ea34ba36b936e236e236,eb36eb361a37183715371137ae36af36e736e836aa36ac36e036e1369c369c36,9c48e2b7d2290099f6ff488fe4d6e48c300020000a00fcffe2fff2ffe0fff0ff,1200120000001000e4ff1600100000000400140014004200deffdefff2ff2200
5,5,0,e436e436d436d336ae36ac3649374a3716371337ea34e434ba36ba360a37e636,eb36ea361437173712371437ae36af36e936e536a636a636e436e4369e369d36,10d3e45dbcf8ec721a21d0700448e4660000f2fffcff28001400f2ff1000e0ff,f0fff0ff000000001600f4ffd0ff0000d6ff14001400f6ff0c00fefff2ff1200
6,6,0,e436e436d236d236ac36aa364a374b3719371737e634e734b636b8360a37e636,1037113714371437ed361137d536d536e836e836a536a836e136e336a1369f36,4e0dce949ae48e8a46c0349914a084aee2fff2ffdcffecff140014001000f0ff,e0fff0ff0000eeff36003600f0ffe0fff6fff6ff0400e6ff0c00feff12000200
7,7,0,e336e236d436d336aa36aa364a374a3719371937e334e834b736b536e436e536,1237133718371537ee36ed36ae36d236eb36ea36ab36a636de36df36a036a236,0614b26ee43bec6cce58f853f46f2435000010000a00fcfff2ff040010002000,020002001000eefff4ff0600f0fff0ff140014000400d6ffbeff2c002200f2ff
8,8,0,e336e236d536d536aa36a9364837493717371837e634e734b836b836e436e536,ed36ec3617371737ef36ef36af36d336e936ea36a836a936e436e0369c369c36,decc0c97e2a870a4f09590c6348a14ec1000e2ff0a00ecff1400140000000000,f0ff0200eeff00001600e4ffe0ff0000f6fff6ffe6ff0400feffdefff2ff1200
9,9,0,e336e336d736d636ab36ab364937473714371837ea34e834bb36b836e436e736,1137ec3616371737ee36ef36ae36d436e936e936a836a636e036e4369f369c36,cc4da6596c6a96417a71341a147114f14e0010000a00dcffd2fff2ff00000000,0200020000000000f4ff0600f0ff000014002400e6ff0400deff0c0012001200
10,10,0,e236e236d336d436ad36ad364937493717371737e634e634b936ba36e136e336,ec361037153717371337f036d436af36e636ea36a736a836e136e2369d369f36,7a9e40bd8e8be8ddac908407149db430f2ff10001a00fcff1400f2fff0ff1000,22000200100000001600d4fff0ff00002400f6ff1400f6ffaeffaefff2fff2ff
11,11,0,e536e136d436d436ae36ad364b37493719371837e734e634b836b836e336e436,1037ed3613371737ef36ec36d436af36eb36ea36ac36a736de36e036a0369c36,ce6ce4255c748cff346380d7a44bf4b10000d2ff0a00280034002400f0ffd0ff,1200120010001000f4fff4fff0ff10002400e6ffe6ffd6ffdeffdeff2200e2ff
12,12,0,e136e336d236d536ae36ab3649374a3716371637e434e834b836ba36e436e636,eb360f3714371637ee361337b036af36e836e836a436a736e036e0369f369f36,729180fafe95e222c2b1fe4504d234640000e2ffecff0a00f2ff46001000f0ff,34001200deff0000f4ff06000000f0fff6ff04000400f6ff2c00beff02000200
13,13,0,e436e336d336d336a936ad364c374c371a371837e534e734b936ba36e5360c37,0f37133715371537ec36ee36af36d436eb36e936a636a636e036e036a0369e36,446692e4485674bd2033b2a2340c148ec4fff2fffcffecfff2fff2ff10000000,120012004200eeff0600e4ffd0ff1000f6ff1400f6fff6ffbefffeff02000200
14,14,0,e336e636d836d436aa36a93648374a3716371937e734ea34b836b536e236e636,ec360f3717371637ee36ed36ae36d436e936eb36a936aa36df36e0369f36a036,62aab23916c50a5ca2ed286ce4169475e2ffe2ff0a00280024001400e0ff0000,f0ff1200eeff520006000600e0ff0000e6ffe6ff1400d6ffceff1c00f2fff2ff
15,15,0,e336e336d536d636ab36ac364a374a3719371437e534e834b836ba36e636e436,1037ec361537183711371237d336af36e836e736ac36ab36e536df369f369c36,b43c18ad801a4e92b8f0e48d64c82491e2fff2ffdcffecfff2ff040000000000,0200ceff0000eeff160016002000e0ffd6fff6fff6fff6ff0c000c00f2ffe2ff
16,16,0,e436e536d436d336aa36ac3649374b3717371637e834e634ba36b736e536e636,1237ec3615371437ef36ee36d336b036e936e736a936a736e036e4369f369e36,36e1ca648e081c75bc2f4e6db453445e0000f2ff0a000a00d2fff2ff00000000,f0ff120010000000060016002000f0fff6ff04000400e6ff0c000c00f2fff2ff
17,17,0,e436e336d436d536ab36ab364737493715371637e634e934bc36b736e736e536,11370e37163714371437f036b036b036e936eb36a936a936e036de36a0369d36,36fe0a9268d5fe8cfeb3b4a09497c4ba0000f2ffdcfffcfff2fff2ffe0ffe0ff,0200e0ff1000100016001600300000001400f6ff24002400feff2c0002000200
18,18,0,e536e536d436d536ab36ac364a3749371b371637e434e434b836b636e4360a37,1037103716371537ee361137d336ae36ea36e736a836a936e236e2369e369e36,a622386dd6482a66a261c648b473b426100000001a00fcfff2ffe2ff10001000,f0fff0ffeeffdeff0600f4ff00002000e6fff6ffe6fff6fffeffeeff22000200
19,19,0,e236e636d636d736aa36aa3647374a3717371a37ea34e734bb36b736e336e536,eb36ec3617371837ef36ef36ac36d336ea36e936a936a536e036e2369e369f36,04c0a69c009f82af6691ded3d48af4fbe2ff1000ecff0a00240004000000f0ff,0200e0ffeeff0000060006002000f0ff040024000400c8ffceffdeffd2ff1200
20,20,0,e336e136d336d536ad36af364b37493717371437e534e834bb36b836e536e236,ea3610371637173714371337b036af36e836e836aa36a736e136e0369e369c36,d25756502c70e433aa71060bf46b84e1000010000a00ecfff2fff2ff00001000,120012000000eefff4ffe4ff3000e0ff240014001400c8fffeffdeff1200f2ff
21,21,0,e536e436d636d236aa36ac364a374b3718371637e334e734b736ba36e636e636,1037103715371537ec361137d536d436e736e736a536a736e036e136a1369e36,1c98bec98e8a4aedca94e21694a6a43ee2fff2ff1a001a00f2fff2fff0ff2000,0200f0ff00001000f4fff4ffd0ffe0ffe6ff0400040042002c00ceffd2fff2ff
22,22,0,e236e336d436d636ac36a9364737473716371837e834e634ba36b636e336e436,0f37103717371537ee36ec36af36d336ea36ec36a736a836e036df369f369e36,846e80179c70eaef9e5a96c9d43ea4a6f2fff2ff0a00dcfff2ff040010001000,e0ff020010000000f4ff1600f0ffe0fff6ff0400e6ff14000c00ceffe2ffe2ff
23,23,0,e636e436d336d436ae36d1364c37493716371637ea34e834bb36b936e536e036,eb360f37133715371237ef36b036af36e536e836a936a936e236e1369c369d36,fc937a09e09d043240bdda5134e1b46b000020001a00fcffe2fff2ff00002000,020012000000eeff0600f4ff2000e0ff04000400b8ffc8ff0c00feff0200f2ff
24,24,0,e536e436d536d336aa36ab364c374b3717371a37e834e934b636b836e636e636,1237103716371437ee36ee36d236d436ec36e836aa36a636df36e036a136a036,8c5fb6d6d64a02b19c24889a04fc148b000000000a0028000400e2fff0ff0000,0200f0ff10000000e4ffd4ff0000e0ff04001400e6ff2400eeff0c00e2fff2ff
25,25,0,e136e336d536d536ab36aa3649374a3714371637e534e734ba36ba36e136e436,ea360f37163716371237ec36ae36ae36e936e936aa36a936e236df369c369e36,3ab5e64568d31a65c0fc08708426b473300010000a00fcffe2ffe2ff20001000,120002001000eefff4fff4ff2000400014003200b8ffe6ffeeff2c00f2ff0200
26,26,0,e236e336d436d436ad36ad364a37473715371537e034e334ba36bb36e736e436,ea360f371437163712371237d336af36e936e436a936a736e536e2369d369d36,ca2fd6a3be0a6e8d6ae1ec8ed4ba8497b4ff00006600fcff0400e2fff0ff0000,02000200520010000600e4fff0ff4000f6ff5200e6ffb8ff1c00fefff2ff0200
27,27,0,e736e536d036d236ac36ab364c374a3717371637e534e634b636b93609370a37,1137103713371537ee361237d536d336e836e836a436a636e236e436a1369e36,f2effa6960188c75783d0c68545eb453e2ffe2fffcffecff140024000000f0ff,f0ffe0ff100000001600e4ff0000f0fff6ff0400c8ffe6ff2c001c00c2ffd2ff
28,28,0,0a370c37d536d336a736aa364c374d371a371a37e934e534b636b636e636e536,1237133716371437eb36ee36d536d736eb36e836a736a436e136de36a136a136,5cefea9006c74e916aa9e6a9349124c810000000fcffecfff2ff140000003000,f0fff0ffeeffeefff4ff060020001000f6ff2400d6ffd6ffceff1c0022001200
29,29,0,e3360937d736d636aa36a83649374a3716371a37e634e834b636b536e036e536,0f37123719371537ee36ed36ae36d436eb36eb36aa36a236de36df369d369e36,8030dc69e8543a5d7868223c64755417c4ffe2fffcfffcff2400f2ffe0fff0ff,0200120000004200f4ff06000000e0fff6ff240098ff0400deffdeffd2ffd2ff
30,30,0,e236e336d436d836d036ac364637493714371437e534e834bc36ba36e436e336,eb36e93618371c3714371137ac36ab36e736e936aa36ae36e636e0369b369c36,58b414a4c096d4bbfc8ec0e2048e940b10000000ecffdcff240014002000f0ff,0200ceffeeffeeff0600f4ff30000000e6ff24008affa8fffeff0c001200f2ff
31,31,0,e636e536d436d436ab36aa3649374a3717371737e334e434b636b936e6360a37,1037ec3615371537ef361237d636d336ea36e936a936a836e236e236a3369d36,32603045ec733225e86f9afb946434d2000010001a00ecffe2ffc0fff0ff1000,02001200000010000600f4fff0ff1000f6ff140042000400aeffceff02002200
32,32,0,e036e536d536d636ab36a9364a374a3716371737e834e234b936b936e1360a37,1037113718371837ef36ef36af36d336eb36ea36a736a736e036e136a036a136,be936cd74e8b2cfd049ba425d4b1c44bc4ffd2ff1a001a0014001400f0fff0ff,e0fff0ff100000000600f4ff20002000f6ffe6fff6ff1400eeff0c00e2ffd2ff
33,33,0,e536e236d336d436ad36ad364b37473716371837e534e834ba36ba36e436e236,eb36eb361437183714371437b136af36e636e836a736aa36e536e2369a369e36,766eb4086c6b18e0a45048bce430349de2ffb4ffecff0a00140024000000f0ff,f0ff0200000000002600f4ff10000000f6ffe6ffc8ffc8ffeeff0c001200e2ff
34,34,0,e536e636d536d336a836ab364937493719371937e834e334b636b93609370b37,1037113716371337ee361237af36d536eb36e836a736a736e136e4369d369e36,7698641872a7064050ca965bb4f014710000f2ffdcffecff0400140010000000,020012001000eeff260016001000f0ffd6ffe6ffe6ffd6ffaefffefff2fff2ff
