Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e536e336d436d536ad36aa3649374b3715371737e634e534b936b636e4360937,ed36eb3615371637ed361237b036b036e736eb36a636a436e136df369f369e36,b08eccfbfa96bc2418b3904658d318651800faff000000000600f4ff02000200,f8ff0a000400f2ffecff0e0014001400d6ff040004000400360026001c00ecff
1,1,0,e336e336d636d536aa36ab364b37493716371437e734e434b736b736e436e536,10371037173716371237ef36af36d436ea36e936a336a436e036e4369d369d36,6c68aee2e05430bcfe3094a2780aa88dfafffaff20000000f4ff060002002200,0a000a0004000400fcffecff1400f4ffe6ffe6ff04000400c8ff2600ecffecff
2,2,0,e236e336d536d536ac36ab364a374a3714371537e934e634b636b836e336e436,10370e3716371637ee36ed36af36b036e836e936a736a636e036df36a0369c36,32a94e3cc0c6325d48efdc6b881858751800ccff000010000600f4ff0200f2ff,d8ffc8ff2600f2fffcfffcff04001400f6fff6ffe6fff6ff1600e8fffcffecff
3,3,0,e436e436d336d436ad36ac364b374a3716371337e634ea34ba36ba36e536e236,1037ec361637183712371237b036b136e936e836a536a536e136e2369d369d36,083dbca9ca18fa9186ef948ee8c68891eaffeafff2ff000016001600e2fff2ff,0a00f8ff0400f2fffcffecff140024000400c8ff24000400d8ff2600ecffecff
4,4,0,e336e236d436d536aa36ac3649374c3714371437e534e234ba36b836e436e736,1037eb36173717371137ed36af36b036eb36e736a436a236e236df369e36a036,c6e10068480aa4757430cc6b6854285d080008000000f2fff4ff1600e2ffe2ff,0a00f8ff04000400fcfffcffe4ff040014001400c8ff2400060026000c00ecff
5,5,0,e336e236d436d336af36ac364c37493716371637e534e434b936b936e236e536,0f370f371637163712371437d336d536e936e636a836a636e336e1369f369d36,68fcfe8ed2d3aa8d66b366a2f896d8bb1800080000000000d4ff2600f2fff2ff,d8fff8ff040004001e0030000400f4ff040004001400d6ff160006000c00ecff
6,6,0,e436e336d436d336ab36ac364d374d3715371637e634e634b736b7360a370a37,0f370f3716371537ee361337d436b136e936e936a136a636e236e236a1369f36,c424de6f504a12659661ec46d873e824eaffeaffe2fff2ff06000600f2fff2ff,f8ffe8ff0400f2fffcff0e002400f4ffd6ff04000400b8ffe8ff06000c001c00
7,7,0,e136e136d236d336ab36ab364b374b3713371437e634e734b736ba36e636e636,eb361137173714371337ed36d336d336e736e736a436a236e136e0369e369c36,2abd7c9a1c9eceb0d291d0d5388b78fdccff1800e2ff10000600260002003200,e8fff8ff040014000e000e0014001400e6ff0400040004003600f8ffecffccff
8,8,0,e636e536d336d436aa36ac364b374c3715371437e534e334b736b9360a37e436,0f37103714371637ee361237d336d336e836e936a336a736e236e2369f369c36,ee5a5e5184704c32e8708809186b18e00800eaff0000f2fff4ff06001200f2ff,0a00e8ff04000400fcfffcff1400e4ff1400f6ff1400f6ff260026001c001c00
9,9,0,e436e536d436d336ab36a83649374c3716371637e534e034b736b536e436e636,1137113718371537ee361137d336d536e836e736a536a736e236de36a0369f36,dc94b0c92a8a16ef16962018c8a72840eaffeaffe2ff0000f4ff060032002200,f8ff0a00e2fff2fffcffcafff4ff140024003400d6ffd6ffe8fff8ff0c00fcff
10,10,0,e436e336d336d536ab36ac364c374a3716371537e834e634b936b936e436e136,0f370f3716371537ef36ef36d336d336ea36e836a236a636e036e236a0369d36,a071ca160470f4ed3e59c8c8a83d08a626001800000000000600f4ff02000200,1a001a000400d0fffcff0e00f4ff2400040004000400e6ff060006000c000c00
11,11,0,e336e736d536d336aa36aa3649374b3718371a37e334e634b736b436e436e536,13370f3717371537ed36ee36af36d636e936ea36a136a036df36df36a136a136,98913a0bbc9e9e333abfea51a8e2386c1800faff0000100006000600d2ffd2ff,f8ff0a001400d0fffcff0e00e4ff1400040004001400d6fff8ff16001c000c00
12,12,0,e336e336d336d536ab36aa364a37493718371737e734e434b836b736e436e636,0f370e3716371637ee36ee36b036b036e736e836a236a436e136de369d369f36,786148d42049eeafc222a69a88fae88aeaff0800f2ff1000f4ff0600f2fff2ff,f8ff0a00f2ff0400ecffecffe4fff4ff040014001400140054001600fcff0c00
13,13,0,e336e536d436d436aa36ac364b374a3717371537e434e834b736b836e636e436,10371037183717371237ef36ae36d536ea36e936a536a436e036e0369c369c36,64b4e64842d542663efe866fd8272873daffeafff2ff100026002600f2ffd2ff,1a00e8fff2ff04000e000e00d4fff4ff2400f6ff32001400f8ff0600dcff0c00
14,14,0,e336e436d336d336ab36ac364c374c3714371537e234e234ba36b836e236e436,1037ec36173718371337ef36d436af36ea36eb36a536a536df36e1369f369c36,aa2f8aa0d8086a8d72e0e68f98b93898ccffccff0000000016000600f2ffd2ff,0a00f8ff040014000e000e00f4fff4ff1400e6fff6ff2400f8ffe8ffecff0c00
15,15,0,e536e436d636d336ab36ad364c374a3715371737e634e734b636b836e636e536,0f37103717371737ef36ee36b036af36e736ea36a636a536e036e1369d36a036,06f1446d2a1a7475da3d9266e85ea8520800eaff0000000016000600f2fff2ff,0a00f8ff14004800fcff0e00040014000400e6ff04002400f8ff1600fcfffcff
16,16,0,e336e236d336d636ac36aa364a374b3716371537ea34e534b936b936e436e236,0f370f371837193711371237b036af36e736e836a436aa36e236e0369c369e36,74ed068ed0c56a9202a95aabb89058c9eaffeafff2fff2ff16001600f2ffe2ff,f8ff0a00140014001e000e00d4fff4ffe6ffc8ff1400320016000600ecff0c00
17,17,0,e636e236d336d436aa36aa364b374a3717371537e734e734b736b836e736e636,10370f371537143711371137d536b036e936e836a536a736e036e1369f369b36,0c33fe6b1256525c2268ba3ab8758815fafffafff2fff2fff4ff1600f2ff0200,0a00f8ff0400f2fffcff30001400e4ffe6ffe6ff1400f6ff360026000c000c00
18,18,0,e436e536d436d136a936aa364a374d3717371737e634e034b736b936e436e536,0f37ea361737183711371137af36d536e836e736a636a236e236e1369e36a136,5cb16aa23a9650bda88f5ae4688e580dccfffaff000010000600060012000200,e8fff8ff14000400fcff1e0004000400e6ff04004200140006003600fcff0c00
19,19,0,e536e236d336d536ae36ac364c374b3717371937e534e634b836b836e536e436,1037ec361737173711371237d536b136e836e836a436a836e036e436a2369f36,3863de45e4738c23ce6e36faa863f8d018001800d2ffe2ff0600060012001200,0a00f8ffe2ffe2ff1e000e00f4ff24000400140014002400f8fff8fffcff0c00
20,20,0,e436e436d636d436a936ac364b374c3719371737e834e534b636b936e736e536,0f370f3714371537ee36ee36b036d536e936e736a536a536e136e1369f369f36,7290bad79a8bf6fe929c9a2618b3e84cfaffeafff2fff2ff16000600f2ff2200,f8fff8ffe2fff2ff0e000e002400f4ff1400f6ff3200140054000600fcfffcff
21,21,0,e036e236d236d636ad36ab3647374c3716371637e334e334bb36b836e436e636,0f370f3716371737ee36ee36af36af36e836e936a536a636e136e036a0369f36,72716a07446a54dee84edebba82f589c26000800d2ff0000f4fff4fff2fff2ff,0a000a00f2ff0400ecff0e002400f4ff0400e6ff14001400e8fff8ff1c00ecff
22,22,0,e736e336d236d336a936ae364e374a3717371737e334e434b636b6360b37e636,1037103714371537ed36f036b036b036e936e836a336a436de36e0369d36a036,50967a1aaca81e41d8cb965b28f2a871ccff180000001000e4ffe4ff02000200,2a001a000400f2ffecffecffe4ff2400e6ff040052005200e8ffe8ffecfffcff
