Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e636e336d136d236ab36ac3647374c3717371837e434e334b536b536e636e536,0f37103715371537ef36ed36d336d536e836ea36a336a436de36e1369f369f36,7459c05c606b9a38187bf814a86e86e90800180004001400eeff1000f6ff0600,10000000f8ffe8fffcfffcffeaff0a004000f4ff3200f8ffd8ff14000e00eeff
1,1,0,e536e336d336d336ae36ab364b37493716371637e534e734b636b536e536e436,0e370f3715371637ee36ee36b036d336eb36e936a036a436de36df369c369c36,188c52b86c8d3ae79e89860faea160372800180004000400eeffccffe6fff6ff,100000000a00f8ffecfffcff1a00faff020022000600e8ff1400f6ffeeffceff
2,2,0,e236e336d536d536ab36ae362237493716371537e834e634b236b536e236e536,0e37103716371537ed361137b036ae36e936eb36a036a036e136e0369c369f36,0078ea1fca6fdcf6406720cd8645acac1800acffe6ff04000000eefff6ff0600,100010000a000a000e002e000a00faff02000200e8ff36000400d8ffeefffeff
3,3,0,e436e136d436d436ae36ae364a37493717371537e334e734b636b236e236e336,1037eb36153716371337ef36b036af36e836ea36a236a136e036e2369e369c36,54827efea49c6c2a8eb0d45132d946681800daff040004001000100016000600,000010000a00f8fffcfffcffeaff1a00d4fff4fff8ff0600e6ffe6ffeeffeeff
4,4,0,e336e336d536d236ab36ae3649374a3714371737e034e534b536b736e536e436,eb360f3716371637ef36ee36b136b036ea36e836a436a136df36e2369e369b36,326cf8d6cc4d1ab80230ac965a048c8cfaffeaffe6fff6ff1000eeff06001600,000010000a000a000e00fcff1a000a00120012000600d8ff0400c8fffeffeeff
5,5,0,e436e336d236d436ac36ae364b374b3717371737e434e534b236b636e636e336,1237eb3614371537ee36ef36af36d436e636e7369f36a336df36e0369d369c36,78a21c443acefe5e46f35e773c1ec874faff08001400040010001000f6ff0600,100010003c00f8ffecffecff0a001a00e4ffe4ff0600f8ff22001400eefffeff
6,6,0,e136e336d236d336ae36ad364737493716371537e534e534b636b736e536e636,1037103717371537ef36ee36af36b036e936e636a236a436df36de369b369f36,4c3a249b0c11149212e8ea849ec13494eaff080004001400eeff2000f6ff2600,eeffeeff0a00d6ff0e000e001a002a00f4fff4ffbaffd8ff04000400feffeeff
7,7,0,e436e436d236d436aa36aa3649374a3714371537e634e434b436b6360b37e536,0f37eb3613371537ee361337d536b136e736e736a136a236e036de369f369b36,3ee21671ec100873643a4274f2583259faffdafff6fff6ff0000eeffe6ff1600,0000eeff0a00d6fffcffecffdaff2a0002001200e8fff8fff6ff1400ceff0e00
8,8,0,e536e536d336d336ab36ab3649374a3717371637e834e334b536b536e5360a37,1137103715371537ee36ee36af36d336e836e936a4369e36e036e0369c369c36,1af316814ace149228a81e9d74941ec1eaff08002400f6ff0000eefff6ffe6ff,200000004e000a000e00ecffeafffafff4ff120016000600f6ff9affcefffeff
9,9,0,e336e636d436d336aa36ab3649374b3715371a37e834e634b336b336e236e536,0e37103716371437ef36ed36d436b036ea36e936a236a236dd36e0369f369e36,da2ac475ec4d2c5f2e6dda48a874ec1e0800faff040004002000200006000600,10001000f8ffe8ff0e00fcff2a00fafff4ff0200f8fff8fff6ffe6fffeffeeff
10,10,0,e336e336d436d536ad36ac364737473715371637e834e634b836b536e336e136,eb36eb36163715371337f036ae36af36e736e936a436a136de36dd369c369f36,1caf8691d49cecb7fa86a0d76c8c5e03dafffaffe6fff6ff10002000f6fff6ff,eeff0000f8ffe8ff0e000e000a003a00f4ff0200e8ffbafff6ff04001e00eeff
11,11,0,e136e336d536d436ab36ad364a374a3716371637e534e434b636b636e336e236,1037113717371637ee36ee36b036af36e836e836a236a136de36e0369f369b36,c0638a51cc6fcc2a707a5004666822da0800faffe6fff6ffeeff000006000600,000010000a00f8ff0e00fcff1a004a000200e4ff0600060004002200eeffdeff
12,12,0,e336e236d436d536ad36ab3649374a3714371537e634e834b636b736e536e436,0f37eb361537163712371237af36af36e836e836a436a236df36e0369f369e36,168602c75e8da0f6f08e00201cace644bcffeaff040004001000eeff06001600,00003200f8ffe8ff0e00fcfffafffafff4ff1200d8ff1600e6ff2200fefffeff
13,13,0,e336e336d436d436a936ab364a374d3717371937e434e534b636b736e636e536,0f37103716371437ec361237d536b036e736e636a136a336df36e236a036a036,0c79ce0f926b9ae7985d9cbe2a380ea20800faffe6ffe6ffeeffeeff1600f6ff,eeffeeffd6fff8ff0e000e001a001a000200f4ff0600160022001400feffeeff
14,14,0,e236e136d536d536ab36ad364b37493716371537e834e634b836b836e536e136,1037ec36163714371337ef36b036d336e736e836a136a136de36de369e369a36,e485180f6aa58c3848be645d86e8586eeaff18000400040010001000e6ff1600,0000eeff0a00e8fffcffecfffaffeaff0200e4ff16003600d8ffd8ff0e00deff
15,15,0,e336e436d536d136aa36aa364a374a3717371537e534e534b736b636e536e436,0f370f3714371737ed36ed36af36b036e836e736a336a336df36de369d369c36,d26358c7084276ac6620828f86f4928a280008001400f6ff1000eeff0600f6ff,000020004e00e8ff0e00fcfffaff1a001200f4ff060016000400d8fffeffceff
16,16,0,e136e236d436d436ad36ae3648374a3717371537e834e634b836b736e636e136,eb361037163717371337ee36b036af36e636e936a636a136e136e2369c369d36,faae225186dcf8660c04707a782d1472dafffaffe6ff14000000000016000600,00000000e8ffe8ffecff0e00eaff0a00d4ff1200f8ffe8ff04000400ceffceff
17,17,0,e436e636d636d436ab36ab364837493718371737e434e834b636b736e436e436,0e37103715371437ee361137b136af36e836e836a236a136e036e236a336a436,3c2b9891d6017c8ee4d7bc86c4b4a29b0800fafff6ff0400eeff10001600f6ff,eeff0000e8ff0a00ecffecff1a00fafff4fff4ff1600e8fff6ff2200eeffdeff
18,18,0,e336e236d536d436ab36ad364937493715371637e434e634b736b536e136e136,eb36ea361437163711371237ae36af36e736e936a136a436e036df369c369e36,b4f2c4750420d47196482e6d6e625e4efafffaffe6fff6ff200010000600f6ff,eeff0000e8fff8ff0e00ecfffaff0a000200f4fff8ff26000400e6fffeffdeff
19,19,0,e336e336d336d336ab36ad364a374a3716371637e634e534b336b636e636e736,eb360f37153716371437ee36b036b136e936e736a0369e36e036e1369e369e36,72e2e480dcc09897409de6a70e8f08cfeaff08000400f6ff0000deff06000600,000000003c00f8ffecfffcff1a002a00e4ff0200e8ff0600e6ff1400eeffeeff
20,20,0,e336e336d436d536ae36ac364a374a3718371537e834e934b636b636e436e236,10370f3716371737ef36ee36ae36d536e936e936a036a436de36e1369b369f36,e63926718c58fe551074a83a7875680fdaffdafff6fff6ffeeff000006000600,eeff0000e8fff8fffcff0e00fafffafff4ff020036001600baffd8ffeeffdeff
21,21,0,e236e336d236d436ac36ad3647374a3717371737e434e934b536b636e236e536,0f37113716371537ef36ef36af36b036e836e736a436a136df36df369d369e36,aaa2b09a16969ec4ea847ae778907413faffdaff14000400eeffdeffe6ff1600,000000003c000a00ecffecff1a00faff020012006000c8ff1400e6ffeeffceff
22,22,0,e436e436d436d436ac36ae364837483716371537ea34e634b336b536e336e536,ec36eb3614371537ee36ef36af36b036e936e736a336a236e236e1369c369d36,206c86446272de1b6e77fcf31e6056cb0800dafff6fff6ff200000000600e6ff,00000000f8fff8ff0e00ecfffaff1a00f4ff020006007000d8ff3200deffdeff
23,23,0,e536e336d436d536a936ad364937493716371637e634e634b536b436e636e436,10371037163715371237ef36af36b136e936e8369f36a136df36e036a0369e36,5682b4d6668f12067a969e2fb8b708510800eafff6fff6ffeeff1000f6ff2600,000000000a00f8ff0e000e00fafffafff4ff1200d8ff60000400f6ffdeffeeff
24,24,0,e336e436d536d436aa36ad364837493717371737e834e634b536b536e136e436,10370f37143716371237ed36d436d336eb36ed36a136a236df36df36a0369c36,2078d4fedc6486d8b25122b19e297299eaffacfff6ffc6ff000020001600f6ff,00000000e8ff0a00fcff1e000a001a00f4fff4ff2600e8fff6ff1400eeff0e00
25,25,0,e336e336d536d536ad36ad364b374a3714371737e334e834b736b836e536e536,eb360f371737163712371237b036ae36e936e936a336a536e036e0369d369f36,f88ba81fd0af4c459acc9a6772f8f4720800faff1400f6ff0000eeff16001600,eeff10000a00e8fffcfffcff1a001a00f4ffe4ff1600360032000400eeffdeff
26,26,0,e436e336d336d236ac36ad3649374a3717371637e434e234b836b636e436e636,1037103716371537ee361237d336d436e836e836a536a136e036dd36a0369d36,9859aab8a034baa2ea0f8e89fee4028b0800fafff6ff040000001000e6ff2600,00001000f8ffe8ff0e000e00fafffafff4fff4ffd8ff06000400c8ffbeffceff
27,27,0,e436e536d236d536ac36ab3649374a3717371837e434e534b336b536e336e436,0e370e3715371537ef36ed36d336d336e936e7369d36a236df36e2369d369d36,6cbce45cdaebda6c9214187b8a3bea6cfaffeaffd6ff720000000000e6ff0600,eeffeefff8ffe8fffcffecff1a00fafff4fff4ff0600e8ff22000400deff0e00
28,28,0,e236e336d536d536ae36aa3649374a3718371837e834e834b636b636e136e436,1037103717371537ec36ee36af36d536eb36e836a2369e36e036de369e369d36,1a1bdc8952f2208dacc8cc8a36a98aa428000800140024000000200026001600,eeffeeffe8ff0a000e000e003a00fafff4ff1200e8fff8ff04001400cefffeff
29,29,0,e236df36d336d636ad36ae364837223715371537e834ec34b936b836e336e236,eb36e9361637183712371237b036af36e936e7369f36a336e236df369c369e36,9403a678d02eb66e6455b264f6695641daffeaffd6ff14000000eeff06001600,320000003c00e8fffcffecfffaff1a000200e4ff1600e8ffe6ffe6fffeffdeff
30,30,0,e236e236d036d236ad36ad364b374b3715371437e634e534b736b636e436e436,0f370f3715371337ec361437b036b036e936e736a0369e36e036e036a036a036,3ad200837ab4f29e50945cb4b28b14defaff0800f6fff6ffdeffeeff1600f6ff,000010000a00c6ffecffecff1a00faff12000200f8ff0600f6ff3200feff0e00
