Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e636e536dc36da36d136d13610370e37cb36cb36f036ef36db36da3652355235,9c369d36e136053710370e3719371c37143715371e371e37e236e3360a370b37,e136e436d536d736e636e736d536ae361237103720371f37e336e4361f371e37,00001000eeffeeffc4fff4ff08001800905c9eca023f74aac219149558f1048d
1,1,0,e336e336db36d936d436d5360f370e37cb36cd3614371437d936da3654354f35,9d369c360637073710370d371b371a37143714371d371e37e236e4360b370a37,e336e136d736d736e736e736af36d2361037123720371f37e536e4361e372037,0000200010002000e4ffe4ff0800e8ff66bb2251cadf2e68280862725a2f206e
2,2,0,e636e836db36db36d336d4360e371037cc36cb3613371337d836da3651355435,9d369d36063707370f37113718371c37133714371e371e37e436e33608370a37,e236e236d636d636e336e636d336b0360f3712371f372037e036e2361e372037,0000eeff00001000020002000800f8ff8a26c49a56fe528e9ad63290e6b3b09f
3,3,0,e636e536d936d936d236d33611370d37cc36cd3615371637d836dc3654355335,9d369c36063708371137103719371837123713371f371e37e536e33608370b37,e036e236d736d736e736e636d236ae360f3712371f372037e236e5361f371e37,eeff32001000deffe4ffe4ff0800080008fbac703c230871da46b263f261b649
4,4,0,e436e236db36dc36d136d4360f370f37cc36ca36ed36ef36db36db3654355235,9d369d36e4360637113710371a371b37143715371c371d37e336e4360a370837,e136e236d736d836e736e736af36d1360f3713371f371d37e336e2361b371d37,eeff200000000000f4ffe4ff0800e8ff26e3de8d40be4899a4a164b192904ed3
5,5,0,e636e736dc36d836d136d43610371037cc36cc361637f036d936da3651355535,9d369e360737e3360f37103719371c37143716371f371e37e336e2360b370b37,e236e136d936d736e436e136d236af360f3711371f371f37e136e1361f371f37,0000eeffeeff100002000200180018005e3c5e69385a3453626da032a272940b
6,6,0,e436e436db36dc36d336d1360e370d37cd36a63617371537da36da3651355235,9c369f36063706370f37103719371a37133713371f371e37e436e1360a37e436,df36e036d836d936e636e636d136ae36103710371f371f37e336e0361e371b37,1000100000000000f4ff220018001800d8a9a8a8ba9478c7308de6ed06945616
7,7,0,e836e336d736d936d436d43611370d37cb36cb361537f036d936da3655354f35,9c369c36e436e336113712371c371c37123710371c371d37e336e4360c370a37,e236e236d636d636e536e736d436af360f37103720371f37e336e53621372037,0000eeff0000eeff2200e4fff8ff18009e68043e6e727a18026e38f0a45b7ec9
8,8,0,e936e636db36db36d236d43611370f37ce36ce3616371337db36db3652355335,a0369f360837e3360e37103719371c371437153720371c37e036e4360b370b37,e136df36d936d836e236e636d236d23610370f371f371e37e236e53621372037,0000eeff10001000220002000800e8ff2e8ecae032900e0954a09c308cbcd451
9,9,0,e236e636dc36de36d536d2360a370c37a736cd3614371637da36db3651355335,9b369e360837063710371037193716371037133720371e37e636e1360a370a37,df36e136d836d936e736e836ae36ae360e37103720371e37e236df361b371f37,eeff0000eeff0000e4ff02001800e8fffc7032fd206386d58a48e8b27625269a
10,10,0,e836e436d736db36d236d23610371037cb36cb3615371337da36db3655355335,9e369a36e436e236113711371a371a37153713371c371c37e436e4360d370c37,e136de36d636d836e936e936d336ae360f3710371d372237e436e3361f371e37,1000eeffeeffdeff1200f4ff1800180098995a2410b2bc4798d4ca6234fc8e70
11,11,0,e736e736db36d836d336d33610370e37cd36cd3615371437d736d63651355435,9d369e36083706370f3710371a371c37143717371f371c37e236e3360a370e37,e136e136da36d736e236e536d236d2361237113720371e37e336e3361c371f37,200010001000eeffe4ff1200f8ff1800d05220bda2319ca05a0aa29012e2148e
12,12,0,e636e636d936dd36d636d4360f370e37cb36cb3616371737dc36da3652355035,9a369d36e236083713370f3718371937133713371f371f37e536e23608370837,e136e036d736da36e736e536d336ab361137103721372137e236e2361b371f37,deffeeff200000001200f4ffe8fff8ffaec8665bdaee0a6e741752724a3d1669
13,13,0,e536e536d936da36d336d6360f371137cc36cb3615371337db36dc3654355335,9d369c36e436e2360e3711371e371d37143712371e371c37e336e6360c370d37,e436e336d536d736e836e736d336ae3610370e371d372337e236e1361f371e37,100000000000eeff02001200f8fff8ff76174e94daee808da4c88c940ea91ea9
