Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,ea36e936db36df36d236d2360e370e37cd36cc36ee36ef36db36de3657355a36,1c00faffcaff1600f4ffd4ff080008000c00faff30002000f6fff6fffeffdeff,f8ffe8ff12001200dcffccfffcff1c00fcffdcffc4ffd4ffe4ff1600daff0a00,e6ff2800faffb8ffc4ff26001e00aeffb0d810e1d25ee4d8408e3a5e5c594c8e
1,1,0,e836eb36db36dc36d536d1360f370d37cd36cd361337ef36db36db365b355a36,faff1c00d8ff1600f4ff0600d8ff08001c000c0000002000f6ff0800eeffeeff,2600160002000200dcfffcfffcff0c00dcff0e002600e4fff4ff0600eafffaff,d6ff1800eaffeafff4fff4fffeff2e00188ea45e8259648e1ee13a597cd81ce1
2,2,0,e836e836dc36df36d136d3360f370d37cd36cc36ef361337da36db3656355535,daff2e00e8ff1600e4ffe4fff8ff0800faff0c0020000000f6ff08000e00eeff,e8ffe8ff220012001a00fcfffcffbcff0e00bcfff4ffe4ff2800e4ff0a00eaff,08000800eaff1c000600d4ff1e001e00d0e0845914d9c4e08a5e4ed95c8e8c5e
3,3,0,e936e936dd36dd36d236d2360d370e37cd36cc36ee36ed36da36da3656355835,eaff0c001600d8fff4ff1600080018001c00eaff1000eeff1800f6ffdeffeeff,2600f8ff02000200ecffdcff0c00fcfffcffdcffc4ff06000600c2ff1a00faff,0800f6ffc8ff2e00f4ffd4ff0e000e00545e20d9548e325eaa59408e6ce0bc59
4,4,0,e936e936dc36dc36d436d2360c371037cb36cd36ef36ee36d936da3658355735,eaffeaffe8ffd8ff160006003800e8ff1c00daffdeff10001800f6fffefffeff,16003400f0ff12000a00ecff0c000c009affdcfff4ffd4ff16001600faff0a00,f6fff6ff0c00faffd4ff16003e00beff245a188e14e0625aaed97edf0c5eccd9
5,5,0,e936e936db36dc36d336d2360d370e37cc36cc36ef36ef36db36d8365c365635,0c000c00d8ff260026001600d8ff0800daffdaff1000100008000800defffeff,16001600f0ff1200dcff1a00fcffecffbcffbcffe4ffe4ffc2ffa0ffaaffeaff,e6ff18001c00c8fff4fff4fffeff0e00c0d990dfc25d64da208e0a5e5c5a3c8e
6,6,0,e836e736db36dd36d236d0360e370d37cc36cd36f036ee36db36da3656355435,2e001c00e8ffd8ff1600e4ff0800f8fffaff0c002000000018000800eefffeff,060026000200e0ffecfffcffecffbcffbcffdcffe4ffc4ffe4ffd2ff0a00faff,f6ff18001c00daff36001600aeff1e00388ed45d725a548e4edfba5a5cda7cdf
7,7,0,eb36ea36de36db36d136d4360f370d37cb36cd36ee36ee36da36dc365a365735,dafffaffe8ffcaff06002600080018001c000c0020000000e6fff6ffeefffeff,0600e8fff0ffe0ff1a00ecfffcfffcffccffccff0600f4ffe4ff0600daffeaff,18000800faff0c002600d4ffbeff1e00f0def45a74db44df4a5d6eda3c8e6c5d
8,8,0,e836e936dc36dd36d436d1360f370f37cd36cb36ef36ef36db36dd3659355835,0c000c001600baff0600f4ffe8ffe8ff0c001c000000deffe6ff0800aefffeff,e8ff1600f0ff2200dcfffcffecffecffdcffdcfff4ffd4ffc2ffe4fffafffaff,1800d6ffb8ff1c00f4fff4ff1e00deff245dd0da548e225dda5a408eccdedc5a
9,9,0,ea36e636d936dc36d536d3360f370d37ce36cd3613371337dc36db365b355835,eaff0c00caff060016000600f8fff8ffeafffaff000020001800f6ff0e000e00,e8fff8ff1200f0fffcff0a000c00fcffbcffdcfff4ffe4ffe4fff4fffafffaff,f6ffe6ff1c00faffd4ff0600feff0e00545be88d34de325b9edb7ede0c5d7cdb
10,10,0,ea36ea36dc36dc36d336d2360b370d37cc36cc36ee36ee36da36dd3658355735,0c00faffd8ff160006001600f8ff18001c00eaffeeffeeff1800f6ffeefffeff,06002600e0ff1200ecffecfffcffbcffdcffbcffe4ffd4ffc2fff4ff2a00faff,f6ff08001c001c00160026000e00eeffa0db30de025dd4db408e8a5c1c5b3c8e
11,11,0,e936e936dd36dc36d336d4360e370c37cc36cc36ed36ee36da36dc365c365435,faff2e00caff1600e4ffe4ff0800e8ffdafffaff100010000800f6ff0e00feff,1600e8ff1200f0ffdcffecfffcffecffdcffbcffe4ff0600e4fff4ffeaffeaff,d6fff6ff1c00c8ff26000600feff5e00088eb45c825b348e7edd3a5b1cdcecdd
12,12,0,e836e836db36db36d136d4360c370e37cc36cc36ef36ec36dc36da3659355635,dafffaffd8ffe8ff160016000800e8ff1c002c0010003000180008000e000e00,1600160002001200fcffecff0c00fcfffcffacfff4ffd4ffd2ffd2ffdaffeaff,28000800eaff1c001600d4ffeefffeff00dd645b54dc64dd6a5c0edd2c8e6c5c
13,13,0,ea36eb36dd36dd36d236d2360c370c37cb36cb36ee36ec36db36da3659355735,0c00faff1600d8ffe4ff3600d8ff1800eaff1c0020002000f6ff08000e00beff,1600060002000200ecffecfffcffecffecffccffe4ff06001600e4ff0a00faff,18000800eaff2e00160006002e00fefff45bc0dc548e525c0a5c508efcdc1c5c
14,14,0,e836ea36dd36dd36cf36d3360c370e37cd36cb36ed36ea36dc36db3658355936,faff1c00e8ffd8ff1600f4fff8ffc8ff1c00faffeeff00000800e6ffdeff0e00,06001600f0ff02000a000a00ecff0c00dcff1e00d4ff1600f4fff4ff0a00daff,0800f6ff0c00faffd4ff06003e00aeff145c388ec4dc325c0eddfedbec5bfcdc
