Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e936ea36dc36db36d036d03610370c37ce36a836ed361537db36de365f365c36,02000200220002000800f6fff0ff0000080018000e00ecff060016000a001a00,c2ffe0ffecff0c0018000800eaffeaffdeffbeffdeffdefff0fff0ff3600f6ff,d4ff18000e00ecff02001200befffeff40981e38ee6f209892b2ea6f5c0decb2
1,1,0,e736e936dc36dd36d136d2360f370e37cc36cc36ed361537dd36da3659365c36,0200f0ff02000200e6ff18001000e0ffe6fff6fffcfffcff160016000a00eaff,e0fff0ffecffdcfff6ffe6ff0a00faffeeffdeffeeffceffe0ff02000600f6ff,e6ff0800fcffdcff0200d0fffeff3e001eb208703e0ea0b26c37de0ddc97ac37
2,2,0,e936e936db36db36cf36d13610370f37cc36cd3612371337da36dc365f365d36,22001200120002000800180000000000f6ff08001e000e001600f4ff0a000a00,f0ffb2ffdcfffcff0800e6ff1a00faffdeffbeffeeff0000e0ffc0ff0600f6ff,0800d4ffccff1e004200d0ffbeff0e00fe36340ea098de360a705498ecb11c70
3,3,0,e836e936dd36de36d236cf360d370e37cc36ca36ed361237dd36db3659365d36,1200f0ff02000200080008003000f0ff1800d6ffecff0e00160028001a00eaff,2e00f0fffcff0c00f6fff6ffeafffaffdeffceffceffeefff0ffd0ffb6ff1600,2a00e6ff0e000e00d0ffe0fffefffeff2870909880b1fe6f5e0ea2b16c363c0e
4,4,0,eb36e836dd36da36d036cf360f370f37cd36cd361637ef36dc36dc3659355a35,020012000200f0fff6ffd4ffd0ff2000180018001e00fcff060016000a001a00,f0ffc2ffecfffcfff6ffe6ff0a00baffeeffceffceffeeff12000200e6ff1600,c4fff6ff0e00ccfff0ff1200feffaefff40eceb14e36de0ee498ec364c70bc98
5,5,0,e836e836df36dd36d036cf360c370c37a736cd36ef36ef36dc36dc365e365935,f0ff02000200220008004c002000e0ff08001800ecff0e00f4ff3800faff0a00,f0fff0ffecff0c00080008001a00faff00000000beffdefff0fff0fff6ffe6ff,e6ff3a00ecffdcffe0ff0200feff1e00f09830364e70f098a2b14a703c0f7cb1
6,6,0,ea36ea36dd36da36cd36d1360e370d37cd36cc3612371337da36dd365d365e36,020002000200f0fff6ffe6ff1000100008002800ecfffcfff4ff06000a000a00,0e000e00fcff0c0028001800baffeaffeeffaeff9effdeff0200e0fff6ffc6ff,e6ffe6ffccffecff2200d0ffeeff1e00beb02870ee0ff0b0ec359e0e1c994c36
7,7,0,e936e736dc36dc36cf36cd360d370d37cb36cc3614371437dd36dc3659365a36,f0ff1200f0ff02000800f6ff0000e0ffe6fff6fffcff1e001600e4fffaffeaff,e0ff00000c000c000800d6fffaff0a00deffdeffdeff1000f0fff0ffe6fff6ff,1800e6ffdcff1e00020002000e00feff7035b40f50995e355a705499ccb07c70
8,8,0,ea36eb36dd36db36d136d1360e371037cd36cb361737eb36dd36dc3659365d36,02001200120012000800f6ff0000100018000800fcfffcff0600e4fffaff0a00,0000f0fffcff1c00180018000a000a00deffbeffdeffdeffe0ffe0ff0600a6ff,0800d4ffdcff2e00d0ff02000e00aeff7870409940b08e704e10c2b0ec341c10
9,9,0,e836e836dd36de36d036d2360e370c37cd36cb3613371637dc36de365d365b36,2200f0fff0fff0ff08000800f0fff0ff2800e6fffcfffcff160028001a00baff,1e000e00ecffecff0800f6ff0a000a00deffbeffdeffcefff0fff0ffb6ffb6ff,d4fff6ff2e00dcffc0ff3200feffeeff0411aeb0be342e1074996c349c707c99
10,10,0,e836e936dc36d936ce36ce360d370c37a636cd3614371537dc36d9365d365e36,e0ff1200120012000800e6ff200010000800f6ff1e000e0006000600eafffaff,0000c2ffdcfffcff080008001a000a00deff0000deffdeff1200f0ff0600b6ff,d4ff18001e00ecfff0ff0200aefffeff6099b0347e70009a42b09a706c117cb0
11,11,0,ea36e836dc36dd36d136d1360e370d37cc36cd36ef36ee36dd36dc365c365935,0200f0ff020002000800e6ff1000f0fff6fff6ff0e00ccfff4ff06000a001a00,00003c001c00fcff080008001a000a009eff00000000deff0200d0ffc6fff6ff,e6ff1800ecfffcff2200e0ffaeff1e008eafa870fe10d0af1c346e11ec997c34
12,12,0,ec36e836de36dc36d036d1360f370e37cd36ce361537ef36dc36db365c365c36,f0ff020012001200f6ffe6fff0fff0ff080018001e001e00f4ff16000a001a00,b2fff0ffccff0c00180008001a00eaffeeffceffdeffdeffe0ff0200f6ff0600,1800c4ffccff1e0012000200deffceffe0332411309a1e34aa70c299dcaf9c70
13,13,0,e836e736dc36dc36cf36d03610370e37cc36cc361337ef36dc36de3658355d36,1200e0fff0ff1200e6ff18000000000028000800dcfffcff160006002a002a00,0e00f0fffcfffcff08000800faff1a00deffeeffceffeefff0ffe0fff6ff0600,0800e6fffcff0e00f0ff12000e000e00a870409a30afbe70ee11a2ae9c33dc11
14,14,0,e936ea36dc36db36ce36cd360f370e37cd36cd3613371237dc36dd365c365c36,02000200020012001800e6fff0fff0ffe6ffe6fffcfffcfff4fff4ff0a001a00,0000f0fffcfffcff08001800faffeaffceffdeffceffdeffe0ff12001600f6ff,f6ff08001e001e00c0ff22001e00feff8212eeaefe325e12629a5c33ec706c9a
15,15,0,e936e636da36dd36d036cf360e370e37cb36ca3613371537dd36dd365a365d36,02000200f0fff0fff6fff6fff0fff0ff1800f6fffcfffcff160028000a001a00,e0ff0e000c00ecffe6ff2800fafffaffdeffbeff0000eeffd0fff0ffe6ff1600,e6ff2a00ecffecff12002200befffeff809a7033de70509ae2aeea702c132caf
16,16,0,e836ea36dc36dc36cf36ce360c370f37cc36cc3615371237dc36da365c365c36,f0ff120012000200e6fff6ff00000000f6ff18000e000e000600f4ff0a000a00,1e00f0ffdcffecfff6ff08001a00eaffeeffceffdeffdefff0ff1200f6ff1600,e6ff0800fcfffcff22000200eeff3e002eaee8709e1390ae6e328e12dc9a5c32
17,17,0,e636e836db36dc36d136cd360c370c37cc36cc36ee361437dc36dc365c365935,22001200f0fff0ff180008000000000018000800fcfffcfff4ff06001a001a00,f0ffd0fffcfffcffd6ffe6ff0a000a00beffbeff0000eeffe0ff0200a6ff0600,08000800fcff1e001200f0ffbeff2e009032f212009b1e32da70029b3cae1c71
18,18,0,e836e936dc36db36cd36cf360e370e37ce36cc3616371437dd36dd365c365d36,12000200020012001800f6ffe0ff0000f6ff0800ecfffcfff4ff0600eafffaff,1e00f0ffecfffcfff6ff18001a00eaffdeff9eff9effeeffe0fff0ff0600c6ff,2a00d4ff0e000e00120032002e00befff870e09af0adfe709e1382aedc315c13
19,19,0,e936e536dc36de36d036d0360e370d37cc36cc36f036f036df36dd365c365c36,220022000200f0ff0800080020000000280008001e00ecff160016001a001a00,f0ffd0ff0c00fcff0800e6fffaff1a00deffbeffceffeeffe0ffc0ffc6fff6ff,d4ffe6ff2e001e00e0ff32000e000e0032142eae8e310e14129b3e31fc70ec9a
20,20,0,e936ea36db36db36cf36cf360c370d37cd36cc361537ee36de36dd3659365f36,e0ff220022000200f6fff6ff00000000180008000e001e000600f4ff0a000a00,0e00f0ffecffecfff6ff08001a00faff0000eeffeeffbeffc0ffc0ffc6ff1600,f6ff2a000e00ccfff0ff2200feffaeff209b40310e71909b92ad2a713c14ccad
21,21,0,ea36e736da36dd36d136d0360d370d37cb36cb361437ef36dc36da365a365835,420022000200f0ff080018000000f0ff180018000e000e00280028002a001a00,e0ffd0ff1c000c000800f6fffaff0a00beffdeffeeffdeffd0fff0ffa6ffb6ff,f6ff1800fcff0e003200e0ff9eff0e00eeac28712e1590ad0e31de148c9b3c31
22,22,0,e836e836dc36db36cf36d0360e371037cd36cf361437ee36dd36dc3659355c36,f0ff2200e0ff0200e6ffe6fff0ff0000f6ff18001e002e0016001600eaff0a00,3c00d0fffcffecff080018001a001a00eeffbeffeeff9effc0ff02000600c6ff,2a000800ecff2e000200f0ffdeff1e0050304215109cae300a71b29b5cad4c71
23,23,0,e936e736db36dc36d136ce360e370e37cb36cc36f036ed36dc36dc365c365b36,22002200f0ff0200e6ff2a0010004000f6ffe6fffcfffcff0600f4ff0a000a00,e0ffe0ffecff0c00f6fff6fffaff1a00ceff00009effeeffe0ffe0ffb6ff1600,2a0008002e001e00f0fff0ff1e00beff3871e09bb0ac4e713e1572ac5c30bc15
24,24,0,e836eb36dc36dd36cf36cf360d370f37cd36cd36ef361337dc36dc365e365c36,f0ff1200020012000800e6ff20001000f6ff1800fcfffcff0600e4ff0a001a00,0e00c2ff0c00fcffe6ff08000a00eaffeeff100000009effe0ffc0ff16000600,d4ff08001e00ccfff0ff22002e00aefff2156eacde2f1e16029c5e304c712c9c
25,25,0,e636e936dc36db36d036d0360e370e37cc36cc3613371537de36de365b365a36,020032001200beffe6ff080030004000180008000e000e00f4ff06001a001a00,e0ff0000dcffecff08000800cafffaff20000000deffdeffc0ffc0ffc6ff96ff,e6ff18000e00fcfff0ff2200befffeff409cb02f3e71309c72ac4a715c166cac
26,26,0,e936e936dc36dc36cf36d1360e370e37cc36ca36ef36ed36dd36dd365c365b36,02001200020002000800e6ff100000000800e6ff0e000e000600f4fffaff1a00,0e000000dcff2c000800f6ffeaff2a002000deff1000eeffe0ff0200f6fff6ff,0800f6fffcffecff2200e0ffeeff1e008eab48710e1700ac4e2f0e165c9ccc2f
27,27,0,e936e936db36dc36ce36d1360c370d37cc36cb36f036ef36de36dc365a365a36,12001200beff2200f6fff6ff20001000180008000e001e0006000600eaffeaff,e0fff0ff0c000c00080008000a00faff00000000000000000200f0ffb6ff1600,2a00e6ffecff0e001200b0ff1e000e00b02e4217a09cfe2e5a71e29c7cab7c71
28,28,0,eb36e836db36db36d136d0360e370c37cd36cd36ef361637db36de365b365c35,f0fff0ff1200f0ff1800f6ff100010000800f6ffecfffcff060006001a001a00,e0ff00000c00fcff18000800faff0a00000000001000eeffe0fff0ffa6ff1600,0800e6fffcfffcffe0ff12002e00aeffa871809cb0ab4e710e17b2abec2e1c17
29,29,0,e836e936dd36dd36cf36cf360e371137cc36cb36ee361337db36dc365a365d36,2200120012000200080008002000200008000800ecfffcff060016000a00faff,e0fff0ff2c000c000800f6ff0a000a00beff0000deff0000d0fff0ffa6fff6ff,d4ffe6ff2e00ecffd0ff22002e009effa2171eab2e2e2e17e29c3e2e7c71dc9c
