Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e436e436db36db36d136d3360e370d37cb36cb36ef361537d936db3655355435,a0369c3607370637123710371c371e37143714371e371d37e336e5360a37e536,e336e336d836d636e836e736d136d33610370e3720371c37e536e53623371e37,0a00e8ffe4ff2800040014001200e2ffe0ab60179ef4bc4b3662848f96983638
1,1,0,e736e736db36db36d136d23610371037cb36cd3613371637da36db3655355435,9f369f36083707371037123719371937133713371c371e37e336e1360c370937,e136e236d736d736e836e936d336ae361037113720371f37e536e33620372137,0a001a00d2ff06002400d6ff0200020050a3a0708c679ec724e8b4d246b4a66e
2,2,0,e536e836dc36db36d536d5360d371037cc36cc36ef36ee36d936d93653355535,9f369e3606370637103713371b371937143714371e371d37e236e2360a370b37,e436e636d736d436e736e936d236d23610370f371e371e37e536e33620371d37,0a000a00160016000400d6ffa2ff42001018902d1c4b5e91648fe6531639660b
3,3,0,e636e636da36dd36d136d23610371137ca36cd3613371437d936d93657355535,9e369d36e3360737103712371c371c37143716371e371d37e336e13609370a37,e036e336d636d736e836e836b036af360d370e371e371f37e636e33621372037,f8ff1a000600d2ffe6fff6ff02003200b070c0ab9ec6bef464d22661766eb698
4,4,0,e736e636db36d736d236d23610371037cc36a636ee361537da36dc3657355435,9e369f36073706371237103719371937123713371d371e37e236e4360a370937,e436e136d536d536e736e836b036af36123710371e371e37e336e5361f372237,1a00e8ff16001600040034002200d2ff102d50a34e91bc67d65404e8760a66b5
5,5,0,e736e436dd36db36d336d5360f371037cc36ca361537f036d936dc3656355836,a0369f36063708370f370f371a371a37143715371d371e37e236e33608370b37,e336e536d736d836e636e936ae36d2360f370f371d371f37e236e6361f371f37,1a00e8ffd2ff0600240004000200e2ffd0aa40194ef68c4a3661448fe6979639
6,6,0,e736e436db36db36d436d5360f370e37ce36ca36ef361337da36dc3656355735,9e369f3606370537113710371c371c37143714371c371d37e136e5360b370b37,e536e236d636d836e936e836ae36d23610370f3720371f37e736e6361e371f37,d8fff8ffe4ff280014000400f2ff420050a3b0703c68fec5a4e644d316b6466e
7,7,0,e636e736db36d936d136d33611371037cb36cb36ed361437da36dc3654355835,9e369f36e3360737103711371a371a371437133720371c37e436e3360a370937,e536e436d736d736e936e736ae36d136113710371d371d37e536e3361e371d37,e8ff2a00060006002400f6ffa2ff02005019b02bec49ce91448ff655263a9609
8,8,0,e636e736dd36db36d436d2360f371037cc36cc36ef36ee36dd36dc3656355635,9d369e36073707370f3710371e371a37133714371d371e37e136e2360a370937,e336e736d736d736e636e636ad36d336103710371c371f37e636e53621372137,f8ff1a001600f4ffd6fff6ff02001200e070b0aa9ec58ef6e4d3f660466eb697
9,9,0,e436e636db36d936d436d2360e370f37cc36c93615371537db36dc3655355635,9e369e360737073711370f371a371b37133711371e371d37e336e3360b370837,e536e636d636d836e736e736b036ae360f3710371d371d37e336e53620371f37,1a00f8fff4ff1600e6ff14000200f2ff202b50a3ee912c68065654e5260946b6
