Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e636e436da36d936d236d3360f371037ca36cd361437ee36d936d93651355235,9d369e36e33607370f3710371e371c371237163720371f37e436e5360a370b37,df36df36d736d836e736e736ae36af360f3710371f371e37e136e2361f371d37,d0ffb0fffe014002e4021403a6007600dee0a6d056c150701e6fd49fd4d4e406
1,1,0,e536e436da36db36d136d33610371037ca36cb36ef36ef36da36d93651354f35,9d369e3607370737113710371c371e37143715371d371c37e436e3360a370c37,e136e136d736d536e636e736b036ae36113712371f371e37e436e6361e371c37,c0ffb0ff0e0240020403b20276007600b6914a46263e56137c1a2ca724a53473
2,2,0,e436e436d936db36d236d1360f371237ca36cc361437f036d836d7364b354f35,9c369d36e13608370e3710371e371c37153715371d371e37e336e5360a370c37,dd36de36d736d736e736e736af36af360e370f371f371e37e636e53621372137,90ffd0ff300220021403f4028600760088d1584f227094a74e9ff62684070453
3,3,0,e836e636db36db36d236d2360e370e37ce36cb36ed361437da36dc364f355135,9f369e36063708370f3710371c371d37143715371f371e37e536e33609370a37,e036df36d736d836e436e536d236af36103710371e371f37e536e23621372237,c0fff0ff3002fe01f4021403c600c600d246cedf3c1204c20aa7da6e747394d3
4,4,0,e436e636d936db36d136d1360f371037cb36cd3614371537db36d9364f354d35,9d369e36e236073710370f371b371937143712371f371c37e336e33609370837,dd36de36d836d636e636e736ad36ae360c3710371f371e37e336e4361d371d37,d0ffd0ff20020e02f4021403a60086001c4f9891f8a6d23ee027d619345224a5
5,5,0,e636e436db36d936d236d4360d371137cb36cc36ef36eb36da36d93651352835,9d369f360837e236103711371e371d37153714371e371e37e336e33609370a37,dd36de36d836d936e736e736ae36af3610370f3721371f37e736e6361e371f37,d0ff90fffe01fe0104030403b6006600aede3ed2a0c21270ba6e989e34d35408
6,6,0,e436e536db36d836d136d23610370f37cb36cb36ee361537da36db364d355035,9f369d36073707370f3713371c371d37133712371f371e37e336e6360a370737,df36e036d836da36e436e636b036b03612370f371d371e37e036e8361e371c37,d0ff90ff0e023002140304039600a600b6916a47ce3f501140196ea774a5a473
7,7,0,e536e436dc36da36d036d2360d371337cd36cd361537f036d736d9364f355135,9d369f3606370737103712371c371d37153714371e371f37e336e0360a370937,e036df36d536d936e536e636ad36b0360f3710371d371f37e636e4361d371d37,d0ffe0ff30023002d402d40286009600d6d2944ea46f7aa6769e4e29e4095451
8,8,0,e536e636db36db36d336d1360f370e37cb36cc36ef361437d936d8364e355135,9c369b3608370637113710371b371c37143713371d371d37e236e4360b370a37,e236e036d536d636e736e636af36ae3610370e371e371f37e336e5361e371e37,b0ffe0ff4002fe01e4020403a600e6003e48bcdd36104ec39aa8ba6e047404d2
9,9,0,e636e436db36d936d036d03610370f37a736cd361337f036d936d73650355035,9c369d36063707370f370f371d371a37153714371d371c37e436e43608370937,de36e036d836d836e636e536d236af360e3710371f371f37e636e3361e372037,d0ffd0ff0e02de01f402f402a60086000c4ea6916aa66a40e4292c178450b4a5
10,10,0,e636e336d936db36d036d3360f370f37cc36cd3615371337d636db364e354e35,9c369e360837e236113711371d371c371537143720371d37e536e33608370937,e036e036d736d536e736e636ae36ac360e3710371e371f37e436e7361f371f37,e0ffc0ff20020e02040304039600760006dd6ed3dac3946fba6e449ec4d1340a
11,11,0,e536e636da36db36d036d33613370f37cb36cd361437ef36d936da364e355035,9e369e3606370737103711371c371c37153714371e371f37e336e33608370a37,e036e036d836d936e436e736b036af3610370f371f371e37e436e4361e371f37,b0ffa0ff300240021403f4028600960098915c481841d80f1c1762a9d4a52474
12,12,0,e436e336d836d936d136cf3610370e37cd36cb36f036ee36da36db364d354e35,9d369d3606370737113710371e371d37143714371e371d37e436e43608370b37,df36df36d636d836e636e736ad36af3612370e371f372037e436e2361b372037,b0ffe0ff500240020403c4027600a60024d4de4d366ffca52c9d8c2a340b2450
13,13,0,e336e336db36da36d436d33610370f37cc36cd3613371537da36da364e355135,9d369a3606370637103711371c371d37133714371e371e37e336e3360a370837,e036e036d636d736e636e636b036ae36103711371c371f37e536e63620371f37,b0ffe0ff3002ee01e402f4028600b60004498cdcbe0e78c454a9cc6e9474c4d0
14,14,0,e736e536dd36d936cf36d0360f371137a636cb36ee361437d836da364f354f35,9d369e360737063710370f371c371c371537143720371e37e436e4360b370b37,e036e236d736d536e736e636ad36ae360f3710371f372037e036e43621371d37,d0ffc0ff2002fe010403f40296009600a24d9891bea5d4414e2c4416744f14a6
15,15,0,e336e336dc36db36d136d43611370f37cd36cd361737ef36d536da364e354e35,9f369d36073706370e370f371a371c37143714371f371f37e336e3360a370b37,df36e036d836d636e636e536ad36af36103711371f372037e436e23620371f37,d0ffa0fffe012002f4022603e60036008adbe8d454c5086faa6ec89c94d0b40b
16,16,0,e636e536d936d936d336d2360f370f37ca36cc3612371537d936d73650355235,9d369c36e43608370e3710371d371d37143715371f371e37e436e5360a370737,e136e136d936d636e536e736b036ad36153711371e371f37e536e53621372137,c0ff90fffe0130020403e40276008600989140497042200e6c15eaa914a6d474
17,17,0,e536e436d936db36cf36d1360e370e37cd36a73613371337dc36d83651355135,9e369d360637093710370f371c371c37123713371e371f37e336e4360a370837,e336e136d936d936e736e636af36ae360f3710371c371f37e236e43620372137,b0fff0ff200230021403f40266009600ccd5824cd86e20a5969cf42cd40cc44e
18,18,0,e436e436d936dc36d136d13610370e37cb36cc3613371337da36d7364d354d35,9d369d36e436e436123711371c371e371537143720371e37e536e4360c370a37,de36e036d836d736e536e636af36b036103710371e372137e636e3361e371f37,a0fff0ff30020e02d40214039600b600f649e4da840df0c56eaa586ef474c4cf
19,19,0,e536e436db36d836d236d43611370f37cb36cc361537ef36d736d9364e355135,9d369d3607370737103710371e371d37143713371e372037e236e3360a370937,e136df36d836d636e436e636ad36d2360f370f371f371f37e436e3361d371f37,e0ffb0ff0e02fe01c40214039600a600624c6a9110a5de42262d3014744e14a6
20,20,0,e636e636d936db36d136d1360e371037cb36cb36ef36ee36d836d7364f354e35,9c369d3608370737113710371d371e37153713371f371f37e436e4360a370937,e136e036d636da36e636e336ae36d23612370f3720371b37e436e4361e371b37,0200b0ff0e02400204030403b60096001edafcd67ec69a6e686ede9bc4ce040e
21,21,0,e436e536db36d836d236d2360e370f37cb36cd36ed361437d836db3650354d35,9d369c36063707370f370f371c371c37153715371d371e37e436e43608370937,e536e136d936d836e636e736b036ae3611370e3720371d37e536e43621372037,d0ffb0fffe0140021403f402960086008891504aba43580c9a13aaab24a75475
22,22,0,e336e336d936d936d336d4360f371037cc36cc3613371537da36d7364f354f35,9c369e36063706370e370e371f371d37163716371f371c37e436e3360b37e436,df36e136d636d636e536e536d236b0360f370f371f372237e536e2361f371e37,b0ffd0ff500230022603c4028600b60046d7da4b9a6ec2a48c9b522ed40e844d
23,23,0,e736e636db36da36d136d03611370e37cc36a736ed36ef36da36da364e354d35,9d369d3607370637103710371d371c37143713371e371f37e436e3360c370937,e136e036d736d736e736e736d136d136113712371d372137e636e4361b371e37,b0fff0ff30022002f40214038600b600ba4a68d96e0b98c7eeab366e947544ce
24,24,0,e636e236d936d936d036cf360f371037cb36cd36ef361537da36d83651355035,9d369e36073706370f3710371e371e37143715371e371f37e436e53608370837,e236df36d836d636e836e636ae36ae36103710371f371f37e436e6361b371f37,d0ffb0ff30020e02f4020403b6008600624b4c9174a4b644842ee412b44c34a7
25,25,0,e636e436dc36db36d236cf3610370f37cb36ca361737ef36d836d93652354d35,9b369a3607370637103710371c371d37133715371f371f37e336e4360a370b37,e336e036d836d936e736e736ae36ae3610370f3720372037e436e7361b372037,f0ffb0ff0e023002f4020403a6008600b2d858d8a8c73c6e166ed49a74cd740f
26,26,0,e636e636d936db36ce36cf3611370f37ca36cb361537ef36d736da364e354d35,9d369c36073706370d3710371e371e37143712371c371d37e536e4360a370a37,df36de36d636d836e736e836d236ad360d37103720372137e536e3361c371c37,d0ffc0fffe0140020403f40296008600a691344b3445000b0a12a4acb4a7a475
27,27,0,e436e336db36db36d136d43610370e37cb36cc3613371337da36d83653355035,9e369d36063706370e370e371c371d371437143720371d37e536e336e4360937,de36e136d936d636e836e736af36ad36103711371f371e37e336e5361f371e37,90ffe0ff500240021403e4027600c600f0d8244bec6d34a4b49a12301410644c
28,28,0,e436e636d936d936d136d13610371037cb36cb3613371337db36d93650355235,9d369d36e23607370f3710371d371d37133714371f371f37e336e13609370c37,e136e036d736d836e636e736d236af360f3710371f372137e436e5361f372037,b0fff0ff50022002f402040386008600804b2ad89609a4c85cad366e3476b4cc
29,29,0,e336e636db36dc36d536d3360f370f37cb36cd36ef36ee36d936d93652354d35,9c369c360737073710370f371d371937143717371e371e37e436e4360a370937,e136e336d936d636e736e736af36ae361137103721372037e236e4361e371f37,e0ffd0ff20023002d4022603a6009600ba4a6a91f6a3b04524303810744be4a7
30,30,0,e436e636da36d936d136d2360d371037cd36cc3613371537d836d9364e355235,9c369c36063707370f3711371e371e37153714371d371d37e536e23609370937,e136e136d836d936e536e736af36af360f37113720372037e336e3361e371e37,d0ffb0ffee01200214030403b60096000ad72cd912c9ec6db26d509a64cc3411
31,31,0,e436e336db36db36d236d03611371037cc36cc3615371437d836d9364f355035,9d369f360737063711370f371c371c37153714371e371d37e336e4360b370937,e036e036da36d936e536e836af36af36103710371f372237e536e2361d371f37,b0ffb0ff0e0230020403f402860096008891184cac46da08181022ae54a85476
32,32,0,e236e436d936d936d136d1360e371037a836cd361437ed36da36da3651354f35,9d369c3606370937103710371d371b37143717371e371d37e336e33608370a37,e036e136d636d936e736e736af36af3612370f3720371f37e536e0361d371f37,a0ffd0ff30020e020403f402860096001eda324a9e6db8a3ec99fc307411844a
33,33,0,e436e636d836dc36d336d2360e371037cd36cb36ef361637db36db364f354e35,9d369c3607370737103712371a371e37163713371e372037e436e4360a370b37,e236df36d836d936e736e636af36ae360f370e371f372137e436e4361d372037,b0ffc0ff50020e02f402f402a600b600ae4cb0d6ca088ec9e0ad906d6476d4cb
34,34,0,e636e536dc36db36cf36d0360f371037cc36cb361637ee36d936d9364e355235,9d369e360837083711370f371e371c37143714371f372037e336e43608370c37,e236e036d836d836e736e736ad36ae360f370f371e371e37e336e2361e371b37,c0ffc0ff30022002f402f402a60086006e497a915aa3ea467031720f344a34a8
35,35,0,e436e436dc36db36d136d3360f371137cd36a736ef361337db36dd3651354e35,9e369b360737e236113710371c371d37133713371c371f37e236e43609370b37,e036e036d836da36e636e636b036ae3610370f371e371e37e436e3361d371f37,f0ffb0fffe01300214030403b600860008d610db5aca206db26d669924cba412
36,36,0,e636e536da36db36d236d13610370e37c936cc36eb361437d936da3653355235,9c369d36e33606370f370f371c371d37133715371f371e37e536e43607370837,df36e036da36d636e636e636af36af36103711371f371f37e036e3361e371d37,e0ffb0fffe014002260304039600b6006a91184d88472207460e0cafc4a8b476
37,37,0,e536e336da36db36d136d1360f370e37cd36cc3612371537d736d9364d354d35,99369d360737e436103710371e371c371437123720371d37e236e23607370a37,e136e136d836da36e836e836af36ae36103710371c371f37e436e3361b371e37,b0ffe0ff200240022603e4028600a60012dc1249206d3aa33499323374135449
38,38,0,e536e536dd36d936d136d1360e370c37cb36cb3614371437d836d93652354f35,9d369c36063707370e370e371f371f37133714371d371d37e336e2360b370a37,e036e036d736d736e636e736af36af3613370f371e372237e336e33621371f37,b0ffd0ff5002fe01f402e40296009600c04d9cd4940686cb26b05e6d547734ca
39,39,0,e436e436d936d936d136d2360f371037cb36cc36ee361337d936d8364e355135,9b369d36063707370e3712371d371c37143712371f371e37e536e4360a370b37,df36e036d636d836e636e636ae36ae36103712371f372037e336e3361e371d37,f0ffb0ff20022002f4020403a60096008a486a91dca2d2482033c60c4448e4a8
40,40,0,e436e636db36d936d036d2360e371037cb36cc361537ee36d936d83651354d35,9c369d3607370737103710371b371c37133714371e371e37e436e43609370c37,e036e036d736d936e536e736af36b0360f3711371e371d37e236e1361f371d37,f0ffe0ff0e022002140304037600660024d47cdce4cbd26c3c6d029934c99414
41,41,0,e236e336d836db36d236d13610371137cb36cb361437ef36da36d9364f354f35,9e369f36e2360637113710371d371c37133716371e371e37e336e3360c370837,e136e136d636d936e536e736ad36d236123710371e371e37e336e1361f372137,b0ffa0ff0e0240022603040386009600a691384e504936064c0d6ab044a96477
42,42,0,e436e336da36db36d236d1360f370e37cc36cb36ec361437d936da3651354e35,9b369d36073708370f3710371d371f37113713371d371e37e136e436e4360a37,e036df36da36d936e536e736ae36af3610370d371e371f37e336e4361f372037,a0ffd0ff300230021403c4028600a600bcdd4e48a26cbca28e98f83364151448
