Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e336e636d636d836d136d13610371037a736ca36eb361737d936d6364e355035,9e369d3607370837113711371c371d37133714371c371c37e436e43608370b37,df36e036d836d836e936e836ad36af360f370c371f371f37e136e0361d371d37,80ffd4ff56055605b206b2069800b800762c9a026032fea7ce953e68485d38f3
1,1,0,e336e236da36d936d336d5360d370e37cb36cd36ee361537d736d93650354e35,9c369e360737e236113711371f371c37143715371e371d37e436e33608370a37,df36e036d936d736e636e836ad36ae360c370e371f372137e036e4361f372137,a0ffb2ff560536058206c206a80088007a5e389740b8601842015c3c1868c89f
2,2,0,e436e436d936d936d436d13610370e37a536cb3614371337d836d7364f355235,9c369d3607370537103710371e372037143714371e371f37e336e43608370837,e236e136d636d836e636e636d236ae360d370d3722372037e036e4361f371f37,d4ff80ff16055605c206e006d80088002e0204b13ea8ac6d3e6882bb38f3a8e0
3,3,0,e436e436d936d936d136d4360f370e37cb36cc361537ef36d936da364d354f35,9d369d3606370537103710371c371d37123715371f371c37e636e3360c370c37,de36e236d836d736e436ed36d236d2361037113722371f37e136df361d371f37,c2ff90ff26056605d006a206b8009800da96f42c3c197631ea3b2096c69fa85d
4,4,0,e436e636da36db36d336d4360f370d37a636cd36ed361437d836da3651354f35,9d369c3607370637103711371e371e37143713371d371e37e236e1360a370c37,df36df36d736d636e836e936ae36ad361037103721371f37e136df361f371d37,a0ffb2ff56055605d0069206a800b8000cb26a5eac6d10b8dab9460226e2f667
5,5,0,e436e436db36db36d236d13610370f37ca36cc3615371437d936d93651355235,9f369c36063708370e3710371e371e37143714371e371e37e336e4360b370a37,de36e036d936d936e836e836ae36ae360f370f3721372237e036e1361d371f37,b2ffe4ff86051605920692068800d800de2d98005e3016a96096b068465ed6f1
6,6,0,e536e436dc36dc36d236d23611370f37cc36cb36ef361337d636d6364d354d35,9c369e36063708370e370f371c371d37153713371d372037e236e23609370a37,de36e136d936d936ea36e736af36ae3611370f3721372037e136e03620372037,d4ffd4ff560526058206c206980068005a5eac9674b7f619d802483b6667a69f
7,7,0,e436e536da36db36d536d3360e370e37a736cb3616371537d936db364d354f35,9d369b3607370737113712371d371f37143715371f371d37e436e43609370837,de36e236d936db36ea36e736ae36ae360d370f3720372037e036e0361d371d37,e4ffa0ff040536059206b206a80078000c008ab236a9cc6db06868b9a6f126e2
8,8,0,e236e536d936d936d336d53610370f37ca36cb361537ef36da36da364e354f35,9d369b36073707370f3712371d371a37133714371d372037e436e53608370b37,df36dd36d936d836e936e736ad36af360f370f3720372137e136e2361b371e37,c2ff80ff04056605e006a206b80078004e96a82e821a2e30b43ad496669fa65e
9,9,0,e636e436db36da36d336d5360f371037a636cd361537ee36d736d73650354f35,9d369e36e1360637123711371d371e37163716371d371d37e436e4360b370a37,de36df36d936d636e536e936ad36ae360c370d3721372237e236e03621371f37,90ffc2ff46054605c206b206a8009800d8b23c5eda6d28b748b93004f6e2f666
