Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e736e436db36da36d436d1360e370f37a636cc3617371437d936da3653354f35,9e369c36e436e4360f3711371c371f37153716371f371d37e336e33609370c37,e036df36d736d736e736ea36ae36d236103712371f371c37e336e2361e371e37,faff4c0030000000deffdeff0c000c00325424e8480a8cb58a9f506fcc66ccc7
1,1,0,e736e336db36dc36d436d3360f370f37cd36a83613371437d936d93656354f35,9e369c360737073711370f371f371e37143715371c371d37e436e3360c370a37,df36de36d936d536e836e736af36af360f3712371f372037e136e3361d371d37,faffdaff1000eefffeff1e001c00dcff30609690fc98b8395e18ee2bac499c92
2,2,0,e836e736dd36dd36d036d03610370f37cd36a63612371337d836da3653355235,9c369b360837e236103711371e371d37163716371c372037e436e4360e370e37,de36e236d736d836e836e936af36d33613370f371d371f37e236e2361d371e37,1c00eaffdeff1000eeff0e00fcfffcffa4e6b4d46cb6366e606faaab7cc60cf6
3,3,0,e736e736d936dc36d136d2360f370f37cc36ca36f036ef36d936d93652355435,9d369d360637063712370f371b371c37143714371e371d37e336e5360a370d37,e136e336d936d736e736e636d336d336113710371f371e37e236e1361e371d37,daffeaffdeff40000e00feffdcffdcff3690b254e83918091e2bea9ffc925c67
4,4,0,e636e436db36dc36d136d3360e370f37ca36ca361537ef36d736d9364f355335,9d369e360637e336103710371d371c37153713371e371d37e336e4360b370b37,e336df36d736da36e936e736d336ae3611370f371f371e37e436e1361e371b37,daff0c00300010001e00ceffdcff0c0054d5505fc66ccc984aabae1a2cf7fc48
5,5,0,e536e736db36db36d236d2360e370f37c936ca361637ed36d836d93652355035,9d369e36e3360737123710371d371e37143715371f371f37e536e4360a370c37,e136e536d536d736e736e736ae36d236153711371d371d37e336e2361e371b37,eaff0c002000eeffdeff1e00ecffdcff525574e588083cb7caa0b06fac67ccc5
6,6,0,e636e736db36d936d236cf360e371037ca36ca3614371337db36db3655355335,9d369d36e23607370e3711371d371d37143714371d371d37e636e6360a370b37,e336e336d936d836e736e536af36af36123712371e371d37e136e3361e371e37,0c000c001000deffdeff0e000c002c00505f46906c98c83a6e1a1e2a4c483c93
7,7,0,e636e736db36db36d036d4360e370e37cc36a73614371537d836d83655355535,9f369e3607370737123710371d371c37143715371d371d37e336e3360c370837,e136e136d836d936e936ea36d236d33610370f371d371f37e236e2361d371b37,1c00daffeeff10001e001e001c00ccff44e564d5dcb7966cb06feaaa1cc55cf7
8,8,0,e736e736d936d936d136d3360e370f37a636cb36ee361537da36da3652355135,9e369c3606370637113711371c371d37153716371e371e37e336e3360b370c37,e236e136d736d936e636e736ae36d2361037113721371d37e436e53620371d37,eaffdaff100010000e00feff0c00ccff36903056783b7807de293aa19c93ec67
9,9,0,e436e736d936da36cf36d2360f370f37cb36cb3615371537dc36dc3655355335,9c369e36e336063714370f371c371f37143713371e372037e436e43608370b37,e136e236da36d736e736e936d236d23612370f371e371e37e336df361c371b37,eafffaff10001000fefffeffccff0c0004d7b05e666cfc972aaabe1b1cf97c47
10,10,0,e836e836d836d936d036d13610370f37cb36a63613371437da36da3654355435,a0369d36e2360637123710371d371a37153714371c371e37e336e5360c370a37,df36e036d936da36e836e736af36ae361237113720372037e436e3361c371f37,faff2c001000beffdeff1e00ecff0c009056b4e388060cb94aa1e06f4c682cc4
11,11,0,e636e736dc36da36d136d23610371037cc36cd3613371437db36d73657355535,9c369e36e23608370f3710371f371e37133713371d371d37e336e3360b370a37,e136e136d736d836e936e836af36ae360f3712371e371e37e636e4361d371e37,2c000c000000eeffdeff0e002c00fcff605e2690bc97e83b4e1c1e290c47ac93
