Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,2200d4ff16000600f4ff22000e000e00fcffecffd6fff4ff1a000a00c2ffd2ff,9e369e36063706371137113717371837133712371e371b37e136e4360a370a37,2800ecfff6fff6fffafffaff080008001e000e00ccff1e00ecfffcff0600e6ff,d936dd361b371837e436e336ea3611378f62062c904a64066103d36c16675c26
1,1,0,e4ffe4ff1600160002000200feff2e00ecff2e00e4ffe4ff0a00d8ffa2ffc2ff,9e369e36073706371237103718371937123713371a371c37e436e5360a370937,fcfffcff080008001c000c000800c8ff0e00fcffdcffecfffcff0e0006000600,dc36dc361b371737e136e4360f371037506ace006408e146df4250561a67dd00
2,2,0,0200f4fff4ff16000200e4fffeff1e000e000e00b6ffd6ff0a000a004200a2ff,9d369d36073707371137103718371837143714371c371c37e136e33608370737,1a001a000800e6fffaffdafff8ff0800caffecfffcffdcfffcffdcff0600f6ff,dd36da3617371a37e336e63610370f37dd2a10209206196dd66ca40a2e262a26
3,3,0,2200f4fff4ffe4ff020012000e000e000e00fcffd6fff4ff0a001a00e2ffe2ff,9d369f36083706371137103719371837123711371d371c37e236e43609370a37,1a00ecff0800f6ff0c00daff1800c8ffdafffcfffcffecffecff1e00e6ff1600,da36da3619371c37e636e3360f37ea36cd009b621347604a1c566003dd001b67
4,4,0,e4fff4ffe4ff0600e4fff4ff0e000e000e002e000200e4ff0a001a0022002200,9f369f36073707371137103717371737123712371c371b37e136e33608370937,ecfffcfff6fff6fffaffeaff0800c8ffecffecffecffecff0e001e0006000600,d836db361b371a37e536e1360d370f371620486a176d5a078e0a14435f26ec66
5,5,0,f4ff0200160006000200f4fffefffefffcff1e003000d6ff2a000a00f2fff2ff,9d369f36083707370f37113719371937133714371d371b37e336e4360c370a37,1a00280008001800faffeaff2800f8ff0e000e00dcff1e00fcff1e0046000600,da36dc361b371837e336e6360e371137a662d22a314994068a03d66c24671b25
6,6,0,f4ff12000600f4ffe4fff4ffeefffeff0e001e00e4ffd6ffe8ff1a000200d2ff,9e369f36063706371237103718371837143714371a371d37e336e43609370837,fcfffcffd6ffe6fffaffeaffa8ff0800dafffcff2e00fcff0e00ecff2600e6ff,dd36db361a371a37e136e53610370f37206aa8002e07254723430d55e566df00
7,7,0,f4ff020016000600f4fff4ffeeff1e00ecfffcffe4fff4ff0a00f8ffe2fff2ff,9f369f360737063711370f3718371837143710371d371c37e336e236e4360a37,cefffcff080008000c00faffc8fff8ffecff0e000e000e000e00fcff06004600,de36da3619371a37e236e8361137ea36a12a22209f061b6dd76c900aea246826
8,8,0,0200e4ff1600f4ff020002000e00fefffcfffcff0200d6fff8ff1a0012001200,9e369f36063708371037103719371837133714371c371d37e436e43609370937,fcffbefff6ff0800fafffaff0800f8ff0e000e00ecff0e001e000e000600f6ff,dd36db361a371b37e636e1360e37e936a500d4622e472b49d7549103de002a67
9,9,0,020002000600f4fff4ff1200eefffeff0e00fcff3000f4ff2a00f8ffe2ff1200,9f369d36073709370f3710371a371937143710371d371d37e336e23609370837,ecffdeff080008000c00faff0800c8ffdafffcfffcfffcfffcfffcff06000600,db36dd361b371a37e636e436e9360f375b201c691a6d2707880a56439d26dd66
