Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,ea36e936d936db36d036d3360f370f37cb36a736ec36ed36da36db3657355735,a1369d36073708370f37103719371737153711371c371d37e336e4360a370a37,e436e136d536d436e736e736d336ad360e3710371d371d37e536e3361937f636,1e00fcff100000000e00ecfff8ff08001cf616beb65f6282647a6aae2430c41d
1,1,0,e836ea36d836db36d036d1360d370c37ca36cb36ec36ef36da36da3659365c36,9d36a0360737073710370e3718371637153716371d371c37e436e3360a370a37,e136e236d536d636e836e536d436af360c370e371b371c37e536e2361937f536,ecffecff000010000e000e000800f8ff3085de5182cf9ee29e41508b947d7494
2,2,0,ea36e836db36d936d136d1360e370e37cb36cc36ed36ee36d936da365a365835,9f369f3609370837113710371a371837143714371a371c37e436e5360a370b37,e736e536d636d636e736e636d336ae360d370d371c371c37e536e3361b371a37,1e000e0000000000fcffecffb8ff0800b6be38746282846bbaadb80ae41c64a0
3,3,0,e836e836dc36db36d136d2360d370e37ca36cb36ef36ee36db36dc3658365836,9e369b36083707370f370e3718371937143712371b371d37e536e3360a370a37,e636e236d636d536e936ea36d336af360e370c371d371d37e536e3361d37f536,fcff1e00000010000e00fcfff8ff1800ae523cf5bee3365f008ca47af493f430
4,4,0,e836e836dc36db36d536d4360e370d37a536cb36ec36ec36da36d83658355435,9f369d36093707371137103718371837143711371e371d37e036e43609370937,e336e536d536d836e636e736d236d4360e370f371e371c37e436e2361b37f536,fcff1e0020000000ecffecff18000800f8731085346c72ce580b8e4004a1747d
5,5,0,ea36eb36de36dd36d036d3360d370d37ca36cb36ed36ed36db36db365a355835,9c369f360837083711370f3717371937133714371c371d37e336e63607370b37,e336e236d336d536e836e536ae36d2360e370b371d371c37e436e336f5361937,fcffecffeeffeeff0e0030000800f8ff4cf466bf765e7282e47aeaacd431d41b
6,6,0,eb36e836d936da36d336d0360e370c37a736cc36eb36eb36da36da3659355935,9f369f36073707371137113718371837143715371c371e37e336e33609370a37,e236e536d636d636e736e936d236d4360c370c371b371b37e536e4361a371c37,fcff0e000000deff0e000e00f8fff8ffd0845e5392cd7ee4e03f708c747d7493
7,7,0,e836e836da36dd36d136d1360e370e37cb36cb36ea36ed36dc36db3656355535,9e369d360737063710370e3719371a37143713371d371f37e436e3360a370a37,e336e536d636d836e936e536af36d2360e370d371c371d37e336e43619371a37,0e00ecff200010000e00ecfff8ff180036c078739282846c3aac280cd41a74a1
8,8,0,e836e836d936db36d036d3360d370b37cb36a736eb36ed36da36dc3659365836,9e36a03608370837113710371a371837133713371d371e37e336e4360b370a37,e336e536d736d636ea36e736d336d4360f370e3719371e37e636e43619371a37,fcffecff000010000e00fcff1800e8ff3e541ef37ee5065ea08cf47a3493c432
9,9,0,ea36e936d936db36cf36d4360e370e37cb36a736eb36ed36da36d93655355836,a1369f36083709371137103718371737133713371b371d37e036e4360c370d37,e536e436d736d536e736e536d236d2360c370b371e371e37e436e3361a371937,ecfffcff1000eefffcfffcfff8fff8ff4873a084546dc4cc380d303f54a2547d
10,10,0,e736e736dc36db36d136d3360d370f37cb36a636ed36ee36da36da3658365735,a0369e36073707370d370f3717371a37153714371c371c37e436e33608370837,e536e236d536d836e736e836af36d3360f370e371b371c37e536e4361a371837,ecfffcffdeff0000dcff0e000800e8ff3ef236c1665dd282647b5aab9433f419
11,11,0,e736eb36d936dc36d136d23610370d37cb36a736ec36ea36d936da365b365935,9d369f36073708370f370e3719371a37143711371c371d37e536e3360a370b37,e536e536d536d536e936e736d536d4360e370e371b371b37e636e5361a371a37,fcff0e00eeff00001e00ecfff8ff08008084ce5404cc4ee6403e008d247d7492
12,12,0,e936e936dc36da36d336d1360d370e37ca36c936ec36ee36d936dd365e365a35,9e369e360837073710370f371a371837143715371d371c37e136e6360b370b37,e436e236d636d636e636e536af36d2360c370f371b371e37e436e4361a371937,ecfffcff1000eeff1e00ecff0800180036c29872d282b46dbaaa780e141904a3
13,13,0,e936e636d836db36d136d1360d370d37cc36cd36ee36ed36db36db365a365a36,9e369e36073707370d3710371a371a37123713371e371d37e536e43607370a37,e436e636d436d636e836e736d336af360c370e371c371b37e436e63619371a37,ecff0e000000eeff0e00fcff280008006c551ef18ee7965c508d647b3492a434
