Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f4ff02000600f4ff1400e6ffeeffceffdeffeefff4ffe4ff0400240014002400,060016000e000e000600160016000600160016000200f0ffdcffecffbeff1400,f0ffe0ff2a000a0000000000fcfffcffecffecffdcffecfff4ffe4fff8ff1800,e8ff0a00e6ff08000a000a00d6fff6ff32d5e2d6424e3a81267f3c93964f66ff
1,1,0,d6ff0200f4ff26000400e6fffeffeeffeeff0000c4fff4ff0400040014001400,e4fff4ff1e000e0006000600e6ff06000600e4fff0fff0fffcff0e0004000400,0000d0ff2a00ecff0e0000000c00fcfffcffecffdcff0e00b4ffe4ff0800d8ff,1a000a00f6ff0800f8ff1a000600f6ff7682986c64b0aa0144288c94967e9680
2,2,0,f4ff02000600e4fff6ff2400deffeeff00000000e4fff4ff0400f2ff1400f4ff,0600f4ff1e001e00e4ff0600f6ffd6ff0600f4ff1200f0ff1e00fcffd4ffe4ff,e0fff0ff0a000a0000000000fcfffcffdcffecffccff0e002600e4fff8fff8ff,0a00f8fff6ff0800e8ffe8ffd6ffc6ff12d8c86a7a81ac7ecc92642b26fe96b2
3,3,0,f4ff12000600e4fff6ffe6ff1e00eeff10000000160006001400240004000400,d4fff4fffcffecffe4ff06000600f6ff0600060002000200fcfffcff04000400,f0ff0e00fcffecff00000e000c00ecfffcff0e00ecffdcfff4ffc4ff08001800,f8ffe8ff0800f6ff0a001a003600d6ff486df2d3ba02624d1c95267f36804650
4,4,0,e4fff4ff0600060004000400feffeeff10001000f4ffd4ff0400040034002400,1600f4ff1e00fcff0600f4fff6ffe6ff2600f4ff220002001e001e00f4ff0400,00001e000a001a000e00f0ff0c00ecfffcffccffecffecfff4ffd4ff18001800,0a000a00f6fff6ffe8ff1a00f6ffc6ff086a7682ac7ea6af042c242776b3667e
5,5,0,f4ff0200160006000400f6fffeff0e0010000000f4ff06000400040034002400,e4ff16001e00ecff1600e4ff0600f6fff4ff26001200f0fffcff0e000400f4ff,2e00f0ff2a001a00f0fff0ffecfffcffdcffdcffdcfffcffe4ffc4ff08001800,0a000a00f6fff6ff1a00f8ff3600f6fff2d2f2d8924cca81267f1e92d65036fd
6,6,0,1200e4fff4fff4ff04003400feffeeff00001000e4ff16000400f2ff24003400,1600f4ff1e000e00f4ff16000600d6ff16000600120002000e001e00f4fff4ff,e0ff1e000a00fcff0e00f0ff0c00fcff1e00dcffdcfffcffe4ffc4ffe8ff0800,0a000a000800e6ff0a000a000600e6ff7682c86de6aeca033426ec95067e1680
7,7,0,e4fff4fff4ff0600f6fff6fffeffeeffeeffdefff4ff06001400140024004400,16001600fcfffcff0600e4ff0600f6ff16000600f0ff12000e00fcffbeff1400,d0ff0e00fcfffcff00001e00ecfffcffecffecffecffdcff1600e4fff8ff1800,f8ff0a00080008000a00f8ffe6ff360002da78694a82ac7e8e91242d26fc66b4
8,8,0,020002000600160024001400eeffeeff0000eefff4ff060036000400d4ff0400,f4ff2600dcfffcff1600f4ff1600f6ff060006000200f0fffcff1e0014001400,f0ff0000fcfffcff00000000fcffecffdcfffcffdcffdcff0600f4fff8ff1800,f8ff0a00180018001a001a00d6fff6ff486e12d29a04f24b6c96267f0280d651
9,9,0,e4ff120006001600f6ff1400deff0e00eeff0000b4ffe4fff2fff2ff14001400,f4ffe4ff0e000e0026000600f6ff06000600e4ff120012000e000e000400e4ff,0e00c2ff0a00ccff0e000e00ecfffcff0e00fcffdcffbcffe4fff4fff8ff1800,0a001a00e6ff08001a00f8ffe6ffd6ffe8687682ac7e06ae042e642506b5b67d
10,10,0,0200e4ff0600060034003400fefffeffeeffeefff4fff4ff1400240014001400,f4ff06000e00dcff06002600f6fff6ff26000600f0fff0fffcff0e00f4fff4ff,0e00e0fffcff0a001e000000fcff0c00ecfffcffccffccfff4ffe4ffe8fff8ff,e8ff0a00e6ff08001a000a00d6fff6ffe2d0f2da924a9a82267f0e91c652e6fa
11,11,0,f4ff1200f4fff4ff340034000e00eeff00002000060006001400140054002400,160006000e00fcff06001600e6ff06002600060012000200ecff1e000400f4ff,0e00f0ff1a000a00f0ff0000fcffecffecfffcffccffccffd4ff160008000800,2a000a00e6fff6ff0a00e8ff2600d6ff7682086f16adea0556240c97567d0280
12,12,0,0200e4ff0600060014002400eeff0e00eeff10000600d4ff0400f2ff14001400,16001600ecffecff06000600e6fff6fff4fff4fff0fff0ff2e00fcff14001400,f0ff0e003a001a0000001e000c00fcffdcffecffccffdcfff4ffc4ff0800f8ff,f8ff0a00080008001a00f8ffe6ffe6fff2db48682a83ac7e6e90042f06fa26b6
13,13,0,f4ff0200f4ff0600d6ff2400fefffeff100000001600e4ff0400240004001400,f4fff4fffcff0e0006000600f6ffd6ffe4ff160012001200fcff0e00f4fff4ff,d0ff0000fcff0a00000000000c00fcff0e00fcffecffecfff4ffe4fff8fff8ff,1a00f8ff0800f6ff1a000a00d6fff6ff886f12d0aa06c2499c97267f02807653
14,14,0,f4ff0200f4ff06001400e6ff0e00eeff00000000c4ffe4ff2400040044002400,0600f4ff30001e0016000600d6fff6fff4fff4ff020022000e00fcff0400f4ff,00000000ecff1a00f0fff0ff0c00ecffdcffecffecffdcfff4fff4ff08000800,0a000a00f6ff08000a00e8ff2600d6ffa8677682ac7e46acf42f1623f6b6e67c
