Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,ecff0a00fafffaffe2ffe2ff1e00feff30002000f2ffe2ff10000000c2ff2200,e8ff0a0004000400eeff0000eeffeeffe8ff1a00ecffecffeeffeeff00001000,eeff0c003a00f6ff1e00fcfffefffeff14002400f8ff3a002200f0ffeeff2e00,0600160006000600e6ff08004000f0ff2c7e92826a6d5ad5c001e64dbc94dc7f
1,1,0,fcff2a00daffeaffe2ffe2ff0e001e001000eeffe2fff2ff1000100022000200,e8ffe8ff0400040000001000eefffefff8ffe8fffcfffcff0000100010000000,eeff2a003a0008000e001e002e000e002400f2fff8ff2a00220002000e000e00,f4fff4ffe4fff4ff080008002000300060fd72b23a6b0280307facaf6c2bcc27
2,2,0,1a00ecfffafffafff2fff2fffeff1e00eeff1000f2ffe2ff0000320002003200,e8ff0a00140004000000eefffeffeeff1a001a001e00fcff1000100010001000,58001c00f6fff6ff1e00fcff2e000e0004000400f8ff0a00220002000e00feff,f4fff4ff0600f4ff08000800e0ff20009282dc4faad4e8d8d64cb281dc7f5c92
3,3,0,0a00fcff0c00fafff2ff2000defffeffeeffeefff2ff140000001000f2fff2ff,f8ff0a000400040010001000feffeeff0a000a000e001e00100000000000e0ff,3a00feff180008003000fcff1e000e00340046002a00f8ff220012000e00feff,f4ff0600f4ffd4ff080008003000e0ff22b3bc7d02803a6e1caf20037c265c95
4,4,0,fcff0a000c00faffd2ffd2fffeffeeff00000000f2ffe2ff10003200d2ff2200,0a00f8ff1400e2ffeeffeeffdeff0e000a001a001e000e00eeff0000f0ff1000,5800eeff3a000800fcff0e00feff0e00040014001a00f8ff12001200deff2e00,0600f4fff4ff06000800d6ff20003000cc5020fcd8d9aa6ae281307fec917c2c
5,5,0,0a00fcffdaff1c00f2ffd2fffeffdeff00000000c2ff14001000100012000200,f8ffe8ffc0ff240000000000defffeff1a00e8fffcff1e000000100010000000,0c001c00d6ff180030001e00ceffceff140024002a002a00220012000e000e00,f4fff4fff4ff0600080008003000c0ff6c7d9282da6ecad30004164c0c96dc7f
6,6,0,0a00fcffeafffaffd2fff2ff0e00feff20003000f2ffc2ff1000eeff0200e2ff,0a00f8ff1400140000000000feffeeff2a002a001e00ecffeeffdeff00000000,0c00feff0800d6ff0e000e000e00feff24000400e8ff0a000200f0ff2e000e00,f4fff4ff1600e4ffe6fff6ffe0ff100000fb12b41a6a0280307f5cae5c2dcc25
7,7,0,0a00dcfffaff0c00f2ffe2ff2e000e0010001000e2ff1400000010001200f2ff,e8fff8ff1400140000002000eefffeffd8ff0a00fcfffcff10001000f0ff9aff,2a00defff6fff6ff0e005000eeff1e0014000400f8ff2a00120022000e000e00,0600f4ff16000600f6ffe6ff2000f0ff9282cc51bad218db384ba282dc7f5c91
8,8,0,ecfffcff2c00faffe2ffe2fffefffeff000020000400f2ff2000100002002200,0a00f8ffe2ffe2ff00001000deffeeff1a002a00fcffdcffeeff1000f0ff1000,0c00eeff0800f6ff0e000e000e001e00040014000a00f8ff0200f0ff0e00feff,f4ff06000600160008000800e0ff2000a2b45c7d02807a6f8cadf004ec248c96
9,9,0,fcffecff0c002c00f2ff2000fefffeff0000eeffd2ff140010002000b2fff2ff,0a00f8ff040024002000eefffeffeefff8ffd8fffcffecff10000000f0fff0ff,fefffeff0800f6ff1e00ecff0e001e00240014000a001a0022002200eefffeff,e4ff1600e4fff4ff3800f6ffe0ff30008c5220fa28dc6a69b282307fac902c2e
10,10,0,fcfffcff0c00fafff2ffe2ff0e000e0000000000f2fff2ff0000200022000200,0a00f8ff24000400eeff1000fefffeff0a003a000e000e001000eeff20000000,feff0c000800080030000e000e00feff04001400f8ff0a0012000200eeff2e00,f4ff06001600f4ffe6ffe6ffe0ffe0ffbc7c92820a708ad12006684a2c97dc7f
11,11,0,0a000a00eaffdaff4000f2ffeeff0e000000eefff2ff14002000eefff2ffc2ff,0a00c6ff0400e2ff1000eeff0e00eeffe8ff2a000e000e000000100000000000,feffd0ff080008000e00ecff2e000e00040024002a001a004200f0fffeff2e00,f4fff4ff0600f4ffe6ff0800d0ff2000d0f8c2b59a680280307f6cac6c2f9c23
12,12,0,fcff1a000c00daff1000f2fffefffeffeeff1000c2ffe2ffdeffeeff02001200,1a00f8ff04000400eeff10000e00defff8ff0a000e00ecffccff0000d0ff0000,feff0c003a00f6ff0e001e000e000e000400f2ff0a003a0022003200feff2e00,1600f4ff0600d4ffe6ffe6ff1000300092825c53aad008dd78490283dc7f2c90
13,13,0,fcff0a00faffdaff2000f2fffefffeffeeff0000e2ffd2ff00001000d2fff2ff,f8fff8fff2ff1400eeffdeffeeffeefff8ff2a000e000e001000eeffe0ffe0ff,eefffefff6ff18001e000e001e00feff0400f2fff8ff3a0022000200feffeeff,0600f4fff4ff0600080008002000200092b66c7c02805a702cac7007ac22bc97
14,14,0,0a00fcfffaffdaffc2fff2fffefffeffeeff20001400f2ff00000000f2ff1200,0a00e8ff14000400eeff00000e00eefff8ff0a000e00fcffeeffeeffe0fff0ff,fefffeffe6fff6fffcfffcfffeff1e00040024001a00f8ff320012000e00deff,d4ff0600f4ff0600f6ff0800e0ff20001c5410f838de3a687283307f9c8f3c30
