Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e436e336da36db36d236cf360f370f37cc36cc361a371637d936da364e354f35,9d369c36e33606370f370f371d371e37153716371d371e37e436e4360a370c37,e336e336d836d736eb36e836ad36d1360f370f3722372137e336df3621372037,1e000e000e00fcfffcffdcfff4ff2400267d54830a692edafefd2c4f6294b87f
1,1,0,e336e536dc36db36d136d2360e370e37a736cb36ef361637dc36dc3650354e35,9d369d3607370837103712371c371d37143713371d371f37e436e1360b370a37,e336e036d636d636e636e736d236b0360f370f3720372137e236e13620372137,fcfffcfffcfffcff0a00fcfff4ff0400220198b0b66b0280247caeb4f0268c2a
2,2,0,e336e536d836d936cf36d03610371137a736cc3615371637da36da3651354d35,9d369d36e3360837113710371e371d37143714371c371e37e436e4360a370b37,e236e236d436d536e736e636d236af360f370f3721371f37e236e3361e372037,0e000e00fcffdcfffcff0a00e4ffe4ff22838e4bf6d826d67c4eca82b87fb296
3,3,0,e336e336db36db36d236d0360d371037cc36cd3617371637d836da364f354e35,9c369c36083709370f3711371d371e37163713371e371b37e436e3360b370a37,e136e036d636d636eb36eb36ae36d1360e370e3721372037e436df361d372137,fcffecfffcfffcfffcff0a00f4ffe4ff38b1e67c0280c669e6b3defe8a291295
4,4,0,e536e436d936db36cf36d33610370f37cb36a73612371337db36d93650355135,9d369c3607370837113711371c371c37143713371e371f37e336e3360a370c37,e036e136d636d636eb36e736af36ae360f370f3721372337e336e3361d372237,daffecff0e00fcff1a001a00e4fff4ff5a4c220006d7366b1a83847c1296d027
5,5,0,e436e436d936db36cf36d13613371037cb36c9361537f036da36da3652355135,9d369b3607370737123710371c371c37143715371e371d37e136e5360a370837,e236e136d736d736e936e936d236ad360d370f371e372037e236e03620371d37,0e00fcfffcffecffdcfffcff14001400747cf282666a16d80e00cc4db295b87f
6,6,0,e336e436da36d936d136d13610370e37cb36cc3614371537d936da3651354f35,9d369d36083706370e3710371d371e37143713371c371e37e136e2360a370a37,df36e536d636d836e536e836ae36d3360e370e3721372137e236e33623372037,ecffecffdcfffcfffcff0a00e4ffe4ff48ff44b2866a0280b47ce0b2fa289028
7,7,0,e436e236d936dc36cf36d13611371037a636a73614371437db36da364f354d35,9c369c3607370837103711371d371e37133714371e371f37e336e4360b370c37,e236e236d836d736e936e836d336b0360f370d3720372137e236e03622371f37,0e000e000e000e001a00ecfff4fff4fff2822a4d26d7d6d7ea4c4a83b87fa295
8,8,0,e336e336d936db36d036cf3610370f37cc36cd3615371537da36da364e354f35,9d369c36083709371137103719371e37153714371d371e37e436e3360a370a37,e336e136d736d536e736e736af36ae360c370e3721372037e136e0361f371f37,fcffecfffcffcaff0a00dcff0400140004b3347c0280266b2cb21e01a0274296
9,9,0,e336e336da36da36d136d13610371037cb36cb3615371437da36d93651354d35,9b369c3606370737103711371e371e37133714371d371e37e136e63609370a37,e136e336d636d536ea36e736d236af360f370e3721372037e436e3361f371f37,0e00ecffdcffecffecffecffe4ff04001c4e26fef6d8066a8a83047dd294aa29
10,10,0,e436e436db36d936d136d0360f370f37a736cb3615371537d736d93651354e35,9b369c360837063710370f371f371d37153713371e371e37e436e3360a370b37,e136e236d736d636e836e736d236d2360d370f3720371f37e436e23620371f37,0e00ecfffcfffcffdcfffcfff4ff0400e47bf282966b16d6ce010a4cf296b87f
11,11,0,e236e336db36db36cf36d0360f371037a536cb3613371537da36da364e355135,9f369c360837073712370f371c371c37133715371d371e37e236e43608370b37,e236e236d536d436e936e736d436af3610370b3721372337e136e0361f371f37,0e00fcffecfffcfffcfffcffe4ff040020fdc6b33a690280647d8cb1cc2a8226
12,12,0,e236e236dc36dc36d036cf3610370f37cc36cc3614371537d836da364c355135,9d369d36083708370f3711371c372037143712371e371e37e436e3360b370b37,e436e236d736d736e636e936ad36d2360e37103723372037e136e0361e371f37,dafffcff0e00fcfffcfffcff04001400f2820c4f66d50eda424b2284b87f8294
13,13,0,e536e536d936da36d136d13610370e37a836a7361537ed36dc36d8364f354d35,9d369e3608370637103711371c371d37163712371d371c37e336e33609370a37,e436e436d736d736e736e736af36af360f370e3721372237e136e5361e372037,0e00fcfffcfffcff0a00fcffe4ff1400a0b47a7b0280f66ba8b00203e2255297
14,14,0,e336e336db36d936d036d1360f371037a536cd3615371537da36db364f354e35,9d369e36073707370e370e371c371c37163714371b371c37e236e3360a370937,e236e536d736d636e936e736ae36d3360e370e3722372137e036de361b371f37,fcfffcfffcff1e002a000a002400d4ff8c4f3efcdedaba688284c47de293ce2b
15,15,0,e436e336db36db36d336d03612371037cc36a63613371537da36db3650354d35,9d369c36083707370f3710371e371c371537173720371d37e436e13608370837,e336e636d536d736e736e736d336ae360d370d3720372037e236e23621372037,fcfffcff0e00ecff2a00dcff140004004a7bf282b66c46d4fa03b24ae297b87f
16,16,0,e636e336da36db36d036cd360e371137a636ca3617371437d936d9364f354e35,9e369b3607370737103710371b371c37183715371f371d37e136e43609370b37,e036e136d736d836e736e936af36b0360e370f3721371f37e136e03620372237,fcfffcffecff1e000a001a001400040024fba6b50a680280d47d76afb42c1225
17,17,0,e636e636db36da36d036d13610371137cb36a7361537ef36da36da364e354f35,9c369d360737063711370f371d371c37143714371d371e37e136e5360b370837,e436e136d636d836e936e936d436d4361337103720372037e036df361c372037,0e000e000e00fcfffcff0a0004001400f282ac5096d3cedbac49b284b87f4293
18,18,0,e736e436dc36d936d136d23610371137cc36a53613371537d836db364f354e35,9c369c3607370737103712371a371c37133716371e371e37e436e3360b370c37,e236e436d736d636e636e836d336ae360c370d371f372237e236e13621371f37,1e001e00dcff0e00fcfffcff2400040046b6da7a0280546df6ae0a05bc239898
19,19,0,e636e236d936db36d236d13610371137cb36cb3614371337d836da364f354c35,9d369d3609370837123710371c371c37153715371e371d37e436e4360a370b37,e436e236d936d736e636e836af36ae36103710371f371f37de36e3361f371e37,fcfffcff1e00fcff1a002a00e4ff04004c5154faaedc7a670285047eb892a82d
20,20,0,e636e836db36db36d236d1360f371037cb36ca3614371637d736db3650355135,9a369b36083708370e3710371c371e37153714371c371d37e236e3360a370a37,e036e636d536d736e736e936af36d3360f370f3720372037e036e2361e371f37,0e000e000e0030000a001a00f4fff4ff8a7af282566e86d20c069e486299b87f
21,21,0,e536e436dc36d936d036d1360e370e37a636cb3616371337d836d93652354d35,9f369d360a370837103711371c371e37143715371d371d37e536e1360a370c37,e036e136d736d736e636eb36af36ae3612370e3721372037df36e23621371e37,0e00fcff0e00ecfffcffecff0400040028f93ab7da660280347e36ae582ec022
22,22,0,e636e336d936dc36d136cf360e370f37cb36cb3614371337d836d9364e355235,9d369c360837083710370f371c371c37153713371e371d37e236e2360c370a37,e236e036d536d836e836e836d336af360e3710371f371e37e336e3361f371e37,3000ecfffcffecffdcff0a00f4fff4fff28238524cd1ecdd1e486285b87f1892
23,23,0,e436e236da36db36d436d13610371137cb36a63615371437da36d9364f354f35,9c369b3607370637103712371d371e37153717371d371e37e536e1360a370c37,e636e236d636d836e736e636d336ae360e3710371f372037e236e3361f372037,0e00fcffdcff0e002a00ecff0400040042b84a7a0280866e74addc06d621129a
24,24,0,e336e436d936db36cd36cf360f370e37cb36a53615371837da36db3652354e35,9c369d36073707370f3710371c371c37143715371d371e37e236e3360b370d37,e136de36d736d536e936e936ad36d3360e370e3720372037e436e63621371d37,1e000e00fcff0e000a002a00e4ffe4fff85226f8dcde5a66d285c47e8891762f
25,25,0,e436e436db36da36d036d13611370e37cb36cb3614371437da36db364f354f35,9d369d3606370637103710371c371c37123715371e371e37e436e1360b370b37,e136e136d536d836e736ea36af36af360d3711371f372237e136e13620372137,0e001e00ecffecffecff1a00e4fff4ffea79f282066f6cd0fe071c47c69ab87f
26,26,0,e636e536db36da36d136d1360e370e37cd36ca3614371437d936d8364e354e35,9f369b3607370637103710371d371d37133714371d371d37e536e33608370a37,e136e136d636d536e936e936af36af3610370c371f371f37e236e1361e372137,0e000e00fcfffcfffcff1a00e4ff04000ef7d2b8ca650280c47e84ac6630d620
27,27,0,e536e336db36da36d336d1360e370f37cb36a736f036ef36db36da364e354e35,9c369e3606370637103710371f371c37143713371d371c37e236e2360a37e536,e136e136d636d736e736e736d336ad360e370f3721372237e136e23621371e37,0e0030000e000e00dcff2a00f4fff4fff2828a53accfbcdf1c463486b87fee90
28,28,0,e236e436dd36db36d136d03610370f37cc36a73614371637da36d9364e355335,9c369e3606370837113710371c371d37143717371d371c37e536e43608370937,e336e536d736d636e736e636ad36d2360c37103721372037e236e23621371e37,0e000e00fcffecff0a00fcff0400e4ffdeb94c790280a66ff4ab3e09ec1f569b
29,29,0,e336e436d936db36d036d1360f370f37ca36cb3615371537da36da364e354c35,9c369f360837073710370f371c371c37143716371e371d37e536e4360b370937,e236e036d736d736e636e836af36af360f37103720372037e036e23621372137,fcfffcff0e001e00dcfffcff0400e4ff7454ecf5ace0dc647486d47e8e908031
30,30,0,e436e236db36d936ce36cf360f370f37cb36c936ef361437d836da3650355035,9d369f360637073710370e371d371c37153716371e371b37e336e3360a370937,e036e436d636d636e736e936af36ae360e370f3720372037e336de3620371f37,0e000e00fcff0e00ecffdcff04001400ec78f2820670accece091a45e89bb87f
31,31,0,e336e436db36d936d436d1360e371037cc36a73615371537d936da3651355035,9d369c360837e336103711371d371c37153714371c371d37e336e3360a370b37,e536e336d736d836e936e836d236af3610370c3721372037e236e5361f372037,0e000e001e000e000a00dcffe4ffe4ff14f58eba4c640280147f1cab3032be1e
32,32,0,e436e436db36da36d136d53612371037cc36ca36ee361337da36db364e355235,9c369c3607370837103714371e371e37133716371d371e37e236e5360b370c37,e236e136d636d936e836e736af36af360d370f371e371e37e236e1361d372137,fcff0e00dcfffcffecff0a00e4ff0400f2824455becdb8e18a44f486b87ffe8f
33,33,0,e836e336db36da36d236d0360e370f37cb36ca3614371537d936da3650355135,9d369b3608370737103710371e371b37143715371c371d37e436e13609370a37,e236e036d736d736e836ea36d236d2360d370d371e371e37e036e13621372037,1e000e00dcff0e001a00dcff0400f4ff90bbbc780280867008aa2e0bae1d989c
34,34,0,e136e236db36dd36d236d13611370e37cd36cb3614371537d836da3651355135,9e369d36073707370f3710371c371d37143716371c371d37e436e4360d370c37,e136e336d736d636e836e836d236ae360d370d371f371f37e336e03621371f37,0e00fcff0e00fcff2a00fcfff4ffd4ff0a5614f4c8e29a634487147f6e8f4a33
35,35,0,e236e336d936db36d236d2360e370f37a636ca3614371537da36d73654354e35,9c369d3606370637103710371c371c37153715371e371c37e336e4360a370937,e136e336d636d536e736e936d236d2360f3710371f371e37e036df3621372037,ecffdaffecfffcff0a000a000400e4ff4c78f282f67080cc160cda436e9db87f
36,36,0,e436e436dc36dc36d036d1360d370f37cb36a73617371637da36d6364f354f35,9e369d3607370737113710371d371e37163716371e371d37e336e4360b370a37,e036e336d636d436e736e736ae36d1360d370d3720372137e236e2361f372137,0e00fcffecfffcff0a00fcfff4ff04000af34abcea620280147f48a91a340e1d
37,37,0,e536e536db36dc36d136d1360f370e37a636a73616371537db36d93651354c35,9c369c36073707370e370e371e371d37173716371d371e37e436e1360b370c37,e136df36d536d536e936e836af36d2360e37103720372137e136e2361d372137,0e000e00fcff0e00ecffdcfff4fff4fff282ac56e0cbdae3f2428487b87fd08e
38,38,0,e336e436d936da36d236d2360f371037a736cb3618371737da36da364f355235,9c369d360837083710370f371d371c37143716371f371c37e136e4360a370a37,e236e136d636d636ea36ea36af36d3360f370d371e372237e036e2361b371f37,fcffecffecff0e00fcff0a000400f4ff2abdec7702809c71c8a8160df81bde9d
39,39,0,e436e636d936de36d036cf3610371037cb36cc3616371837da36dc3650354f35,9e369a3607370737103710371e371e37153714371e371e37e436e4360a370c37,e236e336d736d636e936e736b036af360e370f3722371f37e136e3361b371f37,fcff0e000e00ecff0a00ecff0400f4ff8e573af2cae45a62f487147f708eea34
40,40,0,e736e536dc36dc36cf36d03610371037a736c93615371437d936da3650354d35,9b369b3606370737113710371c371d37143714371e371e37e336e4360b370d37,e336e236d736d736e836e736d336d4361037103721372137df36e23620371b37,0e00ecffecfffcff0a00fcff0400e4ff8c77f2822e7210cb080eae418e9eb87f
