Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e436e336da36db36d336d13611370d37cb36cb3615371637da36da3628354f35,9e369d3606370937133711371e371e37173714371e371c37e236e5360b370937,e036e336d736d936e736e736ae36ae3611370f371f371d37e036e33620371f37,1e000e0002001200fcffdcff0a00eaff32d758a46240365342ae68bd685b862b
1,1,0,e636e436db36da36d036d5360e370f37cb36cb36ee361537da36db364c354e35,9c369c36063707370e3710371f372037153716371d371e37e336e53609370c37,e136e236d836d536e736ea36b036ae360f370d371c371e37e336e03620371e37,0e00fcfff0ff02002a00ecffeaffcaff1a52844282a4fcd4e25bb20f86ac480d
2,2,0,e636e436da36d836d036d1360f370e37cc36cc3614371637d736d9364c354d35,9e369d36063706371037123720371c37143715371b371f37e336e3360a370837,e236e636d636d936e836e736af36af360f370f371e371f37e136e0361e371f37,fcfffcfff0ff02000a001a002a00faff48a482f03653a0f2cabdf828042b84bf
3,3,0,e436e636db36d936d236d53610371037cb36cc361537ee36d836db364c354d35,9d369c36083708370f3711371c371d37123715371d371c37e236e0360b370937,e236e436d736d636e636e636ae36ae36103710371f371e37e036dc361e371f37,1e000e00f0fff0ffecffecfffaff1a00f241a0d67cd5c240020ff2ad080e785b
4,4,0,e436e436d936db36d236d1360f371037ce36cb3613371537da36da364e352835,9c369c3608370837103710371e371e37153714371e371f37e336e3360a370837,e536e236d736d936e736e836b036ad360e37103721371e37e136e4361f372037,ecff0e001200f0ff2a001a00faff0a0052f15a5210f252a48829b25ba6be58ad
5,5,0,e336e236d836db36d636d03611371037cb36cb361437ef36db36d93651354f35,9e369f360737e33612370f371d371d37143715371c371b37e336e3360a370937,e136e136d836d836e836e736ad36ad36103710371e371f37e036e2361f371e37,ecfffcff020002000a000a000a000a0030d678a47e41e652a2ad6abeb85b742a
6,6,0,e636e436da36db36d036d43610371237cb36cc3615371537da36d7364d354d35,9c369a36e2360737103710371d371e37163714371d371e37e336e3360a370b37,e336e436d936d836e736e936ae36d336103712371e371f37e136e2361f371f37,0e002e00e0fff0ff0a00ecff3a000a00aa52664152a4fcd55a5b420ea8ad480e
7,7,0,e436e436db36d936d136d13610370f37cb36a63615371337da36db364e354f35,9d369d360a370837103710371e371d37143715371f371f37e336e4360a370a37,e136e336d936d736e836e936d336d1360e3711371c371d37e136e13620372337,ecffdcff020002000a000a002a000a0078a42ef2765226f1cabe2c2aa22956be
8,8,0,e336e336db36d936d336d2360e371037cc36cb3617371537da36da364e352835,9c369d3608370837103710371e371d37123715371d371e37e236e1360a370b37,e136e436d836d836e736ea36ae36ae3612370f371d371d37e136e2361d371d37,fcfffcff020022001a00ecffdaff2a0056414ad5acd64e42b20d00ad560fb85b
9,9,0,e436e336dc36da36d236d23610371137cc36cc36f036ef36da36d8364b354d35,9d369d360737e236113711371e371e37163714371e371c37e436e3360b370b37,df36e036d636d936e836e836ae36af36103710371e371d37e136de3620371f37,fcff0e000200e0fffcff0a000a00eaff9ef2fa5256f032a4bc2a4a5bc6bde8ad
10,10,0,e536e236d936db36d136d2360e370f37cb36cd361537f036d836da3651354e35,9d369c360737073710370f371e371d37173714371d372037e436e33608370a37,e236df36d636d736e836e936ad36d236103712371e371f37e136e0361d371f37,fcffecff1200e0fffcff0a000a002a00dad4c8a46e42265210ad8abfb85b2229
11,11,0,e336e336da36d936d236d33610371237cb36cc361637ef36da36da364e354e35,9f369d36073706370f37103720372037153715371c371d37e436e4360b370b37,e336e136d936d736e936e736ae36ae36123712371f371d37e036e0361c371d37,ecfffcffe0ffe0ff0a000a000a000a004a53964032a44cd74a5b300d38aec60f
12,12,0,e236e736d936d936d536d13611371037cc36cb3613371337da36d9364d355035,9f369e3608370837123711371f371e37153715371e371f37e436e4360a370a37,e236e236d536da36ea36e736ae36ad360f370e371f371f37e236e0361e371c37,fcffecff02000200ecff1a003a000a0098a46ef3f651f6effcbf142c382856bd
